,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow,Open,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
1996,15600000,8700000,6900000,0.4423,1000000.0,5000000,300000.0,6300000,15000000,0.0,0.0,300000,1100000,0.0705,600000,0.0385,200000.0,800000.0,0.0513,300000.0,500000.0,0.0321,7.5,7.5,69360,69360,1500000.0,0.0,1500000.0,2700000.0,2200000.0,4100000.0,10500000.0,800000.0,0.0,0.0,0.0,0.0,0.0,800000.0,1600000.0,0.0,12100000.0,1000000.0,0.0,0.0,0.0,1100000.0,2100000.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,2200000.0,0.0,0.0,-1900000.0,-1200000.0,13000000.0,9900000.0,12100000.0,0.0,12100000.0,500000.0,300000,300000.0,0.0,8400000.0,0.0,-300000.0,0.0,8400000.0,-8600000.0,900000,-400000.0,0.0,-900000.0,0.0,200000.0,-1100000,0.0,100000.0,0.0,0.0,-100000.0,0.0,0.0,,,1800000,500000,240.625,242.1875,242.1875,2769.0,0,0,242.1875
1997,17900000,9600000,8300000,0.4637,1200000.0,5800000,500000.0,7500000,17100000,0.0,0.0,500000,1500000,0.0838,800000,0.0447,200000.0,1000000.0,0.0559,400000.0,600000.0,0.0335,9.5,9.0,68920,71940,500000.0,0.0,500000.0,2700000.0,3100000.0,5600000.0,11900000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,200000.0,1200000.0,0.0,13100000.0,1100000.0,0.0,0.0,0.0,1300000.0,2400000.0,0.0,0.0,0.0,20000.0,20000.0,0.0,0.0,2400000.0,0.0,0.0,-1300000.0,-1700000.0,13700000.0,10700000.0,13100000.0,0.0,13100000.0,600000.0,500000,400000.0,0.0,1100000.0,0.0,-900000.0,0.0,9500000.0,-1800000.0,800000,-600000.0,0.0,-1300000.0,0.0,0.0,-1900000,0.0,100000.0,0.0,0.0,0.0,100000.0,0.0,,,1500000,200000,246.875,262.5,262.5,1907.0,0,0,262.5
1998,22700000,13500000,9200000,0.4053,1300000.0,7100000,600000.0,9000000,22500000,0.0,0.0,600000,1800000,0.0793,200000,0.0088,1000000.0,1200000.0,0.0529,400000.0,800000.0,0.0352,10.5,10.5,72460,73900,1300000.0,0.0,1300000.0,6000000.0,4200000.0,800000.0,12300000.0,1500000.0,0.0,4400000.0,4400000.0,0.0,0.0,700000.0,6600000.0,0.0,18900000.0,2600000.0,100000.0,0.0,0.0,2200000.0,4900000.0,700000.0,0.0,0.0,-100000.0,600000.0,0.0,0.0,5500000.0,0.0,0.0,-500000.0,-2500000.0,16400000.0,13400000.0,18900000.0,0.0,18900000.0,800000.0,600000,100000.0,0.0,-2100000.0,0.0,-300000.0,0.0,7400000.0,1400000.0,800000,-3700000.0,0.0,-1300000.0,4900000.0,400000.0,300000,0.0,200000.0,0.0,0.0,-500000.0,-300000.0,0.0,,,500000,-2900000,246.875,237.5,237.5,2156.0,0,0,237.5
1999,33300000,18100000,15200000,0.4565,1500000.0,10600000,900000.0,13000000,31100000,0.0,0.0,900000,3100000,0.0931,2200000,0.0661,0.0,2200000.0,0.0661,800000.0,1400000.0,0.042,17.5,17.5,79720,81600,1900000.0,0.0,1900000.0,6800000.0,4300000.0,1000000.0,14000000.0,2200000.0,0.0,3800000.0,3800000.0,0.0,0.0,400000.0,6400000.0,0.0,20400000.0,2600000.0,0.0,0.0,0.0,2500000.0,5100000.0,600000.0,0.0,0.0,0.0,600000.0,0.0,0.0,5700000.0,0.0,0.0,900000.0,-3000000.0,16800000.0,14700000.0,20400000.0,0.0,20400000.0,1400000.0,900000,-200000.0,0.0,1500000.0,0.0,-200000.0,0.0,8900000.0,-2400000.0,1200000,-1300000.0,0.0,0.0,0.0,600000.0,-700000,0.0,100000.0,0.0,0.0,-100000.0,0.0,100000.0,600000.0,1900000.0,1300000,-100000,214.0625,218.75,218.75,2112.0,0,0,218.75
2000,36921000,20389000,16532000,0.4478,1673000.0,13061000,1513000.0,16247000,36636000,30000.0,92000.0,1513000,894000,0.0242,285000,0.0077,-996000.0,-711000.0,-0.0193,-257000.0,-454000.0,-0.0123,-5.0,-5.0,91440,91440,1230000.0,0.0,1230000.0,7454000.0,5672000.0,1823000.0,16179000.0,2888000.0,0.0,5150000.0,5150000.0,0.0,0.0,402000.0,8440000.0,0.0,24619000.0,3513000.0,8000.0,0.0,0.0,2056000.0,5577000.0,482000.0,0.0,0.0,0.0,482000.0,0.0,0.0,6059000.0,0.0,1000.0,469000.0,-3848000.0,21938000.0,18560000.0,24619000.0,0.0,24619000.0,-454000.0,1513000,-821000.0,0.0,1702000.0,0.0,-1369000.0,0.0,10602000.0,-2585000.0,-645000,0.0,-935000.0,0.0,0.0,79000.0,-856000,0.0,974000.0,0.0,0.0,-101000.0,873000.0,-46000.0,-674000.0,1230000.0,1904000,-645000,373.4375,375.0,375.0,4841.0,0,0,375.0
2001,29053000,17606000,11447000,0.394,2764000.0,11998000,0.0,14762000,32368000,41000.0,122000.0,1426000,-1833000,-0.0631,-3315000,-0.1141,-66000.0,-3381000.0,-0.1164,-1253000.0,-2128000.0,-0.0732,-22.5,-22.5,95120,95120,584000.0,0.0,584000.0,5011000.0,5423000.0,2064000.0,13082000.0,2600000.0,0.0,4537000.0,4537000.0,0.0,936000.0,279000.0,8352000.0,0.0,21434000.0,2395000.0,101000.0,0.0,0.0,2088000.0,4584000.0,419000.0,0.0,0.0,0.0,419000.0,0.0,0.0,5003000.0,0.0,1000.0,-1659000.0,-4625000.0,22714000.0,16431000.0,21434000.0,0.0,21434000.0,-2128000.0,1426000,-808000.0,0.0,-2104000.0,0.0,218000.0,0.0,8498000.0,3393000.0,-221000,-530000.0,0.0,0.0,0.0,0.0,-530000,0.0,119000.0,0.0,0.0,55000.0,174000.0,-69000.0,-646000.0,584000.0,1230000,-751000,206.75,201.25,201.25,1871.0,0,0,201.25
2002,30960000,19486000,11474000,0.3706,2290000.0,10616000,0.0,12906000,32392000,41000.0,66000.0,1086000,-289000,-0.0093,-1432000,-0.0463,-9000.0,-1441000.0,-0.0465,2078000.0,-3519000.0,-0.1137,-35.0,-35.0,100560,100560,231000.0,0.0,231000.0,5447000.0,6808000.0,343000.0,12829000.0,2581000.0,0.0,4494000.0,4494000.0,0.0,0.0,197000.0,7272000.0,0.0,20101000.0,2011000.0,1284000.0,0.0,0.0,2117000.0,5412000.0,449000.0,0.0,0.0,0.0,449000.0,0.0,0.0,5861000.0,0.0,1000.0,-5178000.0,-194000.0,19611000.0,14240000.0,20101000.0,0.0,20101000.0,-3519000.0,1086000,2035000.0,0.0,-1081000.0,0.0,-1239000.0,0.0,7417000.0,-393000.0,-1872000,-793000.0,0.0,0.0,0.0,0.0,-793000,0.0,1000000.0,0.0,0.0,1213000.0,2213000.0,99000.0,-353000.0,231000.0,584000,-2665000,172.5,175.75,175.75,1334.0,0,0,175.75
2003,27238000,16897000,10341000,0.3797,1279000.0,9623000,0.0,10902000,27799000,80000.0,119000.0,961000,486000,0.0178,-561000,-0.0206,-33000.0,-594000.0,-0.0218,14000.0,-608000.0,-0.0223,-5.0,-5.0,119860,119860,4254000.0,0.0,4254000.0,5753000.0,6618000.0,246000.0,16871000.0,2634000.0,0.0,4496000.0,4496000.0,0.0,0.0,118000.0,7248000.0,0.0,24119000.0,2205000.0,30000.0,0.0,0.0,2413000.0,4648000.0,521000.0,0.0,0.0,0.0,521000.0,0.0,0.0,5169000.0,0.0,1000.0,-5786000.0,204000.0,24531000.0,18950000.0,24119000.0,0.0,24119000.0,-608000.0,961000,0.0,0.0,4806000.0,0.0,398000.0,0.0,12223000.0,-4230000.0,929000,-717000.0,0.0,0.0,0.0,0.0,-717000,0.0,4920000.0,0.0,0.0,-1473000.0,3447000.0,364000.0,4023000.0,4254000.0,231000,212000,190.5,196.25,196.25,2073.0,0,0,196.25
2004,29731000,18220000,11511000,0.3872,1188000.0,11054000,0.0,12242000,30462000,0.0,17000.0,989000,244000,0.0082,-731000,-0.0246,-31000.0,-762000.0,-0.0256,-58000.0,-704000.0,-0.0237,-5.0,-5.0,140800,140800,3609000.0,0.0,3609000.0,7376000.0,8433000.0,455000.0,19873000.0,2604000.0,0.0,4429000.0,4429000.0,0.0,0.0,112000.0,7145000.0,0.0,27018000.0,2920000.0,38000.0,0.0,0.0,2374000.0,5332000.0,484000.0,0.0,0.0,0.0,484000.0,0.0,0.0,5816000.0,0.0,1000.0,-6490000.0,171000.0,27520000.0,21202000.0,27018000.0,0.0,27018000.0,-704000.0,989000,0.0,0.0,2318000.0,0.0,-1673000.0,0.0,14541000.0,-5072000.0,-2469000,-724000.0,0.0,0.0,0.0,0.0,-724000,0.0,2354000.0,0.0,0.0,157000.0,2511000.0,37000.0,-645000.0,3609000.0,4254000,-3193000,414.0,420.5,420.5,11581.0,0,0,420.5
2005,28337000,17711000,10626000,0.375,2190000.0,12730000,0.0,14920000,32631000,138000.0,39000.0,1145000,-6130000,-0.2163,-7414000,-0.2616,100000.0,-7314000.0,-0.2581,109000.0,-7423000.0,-0.262,-45.0,-45.0,164460,164460,5554000.0,18024000.0,23578000.0,6287000.0,7852000.0,879000.0,38596000.0,3422000.0,0.0,4135000.0,4135000.0,0.0,0.0,56000.0,7613000.0,0.0,46209000.0,2623000.0,389000.0,0.0,0.0,3924000.0,6936000.0,1089000.0,0.0,0.0,0.0,1089000.0,0.0,0.0,8025000.0,0.0,1000.0,-13913000.0,-356000.0,52452000.0,38184000.0,46209000.0,0.0,46209000.0,-7423000.0,1145000,0.0,0.0,17119000.0,0.0,363000.0,0.0,31660000.0,-14313000.0,-3472000,-1920000.0,0.0,-45768000.0,27767000.0,0.0,-19921000,0.0,24680000.0,0.0,0.0,1069000.0,25749000.0,-411000.0,1945000.0,5554000.0,3609000,-5392000,490.75,478.75,478.75,9738.0,0,0,478.75
2006,27036000,19251000,7785000,0.2879,2341000.0,14730000,0.0,17071000,36322000,760000.0,277000.0,1197000,-8063000,-0.2982,-10020000,-0.3706,483000.0,-9537000.0,-0.3528,113000.0,-9650000.0,-0.3569,-42.5,-42.5,227700,227700,3705000.0,12263000.0,15968000.0,6185000.0,7708000.0,324000.0,30185000.0,5978000.0,4247000.0,0.0,4247000.0,0.0,0.0,182000.0,10407000.0,0.0,40592000.0,4202000.0,1902000.0,0.0,0.0,1671000.0,7775000.0,1862000.0,0.0,75000.0,,1937000.0,0.0,0.0,9712000.0,0.0,1000.0,-23563000.0,601000.0,53841000.0,30880000.0,40592000.0,0.0,40592000.0,-9650000.0,1197000,63000.0,0.0,-9250000.0,0.0,351000.0,0.0,22410000.0,10456000.0,-7184000,-3703000.0,0.0,-108834000.0,114595000.0,0.0,2058000,0.0,651000.0,0.0,0.0,2257000.0,2908000.0,369000.0,-1849000.0,3705000.0,5554000,-10887000,392.25,390.0,390.0,23916.0,0,0,390.0
2007,22898000,16616000,6282000,0.2743,2907000.0,14440000,0.0,17347000,33963000,605000.0,321000.0,1236000,-9570000,-0.4179,-11521000,-0.5031,394000.0,-11127000.0,-0.4859,190000.0,-11317000.0,-0.4942,-49.0,-49.0,230000,230000,8412000.0,0.0,8412000.0,3454000.0,6888000.0,381000.0,19135000.0,5316000.0,4359000.0,0.0,4359000.0,0.0,0.0,59000.0,9734000.0,0.0,28869000.0,2265000.0,2885000.0,0.0,0.0,1473000.0,6623000.0,314000.0,0.0,252000.0,62000.0,628000.0,0.0,0.0,7251000.0,0.0,1000.0,-34880000.0,815000.0,55682000.0,21618000.0,28869000.0,0.0,28869000.0,-11317000.0,1236000,177000.0,0.0,-9898000.0,0.0,947000.0,0.0,12512000.0,12300000.0,-7502000,-542000.0,0.0,-37090000.0,49441000.0,33000.0,11842000,0.0,964000.0,0.0,0.0,-557000.0,407000.0,-40000.0,4707000.0,8412000.0,3705000,-8044000,335.25,348.75,348.75,18591.0,0,0,348.75
2008,22950000,17447000,5503000,0.2398,2188000.0,13631000,0.0,15819000,33266000,208000.0,198000.0,1233000,-13267000,-0.5781,-14621000,-0.6371,-77000.0,-14698000.0,-0.6404,-250000.0,-14448000.0,-0.6295,-51.0,-51.0,283640,283640,10568000.0,0.0,10568000.0,2668000.0,5539000.0,276000.0,19051000.0,4459000.0,0.0,0.0,0.0,0.0,0.0,142000.0,4601000.0,0.0,23652000.0,2767000.0,1958000.0,0.0,191000.0,1621000.0,6537000.0,245000.0,0.0,0.0,81000.0,326000.0,0.0,0.0,6863000.0,0.0,1000.0,-49328000.0,251000.0,65865000.0,16789000.0,23652000.0,0.0,23652000.0,-14448000.0,1233000,-255000.0,715000.0,2000.0,825000.0,1037000.0,553000.0,12514000.0,6923000.0,-5830000,-395000.0,0.0,0.0,0.0,0.0,-395000,-6608000.0,9335000.0,0.0,0.0,5766000.0,8493000.0,-112000.0,2156000.0,10568000.0,8412000,-6225000,119.5,118.5,118.5,15844.0,0,0,118.5
2009,12489000,10449000,2040000,0.1633,319000.0,11377000,0.0,11696000,22145000,15000.0,88000.0,987000,-9933000,-0.7953,-9781000,-0.7832,-26000.0,-9807000.0,-0.7853,7000.0,-11015000.0,-0.882,-35.0,-35.0,315260,315260,1062000.0,0.0,1062000.0,2922000.0,3770000.0,509000.0,8263000.0,3091000.0,672000.0,2750000.0,3422000.0,0.0,0.0,2602000.0,9115000.0,0.0,17378000.0,1677000.0,0.0,0.0,295000.0,1854000.0,3826000.0,1898000.0,0.0,0.0,149000.0,2047000.0,0.0,0.0,5873000.0,0.0,1000.0,-60343000.0,474000.0,71373000.0,11505000.0,17378000.0,0.0,17378000.0,-11015000.0,987000,0.0,624000.0,-8077000.0,-906000.0,0.0,0.0,4437000.0,6919000.0,-10562000,-182000.0,-1500000.0,0.0,0.0,765000.0,-917000,-1776000.0,3508000.0,0.0,0.0,192000.0,1924000.0,49000.0,-9506000.0,1062000.0,10568000,-10744000,45.75,39.75,39.75,15316.0,0,0,39.75
2010,35129000,28726000,6403000,0.1823,-202000.0,12530000,1812000.0,14140000,42866000,6000.0,573000.0,1863000,-6075000,-0.1729,-7919000,-0.2254,-592000.0,-8511000.0,-0.2423,6000.0,-8517000.0,-0.2424,-18.5,-18.5,455820,455820,4107000.0,0.0,4107000.0,6214000.0,2543000.0,654000.0,13518000.0,2446000.0,672000.0,1677000.0,2349000.0,0.0,0.0,2061000.0,6856000.0,0.0,20374000.0,7167000.0,481000.0,0.0,1214000.0,2655000.0,11517000.0,2171000.0,0.0,0.0,28000.0,2199000.0,0.0,0.0,13716000.0,0.0,1000.0,-68860000.0,423000.0,75094000.0,6658000.0,20374000.0,0.0,20374000.0,-8517000.0,1863000,0.0,878000.0,-2436000.0,-1694000.0,0.0,0.0,2001000.0,9705000.0,1493000,-332000.0,0.0,0.0,0.0,50000.0,-282000,0.0,669000.0,0.0,0.0,1158000.0,1827000.0,7000.0,3045000.0,4107000.0,1062000,1161000,59.5,57.25,57.25,36633.0,0,0,57.25
2011,25752000,20581000,5171000,0.2008,-515000.0,11262000,-355000.0,10392000,30973000,4000.0,861000.0,1238000,-3958000,-0.1537,-5221000,-0.2027,-836000.0,-6057000.0,-0.2352,-2000.0,-6055000.0,-0.2351,-12.5,-12.5,493380,493380,2136000.0,0.0,2136000.0,3383000.0,2429000.0,881000.0,8829000.0,2105000.0,672000.0,1027000.0,1699000.0,0.0,0.0,1145000.0,4949000.0,0.0,13778000.0,5653000.0,1556000.0,0.0,1373000.0,2149000.0,10731000.0,955000.0,0.0,0.0,624000.0,1579000.0,0.0,0.0,12310000.0,0.0,1000.0,-74915000.0,420000.0,75962000.0,1468000.0,13778000.0,0.0,13778000.0,-6055000.0,1238000,0.0,426000.0,-3903000.0,3411000.0,0.0,0.0,-1902000.0,5677000.0,-2617000,-256000.0,0.0,0.0,0.0,19000.0,-237000,-892000.0,456000.0,0.0,0.0,1311000.0,875000.0,8000.0,-1971000.0,2136000.0,4107000,-2873000,23.5,23.75,23.75,35774.0,0,0,23.75
2014,28962000,19594000,9368000,0.3235,1035000.0,10910000,0.0,11945000,31539000,0.0,2689000.0,281000,-2877000,-0.0993,-2577000,-0.089,-3220000.0,-5797000.0,-0.2002,-2000.0,-5845000.0,-0.2018,-3.75,-3.75,1563200,1563200,7531000.0,0.0,7531000.0,3113000.0,7283000.0,1002000.0,18929000.0,479000.0,0.0,0.0,0.0,0.0,0.0,88000.0,567000.0,0.0,19496000.0,7601000.0,453000.0,9000.0,156000.0,1397000.0,9607000.0,70000.0,0.0,0.0,46000.0,116000.0,0.0,0.0,9723000.0,0.0,1000.0,-88830000.0,469000.0,98133000.0,9773000.0,19496000.0,0.0,19496000.0,-5845000.0,281000,0.0,532000.0,4364000.0,-2630000.0,0.0,0.0,9322000.0,-757000.0,-1425000,-221000.0,-30000.0,0.0,0.0,130000.0,-121000,-223000.0,5952000.0,0.0,0.0,511000.0,6240000.0,-23000.0,4671000.0,7531000.0,2860000,-1646000,28.0,28.25,28.25,18092.0,0,0,28.25
2015,64403000,35111000,29292000,0.4548,2810000.0,16830000,0.0,19640000,54751000,0.0,85000.0,266000,9280000,0.1441,9652000,0.1499,-32000.0,9620000.0,0.1494,149000.0,8780000.0,0.1363,4.2,4.1,2082600,2150400,34640000.0,0.0,34640000.0,10110000.0,7732000.0,740000.0,53222000.0,2429000.0,0.0,0.0,0.0,0.0,0.0,51000.0,2480000.0,0.0,55702000.0,7295000.0,0.0,91000.0,93000.0,2917000.0,10305000.0,0.0,0.0,0.0,77000.0,77000.0,0.0,0.0,10382000.0,0.0,1000.0,-80050000.0,-2829000.0,128198000.0,45320000.0,55702000.0,0.0,55702000.0,8780000.0,266000,0.0,813000.0,33595000.0,-9674000.0,0.0,135000.0,42917000.0,-39008000.0,4446000,-2242000.0,0.0,0.0,0.0,0.0,-2242000,-466000.0,23574000.0,0.0,0.0,2849000.0,25957000.0,-956000.0,27205000.0,34640000.0,7435000,2204000,37.9,45.625,45.625,449240.0,0,0,45.625
