,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow,Forex Rate,Open,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
1998,2989170162,1642734756.0,1346435406.0,0.4504,26602992.0,0.0,902966940.0,929569932.0,2572304688.0,0.0,0.0,237892140.0,369628110,0.1237,416865474.0,0.1395,-285129504.0,131735970.0,0.0441,115450164.0,16285806,0.0054,0.03,0.03,420000000,420000000,27199854.0,0.0,27199854.0,544167612.0,253581084.0,389324556.0,1214273106.0,538454790.0,0.0,2970582174.0,2970582174.0,0.0,0.0,119287134.0,3628324098.0,0.0,4842597204.0,127472670.0,183151368.0,0.0,0.0,521231058.0,831855096.0,921810726.0,0.0,162005400.0,900238428.0,1984054554.0,0.0,0.0,2815909650.0,0.0,195429672.0,68298066.0,-273106998.0,2036066814.0,2026687554.0,4842597204.0,0.0,4842597204.0,16285806.0,237892140.0,20122776.0,0.0,-141626826.0,0.0,-33509538.0,0.0,0.0,95838984.0,228512880.0,-325375056.0,0.0,0.0,0.0,86374458.0,-239000598.0,0.0,509720148.0,-52609122.0,-41950872.0,-404246106.0,10914048.0,-5457024.0,-5030694.0,27199854.0,32230548.0,-96862176.0,1.1723,10.63,10.625,7.564999999999999,1785400.0,0.093,0.093,7.657999999999999
1999,3816579936,2127103147.0,1689476789.0,0.4427,32286250.0,0.0,1100455468.0,1132741718.0,3259844865.0,0.0,0.0,282443068.0,22777667,0.006,556735071.0,0.1459,-816400473.0,-259665402.0,-0.068,-12664860.0,-247000542,-0.0647,-0.52,-0.52,473417143,473417143,34544140.0,0.0,34544140.0,766043146.0,299430915.0,431619891.0,1531638092.0,638133429.0,0.0,3417401325.0,3417401325.0,-1.0,0.0,129487856.0,4185022609.0,1.0,5716660702.0,280818222.0,570303286.0,0.0,0.0,908077600.0,1759199108.0,649716051.0,0.0,166993490.0,1129230658.0,1945940199.0,0.0,0.0,3705139307.0,0.0,228068842.0,-215523237.0,-394768171.0,2393743961.0,2011521395.0,5716660702.0,0.0,5716660702.0,-247000542.0,282443068.0,-89366566.0,0.0,311730060.0,0.0,-15656168.0,0.0,0.0,90989425.0,348795445.0,-159280686.0,-100696766.0,0.0,0.0,7085723.0,-252891729.0,0.0,0.0,0.0,-48103411.0,-30722024.0,-78825435.0,-14203247.0,2875034.0,34544140.0,31669106.0,189514759.0,1.0075,10.66,10.66,7.68,1288100.0,0.1035,0.1965,7.8765
2000,4473332622,2911630551.0,1561702071.0,0.3491,34002472.0,0.0,866695166.0,900697638.0,3812328189.0,0.0,0.0,311813368.0,739675943,0.1654,661004434.0,0.1478,-233141859.0,427862575.0,0.0956,202057839.0,225804736,0.0505,0.42,0.42,536898734,539173729,68757715.0,0.0,68757715.0,857094405.0,340965949.0,416973479.0,1683791548.0,786833277.0,0.0,3700031125.0,3700031125.0,0.0,28966252.0,166408215.0,4682238869.0,0.0,6366030417.0,299401694.0,525082919.0,0.0,0.0,655985249.0,1480469862.0,700420044.0,0.0,187912768.0,1122407383.0,2010740195.0,0.0,0.0,3491210058.0,0.0,244351442.0,-59650994.0,-498672044.0,3188791955.0,2874820360.0,6366030417.0,0.0,6366030417.0,225804736.0,311813368.0,81914707.0,0.0,-206866205.0,0.0,-24496473.0,0.0,0.0,3929955.0,416596561.0,-242800115.0,-292303072.0,-1.0,0.0,22065672.0,-513037516.0,0.0,593957756.0,0.0,-54545565.0,-373704575.0,165707616.0,-37519308.0,31747353.0,68757715.0,37010362.0,173796445.0,0.9424,13.345,13.45,9.835,1211500.0,0.1105,0.307,10.142000000000001
2001,5461436093,3619212734.0,1842223359.0,0.3373,40123587.0,0.0,1375893994.0,1416017581.0,5035230315.0,0.0,0.0,363588257.0,537295291,0.0984,426205778.0,0.078,-252498745.0,173707034.0,0.0318,102502840.0,71204194,0.013,0.12,0.12,420000000,420000000,69201387.0,0.0,69201387.0,1036041592.0,389310061.0,505027835.0,1999580874.0,942491820.0,0.0,4138262470.0,4138262470.0,-1.0,39552641.0,203520995.0,5323827925.0,0.0,7323408799.0,313279797.0,307248896.0,0.0,1.0,927346008.0,1547874702.0,826938137.0,0.0,160546048.0,1824325092.0,2811809277.0,0.0,0.0,4359683979.0,0.0,257930602.0,-65694787.0,-653238970.0,3424727976.0,2963724820.0,7323408799.0,0.0,7323408799.0,71204194.0,363588257.0,-52150548.0,0.0,91743649.0,0.0,-33943206.0,0.0,0.0,2431017.0,476816570.0,-309328130.0,-243563660.0,1.0,0.0,27193002.0,-525698787.0,0.0,7182909.0,0.0,-73933048.0,115636852.0,48886713.0,-3381845.0,-3377350.0,69201387.0,72578736.0,167488440.0,0.8909,12.435,12.085,8.879999999999999,974200.0,0.121,0.428,9.308
2002,4844991918,3266854539.0,1578137379.0,0.3257,45202226.0,0.0,870652451.0,915854677.0,4182709216.0,0.0,0.0,200652598.0,651030032,0.1344,662282702.0,0.1367,-200682140.0,461600562.0,0.0953,174216258.0,276161176,0.057,0.48,0.48,420000000,420000000,61745785.0,0.0,61745785.0,910690533.0,354716399.0,408872731.0,1736025449.0,874700668.0,0.0,3566940027.0,3566940027.0,0.0,34060101.0,249361754.0,4725062550.0,0.0,6461087999.0,177203819.0,146145573.0,0.0,0.0,911103169.0,1234452561.0,1037984454.0,0.0,161406435.0,1330624387.0,2530015276.0,0.0,0.0,3764467837.0,66269534.0,218700897.0,147324397.0,-365333438.0,2608195982.0,2675157372.0,6439625208.0,21462790.0,6461087999.0,276161176.0,200652598.0,55700144.0,0.0,-21412283.0,0.0,-6212411.0,0.0,0.0,12953721.0,524055356.0,-227912305.0,-76080360.0,-1.0,0.0,36006066.0,-267986600.0,0.0,524134.0,-358507314.0,-73133777.0,178448397.0,-252668560.0,-330681.0,3069516.0,61745785.0,58676269.0,296143051.0,1.0501,8.120000000000001,7.470000000000001,5.59,1775000.0,0.1245,0.5525,6.1425
2003,4389007971,2936804122.0,1452203849.0,0.3309,39452969.0,0.0,811324767.0,850777736.0,3787581858.0,0.0,0.0,171809829.0,603677982,0.1375,601426113.0,0.137,-169557960.0,431868153.0,0.0984,168901297.0,262966855,0.0599,0.45,0.45,420000000,420000000,38452491.0,0.0,38452491.0,1016325845.0,353135314.0,343818166.0,1751731816.0,864814598.0,0.0,3073254208.0,3073254208.0,0.0,28220620.0,239839938.0,4206129364.0,0.0,5957861180.0,243391634.0,166573201.0,0.0,0.0,711587453.0,1121552288.0,882662805.0,0.0,198861637.0,1168005426.0,2249529868.0,0.0,0.0,3371082156.0,55277192.0,182225121.0,300154456.0,-138801208.0,2176723669.0,2575579230.0,5946661386.0,11199793.0,5957861180.0,262966855.0,171809829.0,72504467.0,0.0,-14221077.0,0.0,-18257132.0,0.0,0.0,105653632.0,598713707.0,-231269178.0,-73201626.0,0.0,0.0,11772289.0,-292698515.0,0.0,1270448.0,-7071631.0,-85565467.0,-238854546.0,-330221196.0,11210910.0,-12995095.0,38452491.0,51447586.0,367444529.0,1.2588,8.48,8.555,6.465,1603900.0,0.1675,0.72,7.185
2004,4594272515,3055556869.0,1538715647.0,0.3349,37890196.0,-1.0,872067592.0,909957787.0,3965514656.0,0.0,0.0,171573303.0,663910525,0.1445,628757860.0,0.1369,-135545749.0,493212110.0,0.1074,195791337.0,296545885,0.0645,0.51,0.51,466666666,644106794,43498039.0,0.0,43498039.0,1117295292.0,326732488.0,316817331.0,1804343150.0,871883909.0,0.0,2985538496.0,2985538496.0,0.0,42876175.0,168427835.0,4068726415.0,0.0,5873069565.0,225727129.0,483249004.0,0.0,0.0,720539268.0,1429515401.0,402456078.0,0.0,208218294.0,1138245404.0,1748919776.0,0.0,0.0,3178435177.0,51547603.0,169293134.0,485324098.0,-50851971.0,2026018203.0,2681331067.0,5859766244.0,13303321.0,5873069565.0,296545885.0,171573303.0,25288408.0,0.0,104735069.0,0.0,20098092.0,0.0,-16735008.0,12540560.0,610683224.0,-205615022.0,-77082396.0,0.0,0.0,13542329.0,-269155089.0,-1.0,2671877.0,0.0,-90075154.0,-245966855.0,-333370133.0,-383594.0,7774410.0,43498039.0,35723629.0,405068202.0,1.3558,12.135,12.295000000000002,9.525,1506700.0,0.2525,0.9724999999999999,10.4975
2005,5717514500,3748022114.0,1969492386.0,0.3445,43021816.0,0.0,1133732714.0,1176754530.0,4924776643.0,0.0,0.0,212303438.0,857102985,0.1499,792737857.0,0.1387,-146227738.0,646510119.0,0.1131,260679024.0,384120523,0.0672,0.66,0.65,583271795,588300000,71831362.0,0.0,71831362.0,1269687731.0,363807269.0,372468201.0,2077794563.0,1026476637.0,0.0,3413178899.0,3413178899.0,0.0,30098807.0,192662255.0,4662416598.0,0.0,6740211161.0,261107089.0,250033119.0,0.0,0.0,821383606.0,1332523814.0,597011601.0,0.0,253854466.0,1189619281.0,2040485348.0,0.0,0.0,3373009163.0,62880832.0,193764079.0,823515489.0,-120549737.0,2395429051.0,3355039713.0,6728048875.0,12162286.0,6740211161.0,384120523.0,212303438.0,-3102839.0,0.0,-38068249.0,0.0,-8283525.0,0.0,8101999.0,10691498.0,565944370.0,-265762614.0,-105667929.0,0.0,0.0,14713790.0,-356716753.0,-1.0,67497519.0,0.0,-116081649.0,-136967345.0,-185551476.0,-1630363.0,22045778.0,71831362.0,49785583.0,300181756.0,1.1843,14.4,14.715,11.59,1178800.0,0.239,1.2115,12.8015
2006,6439636102,4259340697.0,2180295406.0,0.3386,38864193.0,0.0,1142699566.0,1181563759.0,5440904456.0,0.0,0.0,233897388.0,953880945,0.1481,998731647.0,0.1551,-266135582.0,732596065.0,0.1138,313296480.0,406687077,0.0632,0.69,0.69,588752468,591999265,120480287.0,0.0,120480287.0,1509351818.0,396975764.0,558366765.0,2585174634.0,1305039194.0,5222121468.0,501109647.0,5723231115.0,1.0,47523832.0,222855571.0,7298649713.0,0.0,9883824347.0,418856336.0,375769536.0,0.0,0.0,1005422049.0,1800047921.0,2901453382.0,1.0,286775815.0,1148527717.0,4336756915.0,0.0,6278219.0,6136804836.0,2555688.0,229288359.0,1029243823.0,-4103649.0,2433088824.0,3690073046.0,9826877882.0,56946465.0,9883824347.0,406687077.0,233897388.0,8261852.0,0.0,-3957415.0,0.0,-32241983.0,0.0,-51819934.0,42964811.0,687853713.0,-353987464.0,-3263584499.0,1.0,0.0,404123811.0,-3213448151.0,-1.0,273307118.0,0.0,-116472107.0,2406194618.0,2563029628.0,18583105.0,56018295.0,120480287.0,64461992.0,333866249.0,1.3199,20.03,19.965,15.96,1877900.0,0.244,1.4555,17.4155
2007,6666871763,4365232647.0,2301639117.0,0.3452,45626130.0,0.0,1172254711.0,1217880841.0,5583113487.0,0.0,0.0,249197147.0,1060431837,0.1591,1083758276.0,0.1626,-254490006.0,829268270.0,0.1244,319376737.0,491857953,0.0738,0.83,0.83,590230453,592669421,167825530.0,0.0,167825530.0,1458496382.0,436373814.0,584400335.0,2647096061.0,1408635005.0,4969532127.0,473220122.0,5442752249.0,0.0,57349020.0,163127321.0,7071863595.0,0.0,9718959656.0,364175022.0,208916002.0,0.0,0.0,1502689730.0,2075780754.0,2746232396.0,1.0,259599737.0,740898036.0,3746730170.0,0.0,0.0,5822510924.0,0.0,0.0,1294318994.0,69189194.0,2460365896.0,3823874084.0,9646385007.0,72574648.0,9718959656.0,491857953.0,249197147.0,807269.0,0.0,32150842.0,0.0,-49948483.0,0.0,-15270896.0,48738608.0,822751819.0,-397558373.0,-176870098.0,0.0,0.0,41539717.0,-532888754.0,-1.0,32190623.0,-5253764.0,-129222709.0,-131368110.0,-233653961.0,2556237.0,58765342.0,167825530.0,109060189.0,425193447.0,1.459,24.200000000000003,24.58,19.895,3590900.0,0.3135,1.7690000000000001,21.664
