,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow,Open,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
2009,108143000.0,32208000.0,75935000.0,0.7022,0.0,73717000.0,0.0,73717000.0,105925000.0,0.0,408000.0,3630000.0,5848000.0,0.0541,2218000.0,0.0205,-408000.0,1810000.0,0.0167,2618000.0,-808000.0,-0.0075,-0.11,-0.11,9985000.0,9985000.0,327000.0,0.0,327000.0,15997000.0,10609000.0,2328000.0,29261000.0,20878000.0,0.0,1877000.0,1877000.0,0.0,0.0,0.0,22755000.0,0.0,52016000.0,5761000.0,0.0,0.0,0.0,4300000.0,10061000.0,20000.0,0.0,379000.0,,399000.0,0.0,0.0,10460000.0,0.0,107000.0,-1194000.0,-16400000.0,59043000.0,41556000.0,52016000.0,0.0,52016000.0,-808000.0,3630000.0,1780000.0,0.0,-6980000.0,0.0,-2940000.0,0.0,0.0,7082000.0,4704000.0,-5244000.0,0.0,0.0,0.0,0.0,-5244000.0,0.0,34219000.0,0.0,-11765000.0,-22066000.0,388000.0,0.0,-152000.0,327000.0,479000.0,-540000.0,11.505,10.935,10.935,175100.0,0,0,10.935
2010,98398000.0,26040000.0,72358000.0,0.7354,0.0,69077000.0,0.0,69077000.0,95117000.0,0.0,3000.0,4308000.0,7430000.0,0.0755,3281000.0,0.0333,-162000.0,3119000.0,0.0317,1326000.0,1793000.0,0.0182,0.17,0.17,10700000.0,10772000.0,1090000.0,0.0,1090000.0,12321000.0,9845000.0,2609000.0,25865000.0,25101000.0,0.0,3021000.0,3021000.0,0.0,0.0,0.0,28122000.0,0.0,53987000.0,4740000.0,0.0,911000.0,0.0,4307000.0,9047000.0,0.0,0.0,1015000.0,,1015000.0,0.0,0.0,10062000.0,0.0,107000.0,599000.0,-20100000.0,63319000.0,43925000.0,53987000.0,0.0,53987000.0,1793000.0,4308000.0,939000.0,373000.0,1735000.0,1645000.0,764000.0,-1015000.0,0.0,1115000.0,10263000.0,-9683000.0,9683000.0,0.0,0.0,-9683000.0,-9683000.0,-3820000.0,203000.0,0.0,0.0,3800000.0,183000.0,0.0,763000.0,1090000.0,327000.0,580000.0,9.94,9.815,9.815,160350.0,0,0,9.815
2011,152858000.0,124000000.0,28858000.0,0.1888,0.0,20715000.0,5657000.0,26372000.0,150372000.0,0.0,37000.0,5657000.0,8153000.0,0.0533,2496000.0,0.0163,-37000.0,2459000.0,0.0161,985000.0,1474000.0,0.0096,0.1,0.1,14313000.0,14710000.0,2186000.0,0.0,2186000.0,18087000.0,21260000.0,2941000.0,44474000.0,83098000.0,1761000.0,4469000.0,6230000.0,0.0,18360000.0,254000.0,107942000.0,0.0,152416000.0,21266000.0,1053000.0,1121000.0,0.0,6613000.0,28932000.0,20838000.0,0.0,23066000.0,1027000.0,44931000.0,0.0,0.0,73863000.0,0.0,144000.0,5344000.0,-29045000.0,102110000.0,78553000.0,152416000.0,0.0,152416000.0,1474000.0,5657000.0,2775000.0,1060000.0,-6642000.0,-3984000.0,-9327000.0,5999000.0,0.0,579000.0,4903000.0,-43363000.0,-2252000.0,43363000.0,0.0,-43363000.0,-45615000.0,0.0,274000.0,0.0,0.0,20867000.0,21141000.0,0.0,-19571000.0,2186000.0,21757000.0,-38460000.0,16.560000000000002,16.555,16.555,382100.0,0,0,16.555
2012,252491000.0,213568000.0,38923000.0,0.1542,0.0,26194000.0,8141000.0,34335000.0,247903000.0,0.0,585000.0,8141000.0,12723000.0,0.0504,4582000.0,0.0181,-585000.0,3997000.0,0.0158,1743000.0,2254000.0,0.0089,0.13,0.13,16921000.0,17363000.0,47766000.0,0.0,47766000.0,23986000.0,27231000.0,3580000.0,102563000.0,90192000.0,1801000.0,4555000.0,6356000.0,0.0,0.0,0.0,96548000.0,0.0,199111000.0,16509000.0,1803000.0,1066000.0,0.0,6122000.0,24434000.0,19078000.0,0.0,5757000.0,451000.0,25286000.0,0.0,0.0,49720000.0,0.0,181000.0,7598000.0,-35800000.0,177412000.0,149391000.0,199111000.0,0.0,199111000.0,2254000.0,8141000.0,1278000.0,1066000.0,-11340000.0,-7413000.0,-5970000.0,2894000.0,0.0,1246000.0,2645000.0,-23186000.0,23186000.0,0.0,0.0,-23056000.0,-23056000.0,-29233000.0,65932000.0,0.0,0.0,29292000.0,65991000.0,0.0,45580000.0,47766000.0,2186000.0,-20541000.0,18.62,18.775,18.775,792550.0,0,0,18.775
2013,283136000.0,234638000.0,48498000.0,0.1713,0.0,30274000.0,9734000.0,40008000.0,274646000.0,0.0,417000.0,9524000.0,17914000.0,0.0633,8490000.0,0.03,-417000.0,8073000.0,0.0285,3428000.0,4545000.0,0.0161,0.25,0.24,18224000.0,18552000.0,22632000.0,0.0,22632000.0,31200000.0,27307000.0,4637000.0,85776000.0,104474000.0,9654000.0,16054000.0,25708000.0,0.0,0.0,0.0,130182000.0,0.0,215958000.0,18291000.0,2906000.0,1292000.0,0.0,8167000.0,29364000.0,18052000.0,0.0,9238000.0,,27290000.0,0.0,0.0,56654000.0,0.0,184000.0,12143000.0,-44200000.0,190243000.0,158370000.0,215024000.0,934000.0,215958000.0,4545000.0,9524000.0,3236000.0,1367000.0,-3892000.0,-7794000.0,1670000.0,189000.0,0.0,603000.0,15383000.0,-18404000.0,-21165000.0,18404000.0,0.0,-18404000.0,-39569000.0,-1983000.0,438000.0,0.0,0.0,597000.0,-948000.0,0.0,-25134000.0,22632000.0,47766000.0,-3021000.0,15.47,15.545,15.545,668350.0,0,0,15.545
2015,339052000.0,290622000.0,48430000.0,0.1428,0.0,45646000.0,12443000.0,58089000.0,348711000.0,0.0,689000.0,12877000.0,3075000.0,0.0091,-9659000.0,-0.0285,-689000.0,-10348000.0,-0.0305,-3483000.0,-7008000.0,-0.0207,-0.38,-0.38,18604000.0,18604000.0,21555000.0,0.0,21555000.0,49857000.0,30798000.0,14325000.0,116535000.0,159176000.0,19333000.0,24775000.0,44108000.0,0.0,0.0,0.0,203284000.0,0.0,319819000.0,32466000.0,5259000.0,4080000.0,0.0,15302000.0,53027000.0,73894000.0,0.0,5484000.0,,79378000.0,0.0,0.0,132405000.0,0.0,221000.0,5135000.0,-54420000.0,235560000.0,186496000.0,318901000.0,918000.0,319819000.0,-7008000.0,12877000.0,-3551000.0,627000.0,3786000.0,3755000.0,-1685000.0,1587000.0,0.0,7946000.0,14677000.0,-20358000.0,-86865000.0,20358000.0,0.0,-20240000.0,-107105000.0,-35536000.0,33808000.0,0.0,0.0,93079000.0,91351000.0,0.0,-1077000.0,21555000.0,22632000.0,-5681000.0,12.12,11.92,11.92,1146650.0,0,0,11.92
2016,347627000.0,267503000.0,80124000.0,0.2305,0.0,49823000.0,19407000.0,69230000.0,336733000.0,0.0,2069000.0,17991000.0,28713000.0,0.0826,10894000.0,0.0313,-2069000.0,8825000.0,0.0254,2811000.0,5842000.0,0.0168,0.26,0.26,22258000.0,22516000.0,36610000.0,0.0,36610000.0,47533000.0,18558000.0,6094000.0,108795000.0,154208000.0,31483000.0,19821000.0,51304000.0,0.0,0.0,0.0,205512000.0,0.0,314307000.0,30984000.0,6936000.0,6729000.0,0.0,16286000.0,54206000.0,56518000.0,0.0,5314000.0,,61832000.0,0.0,0.0,116038000.0,0.0,223000.0,12227000.0,,,197549000.0,313587000.0,720000.0,314307000.0,5842000.0,17991000.0,2589000.0,1919000.0,6673000.0,-6276000.0,4648000.0,7881000.0,0.0,3085000.0,38099000.0,-15875000.0,-3393000.0,15875000.0,0.0,-15508000.0,-18901000.0,-6699000.0,423000.0,0.0,0.0,80000.0,-6196000.0,0.0,13002000.0,36610000.0,23608000.0,22224000.0,11.975,12.41,12.41,960750.0,0,0,12.41
2017,365957000.0,276102000.0,89855000.0,0.2455,0.0,47401000.0,7027000.0,54428000.0,330530000.0,0.0,1094000.0,17967000.0,53107000.0,0.1451,35427000.0,0.0968,-1094000.0,34333000.0,0.0938,5923000.0,28123000.0,0.0768,1.24,1.23,22662000.0,22922000.0,41889000.0,0.0,41889000.0,45491000.0,21639000.0,5895000.0,114914000.0,151431000.0,31580000.0,16732000.0,48312000.0,0.0,0.0,0.0,199743000.0,0.0,314657000.0,25568000.0,0.0,5787000.0,0.0,14863000.0,40431000.0,28744000.0,0.0,9556000.0,,38300000.0,0.0,0.0,78731000.0,0.0,229000.0,41359000.0,-95659000.0,289299000.0,235228000.0,313959000.0,698000.0,314657000.0,28123000.0,17967000.0,5251000.0,3036000.0,-7679000.0,1627000.0,-3081000.0,-4912000.0,0.0,-1367000.0,45331000.0,-14400000.0,14400000.0,0.0,0.0,-10008000.0,-10008000.0,-68195000.0,402000.0,-355000.0,0.0,38104000.0,-30044000.0,0.0,5279000.0,41889000.0,36610000.0,30931000.0,15.65,17.35,17.35,1491600.0,0,0,17.35
2018,410183000.0,323165000.0,87018000.0,0.2121,0.0,47714000.0,17763000.0,65477000.0,388642000.0,0.0,1052000.0,16157000.0,37388000.0,0.0911,21541000.0,0.0525,-1052000.0,20489000.0,0.05,5451000.0,14728000.0,0.0359,0.64,0.63,23026000.0,23334000.0,43579000.0,0.0,43579000.0,51744000.0,33059000.0,6835000.0,135217000.0,163801000.0,34123000.0,14681000.0,48804000.0,0.0,0.0,0.0,212605000.0,0.0,347822000.0,32630000.0,0.0,6120000.0,166000.0,17233000.0,50029000.0,29046000.0,0.0,14516000.0,,43562000.0,0.0,0.0,93591000.0,0.0,231000.0,55819000.0,-108429000.0,305962000.0,253583000.0,347174000.0,648000.0,347822000.0,14728000.0,16157000.0,4960000.0,4381000.0,-11413000.0,-5923000.0,-11158000.0,6002000.0,0.0,1259000.0,30072000.0,-22820000.0,-4805000.0,22820000.0,0.0,-22731000.0,-27536000.0,0.0,422000.0,-1030000.0,0.0,-238000.0,-846000.0,0.0,1690000.0,43579000.0,41889000.0,7252000.0,21.65,22.37,22.37,1641050.0,0,0,22.37
2019,444427000.0,349603000.0,94824000.0,0.2134,0.0,50224000.0,31739000.0,81963000.0,431566000.0,0.0,869000.0,18249000.0,30724000.0,0.0691,12861000.0,0.0289,-869000.0,11992000.0,0.027,3243000.0,8363000.0,0.0188,0.36,0.36,23160000.0,23398000.0,60694000.0,0.0,60694000.0,55586000.0,29373000.0,7104000.0,152757000.0,268668000.0,32997000.0,16892000.0,49889000.0,0.0,0.0,0.0,318557000.0,0.0,471314000.0,38058000.0,20407000.0,6538000.0,2252000.0,29727000.0,90444000.0,98082000.0,0.0,17157000.0,,115239000.0,0.0,89141000.0,205683000.0,0.0,232000.0,64182000.0,-121778000.0,322361000.0,264997000.0,470680000.0,634000.0,471314000.0,8363000.0,18249000.0,2641000.0,3976000.0,6475000.0,-5118000.0,4025000.0,3921000.0,0.0,13550000.0,53254000.0,-31293000.0,-3521000.0,31293000.0,0.0,-31293000.0,-34814000.0,0.0,483000.0,-1428000.0,0.0,-380000.0,-1325000.0,0.0,17115000.0,60694000.0,43579000.0,21961000.0,26.575,26.52,26.52,1179600.0,0,0,26.52
