,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow,Open,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
1995,3894500000,2488800000,1405700000,0.3609,0.0,1023300000,110800000.0,1134100000,3622900000,0.0,0.0,110800000,446400000,0.1146,271600000,0.0697,64000000.0,335600000,0.0862,132600000,203000000,0.0521,0.62,0.62,328744939,328744939,32500000.0,0.0,32500000.0,675900000.0,627900000.0,61400000.0,1397700000.0,984200000.0,0.0,0.0,0.0,0.0,0.0,14900000.0,999100000.0,0.0,2396800000.0,273100000.0,163400000.0,0.0,0.0,254000000.0,690500000.0,297900000.0,0.0,64600000.0,,362500000.0,0.0,0.0,1053000000.0,0.0,0.0,1180500000.0,-746700000.0,910000000.0,1343800000.0,2396800000.0,0.0,2396800000.0,203000000.0,110800000.0,0.0,0.0,707200000.0,0.0,-42300000.0,0.0,707200000.0,-805700000.0,215300000.0,-232100000.0,0.0,0.0,0.0,1700000.0,-230400000.0,0.0,6000000.0,0.0,-31600000.0,-18000000.0,-43600000.0,15100000.0,-43600000.0,47600000.0,91200000.0,-16800000.0,10.28,10.16,5.615,48595000.0,0.3754,0.3754,5.9904
1996,4113500000,2672000000,1441500000,0.3504,0.0,1120800000,134300000.0,1255100000,3927100000,0.0,0.0,134300000,406600000,0.0988,186400000,0.0453,85900000.0,272300000,0.0662,107200000,165100000,0.0401,0.51,0.51,326930693,326930693,24500000.0,0.0,24500000.0,893900000.0,626300000.0,68100000.0,1612800000.0,1103300000.0,0.0,0.0,0.0,0.0,0.0,16500000.0,1119800000.0,0.0,2732600000.0,277600000.0,306700000.0,0.0,0.0,248000000.0,832300000.0,365700000.0,0.0,0.0,111600000.0,477300000.0,0.0,0.0,1309600000.0,0.0,0.0,1254500000.0,-838800000.0,1007300000.0,1423000000.0,2732600000.0,0.0,2732600000.0,165100000.0,134300000.0,0.0,0.0,73300000.0,0.0,1600000.0,0.0,780500000.0,-250800000.0,121900000.0,-252900000.0,0.0,0.0,0.0,-1100000.0,-254000000.0,0.0,5100000.0,-50000000.0,-41000000.0,210000000.0,124100000.0,132100000.0,124100000.0,156600000.0,32500000.0,-131000000.0,10.595,10.63,6.055,53278400.0,0.2502,0.6255999999999999,6.6806
1997,4453100000,2925900000,1527200000,0.343,0.0,1217600000,156100000.0,1373700000,4299600000,0.0,0.0,156100000,399600000,0.0897,153500000,0.0345,90000000.0,243500000,0.0547,96000000,147500000,0.0331,0.46,0.46,324175824,327187500,28300000.0,0.0,28300000.0,714600000.0,719900000.0,69600000.0,1532400000.0,1152500000.0,0.0,0.0,0.0,0.0,0.0,17600000.0,1170100000.0,0.0,2702500000.0,310400000.0,215100000.0,0.0,0.0,261900000.0,787400000.0,329300000.0,0.0,0.0,112600000.0,441900000.0,0.0,0.0,1229300000.0,0.0,0.0,1289800000.0,-944500000.0,1127900000.0,1473200000.0,2702500000.0,0.0,2702500000.0,147500000.0,156100000.0,0.0,0.0,-35500000.0,0.0,-93600000.0,0.0,745000000.0,-19200000.0,248900000.0,-204300000.0,0.0,0.0,0.0,-1800000.0,-206100000.0,0.0,15000000.0,-71800000.0,-40500000.0,58300000.0,-39000000.0,-42800000.0,-39000000.0,-14500000.0,24500000.0,44600000.0,12.095,13.22,7.705,58099400.0,0.1325,0.7581,8.4631
1998,4851600000,3136000000,1715600000,0.3536,0.0,1322900000,159700000.0,1482600000,4618600000,0.0,0.0,159700000,466900000,0.0962,233000000,0.048,74200000.0,307200000,0.0633,121000000,186200000,0.0384,0.6,0.6,310333333,310333333,24800000.0,0.0,24800000.0,664400000.0,826000000.0,79800000.0,1595000000.0,1252500000.0,0.0,0.0,0.0,0.0,0.0,17700000.0,1270200000.0,0.0,2865200000.0,321300000.0,364900000.0,0.0,0.0,256400000.0,942600000.0,319700000.0,0.0,0.0,127800000.0,447500000.0,0.0,0.0,1390100000.0,0.0,0.0,1289800000.0,-1087500000.0,1272800000.0,1475100000.0,2865200000.0,0.0,2865200000.0,186200000.0,159700000.0,0.0,0.0,-92600000.0,0.0,-106100000.0,0.0,652400000.0,47100000.0,300400000.0,-259900000.0,0.0,0.0,0.0,0.0,-259900000.0,0.0,17700000.0,-160800000.0,-41200000.0,140400000.0,-43900000.0,-40500000.0,-43900000.0,-15600000.0,28300000.0,40500000.0,15.41,15.78,9.27,71397400.0,0.15,0.9081,10.178099999999999
1999,5027900000,3167800000,1860100000,0.37,0.0,1405300000,177200000.0,1582500000,4750300000,0.0,0.0,177200000,514900000,0.1024,277600000,0.0552,60100000.0,337700000,0.0672,131000000,206700000,0.0411,0.7,0.7,293191489,293191489,241400000.0,0.0,241400000.0,587100000.0,750300000.0,101600000.0,1680400000.0,1362400000.0,0.0,0.0,0.0,0.0,0.0,72600000.0,1435000000.0,0.0,3115400000.0,339600000.0,142100000.0,0.0,0.0,286800000.0,768500000.0,804900000.0,0.0,0.0,225300000.0,1030200000.0,0.0,0.0,1798700000.0,0.0,0.0,1090600000.0,-1234900000.0,1461000000.0,1316700000.0,3115400000.0,0.0,3115400000.0,206700000.0,177200000.0,0.0,0.0,259500000.0,0.0,75800000.0,0.0,911900000.0,-42600000.0,600800000.0,-290600000.0,0.0,0.0,0.0,23000000.0,-267600000.0,0.0,15500000.0,-346100000.0,-44100000.0,258100000.0,-116600000.0,-333200000.0,-116600000.0,-91800000.0,24800000.0,310200000.0,17.11,16.235,9.635,37291300.0,0.16,1.0681,10.7031
2000,5124200000,3172500000,1951700000,0.3809,0.0,1491000000,187300000.0,1678300000,4850800000,0.0,0.0,187300000,519400000,0.1014,273400000,0.0534,58700000.0,332100000,0.0648,129500000,202600000,0.0395,0.73,0.73,275646259,277534247,27000000.0,25500000.0,52500000.0,617000000.0,797800000.0,97300000.0,1564600000.0,1429500000.0,0.0,0.0,0.0,0.0,0.0,68000000.0,1497500000.0,0.0,3062100000.0,390700000.0,129100000.0,0.0,0.0,346700000.0,866500000.0,746800000.0,0.0,0.0,263200000.0,1010000000.0,0.0,0.0,1876500000.0,0.0,247600000.0,929600000.0,-1370700000.0,1379100000.0,1185600000.0,3062100000.0,0.0,3062100000.0,202600000.0,187300000.0,0.0,0.0,-213800000.0,0.0,-47600000.0,0.0,698100000.0,202000000.0,378100000.0,-305100000.0,0.0,0.0,0.0,105600000.0,-199500000.0,0.0,9600000.0,-303000000.0,-44500000.0,-55100000.0,-393000000.0,0.0,-214400000.0,27000000.0,241400000.0,73000000.0,10.815,9.875,5.94,23658000.0,0.175,1.2431,7.1831000000000005
2001,5528537000,3457566000,2070971000,0.3746,0.0,1747048000,191950000.0,1938998000,5396564000,0.0,0.0,191950000,358968000,0.0649,131973000,0.0239,35045000.0,167018000,0.0302,65100000,101918000,0.0184,0.39,0.39,261328205,261328205,25259000.0,0.0,25259000.0,721953000.0,945687000.0,120083000.0,1812982000.0,1599938000.0,0.0,143473000.0,143473000.0,0.0,0.0,52110000.0,1795521000.0,0.0,3608503000.0,466476000.0,95646000.0,0.0,0.0,388446000.0,950568000.0,1099710000.0,0.0,0.0,328657000.0,1428367000.0,0.0,0.0,2378935000.0,0.0,0.0,900090000.0,-1554081000.0,1883559000.0,1229568000.0,3608503000.0,0.0,3608503000.0,101918000.0,191950000.0,0.0,0.0,164314000.0,0.0,-128744000.0,0.0,862414000.0,-278449000.0,179733000.0,-321454000.0,-83828000.0,0.0,0.0,86759000.0,-318523000.0,0.0,6250000.0,-85509000.0,-45935000.0,262201000.0,137007000.0,0.0,-1783000.0,25259000.0,27042000.0,-141721000.0,9.24,9.27,5.67,21748200.0,0.18,1.4231,7.0931
2002,5634130000,3765859000,1868271000,0.3316,0.0,1722635000,0.0,1722635000,5488494000,0.0,0.0,209181000,413669000,0.0734,145636000,0.0258,58852000.0,204488000,0.0363,79800000,124688000,0.0221,0.47,0.47,268146237,268146237,331327000.0,0.0,331327000.0,698475000.0,888172000.0,136624000.0,2054598000.0,1761082000.0,0.0,138331000.0,138331000.0,0.0,0.0,94768000.0,1994181000.0,0.0,4048779000.0,490988000.0,78227000.0,0.0,0.0,378523000.0,947738000.0,1351044000.0,0.0,0.0,435509000.0,1786553000.0,0.0,0.0,2734291000.0,0.0,0.0,975203000.0,-1663409000.0,2002694000.0,1314488000.0,4048779000.0,0.0,4048779000.0,124688000.0,209181000.0,15662000.0,0.0,244446000.0,0.0,215731000.0,0.0,1106860000.0,-180260000.0,413717000.0,-390138000.0,0.0,0.0,0.0,123074000.0,-267064000.0,0.0,10542000.0,-1310000.0,-48265000.0,198448000.0,159415000.0,0.0,306068000.0,331327000.0,25259000.0,23579000.0,10.76,10.66,6.664999999999999,29771400.0,0.19,1.6131,8.278099999999998
2003,5975076000,3971372000,2003704000,0.3353,0.0,1813968000,0.0,1813968000,5785340000,0.0,0.0,211752000,394017000,0.0659,189736000,0.0318,5888000.0,195624000,0.0327,92041000,90224000,0.0151,0.34,0.33,269325373,273406061,208329000.0,0.0,208329000.0,759262000.0,953112000.0,151915000.0,2072618000.0,1761544000.0,0.0,140488000.0,140488000.0,0.0,0.0,121726000.0,2023758000.0,0.0,4096376000.0,414754000.0,5789000.0,0.0,0.0,449548000.0,870091000.0,1341826000.0,0.0,0.0,512402000.0,1854228000.0,0.0,0.0,2724319000.0,0.0,0.0,1014105000.0,-117000.0,2240928000.0,1372057000.0,4096376000.0,0.0,4096376000.0,90224000.0,211752000.0,6190000.0,0.0,95667000.0,0.0,-117379000.0,0.0,1202527000.0,-125161000.0,278672000.0,-328166000.0,0.0,0.0,0.0,44160000.0,-284006000.0,0.0,14663000.0,0.0,-51322000.0,-81005000.0,-117664000.0,0.0,-122998000.0,208329000.0,331327000.0,-49494000.0,9.66,10.16,6.47,38379700.0,0.205,1.8181,8.2881
2004,6491673000,4213955000,2277718000,0.3509,0.0,1943715000,0.0,1943715000,6157670000,0.0,0.0,222971000,621112000,0.0957,334003000,0.0515,64138000.0,398141000,0.0613,155300000,242841000,0.0374,0.89,0.88,272855056,275955682,476224000.0,0.0,476224000.0,906152000.0,901623000.0,171431000.0,2455430000.0,1724273000.0,0.0,140609000.0,140609000.0,0.0,0.0,145376000.0,2010258000.0,0.0,4465688000.0,512035000.0,7119000.0,0.0,0.0,530395000.0,1049549000.0,1227410000.0,0.0,0.0,554720000.0,1782130000.0,0.0,0.0,2831679000.0,0.0,0.0,1201093000.0,8271000.0,2541852000.0,1634009000.0,4465688000.0,0.0,4465688000.0,242841000.0,222971000.0,32027000.0,0.0,203354000.0,0.0,28213000.0,0.0,1405881000.0,-127968000.0,573225000.0,-258314000.0,0.0,0.0,0.0,49458000.0,-208856000.0,0.0,57459000.0,0.0,-55853000.0,-109095000.0,-107489000.0,0.0,256880000.0,476224000.0,219344000.0,314911000.0,19.89,20.11,12.945,50714900.0,0.24,2.0581,15.0031
