,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow,Open,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
1994,95900000.0,57100000.0,38800000.0,0.4046,2100000.0,0.0,13500000.0,15600000.0,72700000.0,0.0,0.0,8412827.0,33812827.0,0.3526,23300000.0,0.243,2100000.0,25400000.0,0.2649,7600000.0,17800000.0,0.1856,0.58,0.58,30500000.0,30500000.0,82000000.0,1000000.0,83000000.0,10000000.0,12000000.0,0.0,105000000.0,81000000.0,0.0,0.0,0.0,4000000.0,0.0,2000000.0,87000000.0,0.0,192000000.0,,0.0,0.0,,16000000.0,16000000.0,7000000.0,0.0,0.0,8000000.0,15000000.0,0.0,0.0,31000000.0,0.0,144000000.0,21000000.0,-12000000.0,11192725.0,164192725.0,195192725.0,-3192725.0,192000000.0,17800000.0,8412827.0,3422167.0,0.0,570361.0,0.0,-5275841.0,0.0,0.0,380263.0,30585618.0,-25666253.0,0.0,0.0,0.0,-1853674.0,-27519927.0,0.0,54113017.0,0.0,-285181.0,-2994396.0,50833440.0,1.0,53899132.0,81775534.0,27876403.0,4919365.0,12.75,13.685,12.72,277249.5,0.0,0.0,12.72
1995,137900000.0,89900000.0,48000000.0,0.3481,2300000.0,0.0,24600000.0,26900000.0,116800000.0,0.0,0.0,18770530.0,40070530.0,0.2906,21100000.0,0.153,100000.0,21200000.0,0.1537,8700000.0,12600000.0,0.0914,0.36,0.36,34600000.0,34600000.0,14000000.0,0.0,14000000.0,12000000.0,28000000.0,1000000.0,55000000.0,223000000.0,0.0,0.0,0.0,10000000.0,0.0,0.0,233000000.0,0.0,288000000.0,,0.0,0.0,,25000000.0,25000000.0,9000000.0,0.0,0.0,16000000.0,25000000.0,0.0,0.0,50000000.0,0.0,206000000.0,34000000.0,-10000000.0,11523932.0,241523932.0,291523932.0,-3523932.0,288000000.0,12600000.0,18770530.0,6085758.0,0.0,-7772173.0,0.0,-10778390.0,0.0,0.0,1331253.0,31015368.0,-160869310.0,0.0,0.0,0.0,-5279212.0,-166148522.0,1.0,64523698.0,-366612.0,-293290.0,3299507.0,67163304.0,0.0,-67969850.0,13931253.0,81901103.0,-129853942.0,21.75,22.125,20.56,315083.0,0.0,0.0,20.56
1996,208500000.0,138300000.0,70200000.0,0.3367,3500000.0,5400000.0,26564000.0,35464000.0,182500000.0,0.0,0.0,30064000.0,53964000.0,0.2588,26000000.0,0.1247,-2000000.0,24000000.0,0.1151,13500000.0,10400000.0,0.0499,0.27,0.27,38900000.0,38900000.0,201000000.0,1000000.0,202000000.0,31000000.0,30000000.0,-1000000.0,262000000.0,253000000.0,0.0,0.0,0.0,17000000.0,0.0,2000000.0,272000000.0,0.0,534000000.0,,0.0,0.0,,25000000.0,25000000.0,60000000.0,0.0,0.0,26000000.0,86000000.0,0.0,0.0,111000000.0,0.0,289000000.0,44000000.0,174000000.0,-81001000.0,425999000.0,536999000.0,-2999000.0,534000000.0,10400000.0,30064000.0,10654000.0,0.0,-20796000.0,0.0,-1897000.0,0.0,0.0,6747000.0,37069000.0,-67351000.0,0.0,0.0,0.0,-6714000.0,-74065000.0,0.0,83332000.0,-1313000.0,0.0,141707000.0,223726000.0,1000.0,186731000.0,200595000.0,13864000.0,-30282000.0,23.44,23.065,21.43,157784.0,0.0,0.0,21.43
1997,183500000.0,137100000.0,46400000.0,0.2529,4700000.0,5946000.0,27827000.0,38473000.0,268100000.0,0.0,0.0,32527000.0,-62073000.0,-0.3383,-84600000.0,-0.461,-10000000.0,-94600000.0,-0.5155,-10900000.0,-83700000.0,-0.4561,-2.03,-2.03,41300000.0,41300000.0,190000000.0,19000000.0,209000000.0,16000000.0,22000000.0,0.0,247000000.0,197000000.0,0.0,0.0,0.0,16000000.0,8000000.0,-7000000.0,214000000.0,0.0,461000000.0,,0.0,0.0,,17000000.0,17000000.0,54000000.0,0.0,0.0,36000000.0,90000000.0,0.0,0.0,107000000.0,0.0,312000000.0,-45000000.0,166000000.0,-76255000.0,356745000.0,463745000.0,-2745000.0,461000000.0,-83700000.0,32527000.0,-11472000.0,0.0,-4757000.0,0.0,7625000.0,0.0,0.0,113989000.0,46587000.0,-64424000.0,0.0,0.0,0.0,-6925000.0,-71349000.0,0.0,23433000.0,-210000.0,0.0,-8743000.0,14480000.0,-1000.0,-10283000.0,190334000.0,200617000.0,-17837000.0,16.689999999999998,15.185,14.115,149334.5,0.0,0.0,14.115
1998,286600000.0,196300000.0,90300000.0,0.3151,10300000.0,7300000.0,70708000.0,88308000.0,514900000.0,0.0,0.0,81008000.0,-156192000.0,-0.545,-228300000.0,-0.7966,-8800000.0,-237100000.0,-0.8273,4200000.0,-241400000.0,-0.8423,-3.11,-3.11,77700000.0,77700000.0,153000000.0,1000000.0,154000000.0,55000000.0,55000000.0,1000000.0,265000000.0,810000000.0,0.0,0.0,0.0,25000000.0,7000000.0,8000000.0,850000000.0,0.0,1115000000.0,,0.0,0.0,,80000000.0,80000000.0,172000000.0,0.0,0.0,88000000.0,260000000.0,0.0,0.0,340000000.0,0.0,904000000.0,-296000000.0,150000000.0,19978000.0,777978000.0,1117978000.0,-2978000.0,1115000000.0,-241400000.0,81008000.0,-323000.0,0.0,40892000.0,0.0,10724000.0,0.0,0.0,221826000.0,102003000.0,-360016000.0,0.0,0.0,0.0,-1227000.0,-361243000.0,0.0,591994000.0,0.0,-4005000.0,-365636000.0,222353000.0,0.0,-36887000.0,153425000.0,190312000.0,-258013000.0,9.94,9.47,8.8,859884.5,0.0,0.0,8.8
1999,318200000.0,209400000.0,108800000.0,0.3419,11100000.0,11197000.0,99768000.0,122065000.0,532100000.0,0.0,0.0,110868000.0,-117532000.0,-0.3694,-213900000.0,-0.6722,-14500000.0,-228400000.0,-0.7178,2900000.0,-231300000.0,-0.7269,-2.32,-2.32,99700000.0,99700000.0,114000000.0,5000000.0,119000000.0,44000000.0,52000000.0,0.0,215000000.0,633000000.0,0.0,0.0,0.0,20000000.0,7000000.0,7000000.0,667000000.0,0.0,882000000.0,,0.0,0.0,,91000000.0,91000000.0,152000000.0,0.0,0.0,73000000.0,225000000.0,0.0,0.0,316000000.0,0.0,920000000.0,-541000000.0,182000000.0,5369000.0,566369000.0,882369000.0,-369000.0,882000000.0,-231300000.0,110868000.0,183375000.0,0.0,6568000.0,0.0,3318000.0,0.0,0.0,-45000.0,69466000.0,-79004000.0,0.0,0.0,0.0,1520000.0,-77484000.0,0.0,0.0,-5530000.0,-6912000.0,-19077000.0,-31519000.0,70000.0,-39467000.0,113910000.0,153377000.0,-9538000.0,6.47,6.38,5.92,1474715.0,0.0,0.0,5.92
2000,288100000.0,189600000.0,98500000.0,0.3419,11400000.0,10400000.0,81800000.0,103600000.0,389800000.0,0.0,0.0,93200000.0,-25100000.0,-0.0871,-101700000.0,-0.353,-16600000.0,-118300000.0,-0.4106,900000.0,-119200000.0,-0.4137,-1.2,-1.2,99400000.0,99400000.0,78000000.0,1000000.0,79000000.0,30000000.0,45000000.0,2000000.0,156000000.0,506000000.0,0.0,0.0,0.0,14000000.0,4000000.0,20000000.0,544000000.0,0.0,700000000.0,,0.0,0.0,,82000000.0,82000000.0,116000000.0,0.0,0.0,72000000.0,188000000.0,0.0,0.0,270000000.0,0.0,913000000.0,-681000000.0,188000000.0,13600000.0,433600000.0,703600000.0,-3600000.0,700000000.0,-119200000.0,93200000.0,-3500000.0,0.0,2600000.0,0.0,600000.0,0.0,-200000.0,74700000.0,47800000.0,-41600000.0,0.0,0.0,0.0,-5500000.0,-47100000.0,0.0,0.0,-2100000.0,-3400000.0,-31300000.0,-36800000.0,0.0,-36100000.0,77800000.0,113900000.0,6200000.0,2.905,2.435,2.265,2265017.5,0.0,0.0,2.265
2001,282900000.0,180700000.0,102200000.0,0.3613,7900000.0,10100000.0,77900000.0,95900000.0,300600000.0,0.0,0.0,85800000.0,56900000.0,0.2011,-17700000.0,-0.0626,-11200000.0,-28900000.0,-0.1022,2900000.0,-31800000.0,-0.1124,-0.3,-0.3,104500000.0,104500000.0,81000000.0,2000000.0,83000000.0,14000000.0,42000000.0,0.0,139000000.0,415000000.0,0.0,0.0,0.0,13000000.0,3000000.0,8000000.0,439000000.0,0.0,578000000.0,,33100000.0,0.0,,43900000.0,77000000.0,62000000.0,0.0,0.0,62000000.0,124000000.0,0.0,0.0,201000000.0,0.0,946000000.0,-726000000.0,192000000.0,-83200000.0,328800000.0,529800000.0,48200000.0,578000000.0,-31800000.0,85800000.0,0.0,0.0,6700000.0,0.0,9600000.0,0.0,0.0,13800000.0,74500000.0,-30400000.0,-1200000.0,0.0,2100000.0,4700000.0,-24800000.0,0.0,5400000.0,0.0,0.0,-51900000.0,-46500000.0,0.0,3200000.0,81000000.0,77800000.0,44100000.0,2.22,2.295,2.135,2225384.5,0.0,0.0,2.135
2002,275200000.0,174800000.0,100400000.0,0.3648,11600000.0,11300000.0,73700000.0,96600000.0,297500000.0,0.0,0.0,85300000.0,62400000.0,0.2267,-22300000.0,-0.081,-600000.0,-22900000.0,-0.0832,6500000.0,-29400000.0,-0.1068,-0.25,-0.25,119700000.0,119700000.0,171000000.0,0.0,171000000.0,16000000.0,39000000.0,20000000.0,246000000.0,330000000.0,0.0,0.0,0.0,0.0,3000000.0,19000000.0,352000000.0,0.0,598000000.0,,23300000.0,0.0,,50700000.0,74000000.0,37000000.0,0.0,0.0,55000000.0,92000000.0,0.0,23300000.0,166000000.0,0.0,1059000000.0,-761000000.0,121800000.0,-900000.0,418900000.0,584900000.0,13100000.0,598000000.0,-29400000.0,85300000.0,0.0,0.0,9200000.0,0.0,2400000.0,0.0,0.0,-2200000.0,62900000.0,-22600000.0,-100000.0,0.0,1400000.0,-19800000.0,-41100000.0,0.0,112800000.0,0.0,0.0,-45000000.0,67800000.0,0.0,89600000.0,170600000.0,81000000.0,40300000.0,4.875,5.085,4.725,9885449.5,0.0,0.0,4.725
2003,584600000.0,387300000.0,197300000.0,0.3375,24300000.0,25000000.0,116600000.0,165900000.0,560800000.0,0.0,0.0,140900000.0,164500000.0,0.2814,23800000.0,0.0407,0.0,23800000.0,0.0407,13100000.0,10500000.0,0.018,0.03,0.03,309600000.0,309600000.0,246000000.0,0.0,246000000.0,42000000.0,109000000.0,5000000.0,402000000.0,523000000.0,918000000.0,260000000.0,1178000000.0,0.0,56000000.0,-16000000.0,1741000000.0,0.0,2143000000.0,,29400000.0,0.0,,120600000.0,150000000.0,4000000.0,0.0,0.0,161000000.0,165000000.0,0.0,0.0,315000000.0,0.0,1784000000.0,3000000.0,28000000.0,-300000.0,1814700000.0,2129700000.0,13300000.0,2143000000.0,10500000.0,140900000.0,-2800000.0,0.0,-47700000.0,0.0,-11300000.0,0.0,-19300000.0,-8200000.0,92700000.0,-73400000.0,-81900000.0,0.0,57200000.0,43400000.0,-54700000.0,0.0,187900000.0,-300000.0,0.0,-159500000.0,28100000.0,9100000.0,75200000.0,245800000.0,170600000.0,19300000.0,7.035,7.105,6.605,32611750.0,0.0,0.0,6.605
