,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow,Open,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
2002,5840181.0,3885636.0,1954545.0,0.3347,0.0,1124275.0,2175965.0,3300240.0,7185876.0,,,2172637.0,-9000018.0,-1.5411,-9545241.0,-1.6344,-1627415.0,-11172656.0,-1.9131,-143650.0,-11029005.0,-1.8885,-5.85,-5.85,1885010.0,1885010.0,213576.0,0.0,213576.0,62933.0,330394.0,163910.0,770813.0,8586701.0,,,,,,784848.0,9371549.0,0.0,10142362.0,977527.0,3293200.0,,0.0,1.0,4270728.0,,,482868.0,1104418.0,1587286.0,,,5858014.0,,,-52644787.0,-1912841.0,58841976.0,4284348.0,10142362.0,0.0,10142362.0,-11029005.0,2172637.0,-143650.0,,600221.0,,275105.0,,,8811530.0,411733.0,-179986.0,,,,-816505.0,-996491.0,,176169.0,,,-836358.0,-660189.0,0.0,-1244947.0,213576.0,1458523.0,231747.0,2.0,2.0,1.65,,0.0,0.0,1.65
2004,19811377.0,10916729.0,8894648.0,0.449,0.0,4043555.0,2435929.0,6479484.0,17396213.0,,,2429895.0,4275922.0,0.2158,2339444.0,0.1181,-493417.0,1846027.0,0.0932,838381.0,1007646.0,0.0509,0.02,0.02,43674000.0,43674000.0,87054000.0,0.0,87054000.0,1177000.0,5862000.0,2068000.0,96161000.0,73692000.0,,,,,1456000.0,5797000.0,80945000.0,0.0,177106000.0,7225000.0,,,,,7225000.0,,,4600000.0,4972000.0,9572000.0,,,16797000.0,,,263000.0,12639000.0,,160309000.0,177106000.0,0.0,177106000.0,1007646.0,2429895.0,495301.0,,538209.0,,-1610676.0,,,1119602.0,5590653.0,-5961046.0,-22097791.0,,,,-28058837.0,,61105569.0,,,-4756265.0,56349304.0,0.0,33881120.0,34603464.0,722344.0,-370393.0,2.4450000000000003,2.415,1.99,4268250.0,0.0,0.0,1.99
2005,46038669.0,30370176.0,15668492.0,0.3403,,,19085008.0,19085008.0,49455184.0,,94617.0,6740135.0,-1599879.0,-0.0348,-3774338.0,-0.082,-4660293.0,-8434631.0,-0.1832,-4324834.0,-4109797.0,-0.0893,-0.03,-0.03,144888000.0,144888000.0,151632403.0,0.0,151632403.0,7421374.0,6980977.0,5666668.0,171701423.0,294484395.0,,,0.0,2258754.0,151632403.0,-151632403.0,296743149.0,-1.0,468444571.0,20605753.0,,202995.0,,10834449.0,31440203.0,106847833.0,0.0,5671829.0,9511539.0,122031201.0,,,153471404.0,,310409212.0,-3848311.0,3736492.0,,314973168.0,468444571.0,0.0,468444571.0,-4109797.0,,,,,,,,,10772519.0,6662722.0,-179969185.0,,-12583995.0,,,-192553179.0,,155098807.0,,,95369991.0,250468799.0,0.0,64578342.0,157299071.0,92720729.0,-173306463.0,3.49,3.7,3.045,8446200.0,0.0,0.0,3.045
2006,169205047.0,100004612.0,69200435.0,0.409,,,97065552.0,97065552.0,197070164.0,,28846767.0,0.0,-66355613.0,-0.3922,-33725567.0,-0.1993,-61476813.0,-95202380.0,-0.5626,-25039928.0,-70162452.0,-0.4147,-0.25,-0.25,276617000.0,276617000.0,69679480.0,0.0,69679480.0,8283163.0,51251947.0,24244792.0,153459381.0,1944723255.0,,,54999886.0,28008438.0,69679480.0,-69679480.0,2027731579.0,1.0,2181190961.0,39466257.0,,3922673.0,,37734626.0,77200883.0,,,328371742.0,59028578.0,387400319.0,,,464601202.0,,1662341816.0,-80334309.0,61578905.0,73003347.0,1716589759.0,2181190961.0,0.0,2181190961.0,-70162452.0,,,,-39709706.0,,,,3675298.0,101153143.0,-8719015.0,-219300610.0,66816989.0,,,-26543816.0,-179027437.0,-115414554.0,221208938.0,,,,105794384.0,-1.0,-81952069.0,69679480.0,151631549.0,-228019625.0,9.94,10.045,8.275,50031800.0,0.02,0.02,8.295
2007,747091270.0,287639164.0,459452107.0,0.615,,,98481700.0,98481700.0,386120864.0,,11253159.0,-2017739.0,232369190.0,0.311,316379389.0,0.4235,-93245619.0,223133770.0,0.2987,63872968.0,157243064.0,0.2105,0.38,0.36,415232000.0,431917000.0,299129231.0,43745775.0,342875006.0,123814859.0,97626420.0,86186546.0,650502831.0,8706682167.0,,,55000942.0,270736337.0,124421184.0,88577716.0,9245418346.0,0.0,9895921177.0,136354953.0,83245265.0,56287877.0,1.0,253034446.0,472634665.0,539179881.0,0.0,2696387277.0,234091797.0,3469658955.0,6939317910.0,,3942293620.0,,5502517444.0,59959961.0,73536028.0,270804599.0,5906818031.0,9849111651.0,46809526.0,9895921177.0,157243064.0,,,726787.0,5236082.0,,-30685687.0,,-33914068.0,120245168.0,283451101.0,-288733360.0,-416668020.0,,,15555660.0,-689845720.0,-53278335.0,37911399.0,,-17199966.0,654174914.0,621608012.0,1.0,215213394.0,270190243.0,54976849.0,-5282259.0,13.4,13.195,10.9,149119300.0,0.04,0.06,10.96
2008,1054607000.0,496766000.0,557841000.0,0.529,0.0,70643000.0,217081000.0,287724000.0,784490000.0,,44671000.0,25763000.0,499126000.0,0.4733,206949000.0,0.1962,221743000.0,428692000.0,0.4065,19683000.0,434772000.0,0.4123,0.63,0.62,691536000.0,701685000.0,170137000.0,0.0,170137000.0,26995000.0,123988000.0,200986000.0,522106000.0,8534081000.0,55000000.0,0.0,55000000.0,12517000.0,124021000.0,89628000.0,8815247000.0,0.0,9337353000.0,143705000.0,83749000.0,6848000.0,0.0,133341000.0,360795000.0,472215000.0,0.0,1714146000.0,233278000.0,2419639000.0,,,2780434000.0,,,424182000.0,-40651000.0,6470648000.0,6510119000.0,9290553000.0,46800000.0,9337353000.0,434772000.0,0.0,-45928000.0,4493000.0,-96892000.0,33689000.0,-34135000.0,,,32230000.0,328675000.0,-586920000.0,,,8222000.0,-445683000.0,-559715000.0,-95621000.0,272323000.0,,-69930000.0,24807000.0,131579000.0,-15296000.0,-114757000.0,170137000.0,284894000.0,-258245000.0,12.82,12.595,10.435,300815400.0,0.1,0.16,10.595
2009,1183314000.0,715816000.0,467498000.0,0.3951,0.0,101357000.0,20438000.0,121795000.0,837611000.0,,34553000.0,11933000.0,363743000.0,0.3074,341833000.0,0.2889,-24576000.0,317257000.0,0.2681,136559000.0,192631000.0,0.1628,0.26,0.26,733093000.0,734235000.0,170070000.0,0.0,170070000.0,102126000.0,101820000.0,208603000.0,582619000.0,8576361000.0,55000000.0,0.0,55000000.0,56366000.0,135454000.0,301460000.0,9124641000.0,0.0,9707260000.0,153522000.0,,42844000.0,,168760000.0,322282000.0,529450000.0,0.0,1768899000.0,291111000.0,2589460000.0,,,2911742000.0,,,587643000.0,26652000.0,6830981000.0,6748718000.0,9660460000.0,46800000.0,9707260000.0,192631000.0,0.0,54435000.0,10470000.0,32407000.0,-40802000.0,-33313000.0,94202000.0,-37696000.0,261650000.0,551593000.0,-498757000.0,,,20411000.0,-17510000.0,-495856000.0,-596891000.0,1353000.0,,-29366000.0,559947000.0,-64957000.0,9152000.0,2305000.0,170070000.0,167765000.0,52836000.0,9.23,9.37,7.85,358224150.0,0.04,0.2,8.049999999999999
2010,1686811000.0,978121000.0,708690000.0,0.4201,,109103000.0,,109103000.0,1087224000.0,,40718000.0,60593000.0,652852000.0,0.387,571104000.0,0.3386,-19563000.0,551541000.0,0.327,160690000.0,451444000.0,0.2676,0.61,0.61,739938000.0,740878000.0,330498000.0,0.0,330498000.0,268737000.0,116443000.0,212495000.0,928173000.0,8829195000.0,55000000.0,16574000.0,71574000.0,102958000.0,132145000.0,235196000.0,9371068000.0,0.0,10299241000.0,185151000.0,,81785000.0,,213649000.0,398800000.0,486550000.0,0.0,1822185000.0,300918000.0,2609653000.0,,,3008453000.0,,,976218000.0,49727000.0,7236369000.0,7243988000.0,10252441000.0,46800000.0,10299241000.0,451444000.0,0.0,22654000.0,12249000.0,-133661000.0,-83747000.0,-18182000.0,,-107419000.0,261986000.0,614672000.0,-481972000.0,-49109000.0,0.0,12204000.0,74055000.0,-444822000.0,-45000000.0,,,-48267000.0,75238000.0,-18029000.0,8607000.0,160428000.0,330498000.0,170070000.0,132700000.0,10.735,10.65,8.95,209040100.0,0.0849999999999999,0.2849999999999999,9.235
2011,2173325000.0,1073451000.0,1099874000.0,0.5061,32398000.0,121381000.0,,153779000.0,1227230000.0,12522000.0,17441000.0,0.0,835625000.0,0.3845,944962000.0,0.4348,-126778000.0,818184000.0,0.3765,269890000.0,548294000.0,0.2523,0.74,0.74,744600000.0,745356000.0,550438000.0,0.0,550438000.0,206101000.0,163421000.0,182692000.0,1102652000.0,9044094000.0,55000000.0,15682000.0,70682000.0,250455000.0,156785000.0,145272000.0,9667288000.0,0.0,10769940000.0,194300000.0,,129528000.0,,300331000.0,494631000.0,431769000.0,0.0,2000848000.0,351169000.0,2783786000.0,,,3278417000.0,,,1240867000.0,-5280000.0,7544974000.0,7444723000.0,10723140000.0,46800000.0,10769940000.0,548294000.0,,,20429000.0,-40591000.0,-33537000.0,-40571000.0,19092000.0,14750000.0,697650000.0,1225782000.0,-822223000.0,0.0,-25443000.0,1626000.0,-35000.0,-846075000.0,-55000000.0,,,-100108000.0,12430000.0,-142678000.0,-17089000.0,219940000.0,550438000.0,330498000.0,403559000.0,12.81,12.915,10.97,188666150.0,0.155,0.43999999999999995,11.41
2012,2336762000.0,831754000.0,1505008000.0,0.6441,0.0,145856000.0,473443000.0,619299000.0,1451053000.0,3708000.0,7921000.0,0.0,823049000.0,0.3522,936351000.0,0.4007,-121223000.0,815128000.0,0.3488,373064000.0,442064000.0,0.1892,0.59,0.59,748095000.0,749591000.0,349594000.0,4516000.0,354110000.0,175297000.0,230216000.0,164530000.0,924153000.0,10276071000.0,,,98514000.0,254915000.0,124843000.0,121667000.0,10876010000.0,0.0,11800163000.0,305271000.0,,103490000.0,,363748000.0,669019000.0,765912000.0,0.0,2072741000.0,430613000.0,3269266000.0,,,3938285000.0,,6304801000.0,1503016000.0,7261000.0,,7815078000.0,11753363000.0,46800000.0,11800163000.0,442064000.0,,,26293000.0,113111000.0,,-77347000.0,,-5851000.0,576589000.0,1158057000.0,-1537994000.0,,-2796000.0,,42760000.0,-1498030000.0,-167632000.0,,,-168244000.0,482275000.0,146399000.0,-7270000.0,-200844000.0,349594000.0,550438000.0,-379937000.0,16.42,17.17,14.78,131440000.0,0.24,0.6799999999999999,15.459999999999999
2013,1842682000.0,900789000.0,941893000.0,0.5112,0.0,135320000.0,509339000.0,644659000.0,1545448000.0,1648000.0,1999000.0,28104000.0,-365138000.0,-0.1982,-388944000.0,-0.2111,-6297000.0,-395241000.0,-0.2145,79110000.0,-446247000.0,-0.2422,-0.59,-0.59,752697000.0,752697000.0,220018000.0,44493000.0,264511000.0,80101000.0,229225000.0,144626000.0,718463000.0,10260801000.0,,,65548000.0,136311000.0,121599000.0,107995000.0,10692254000.0,0.0,11410717000.0,310874000.0,,53458000.0,,326496000.0,637370000.0,1189762000.0,0.0,2024541000.0,400939000.0,3615242000.0,,,4252612000.0,,6320138000.0,860507000.0,-41236000.0,,7139409000.0,11392021000.0,18696000.0,11410717000.0,-446247000.0,,,7682000.0,-54726000.0,,-44539000.0,,-613000.0,1146426000.0,653135000.0,-1047526000.0,,-3825000.0,,-2059000.0,-1053410000.0,-100000000.0,,,-196199000.0,580042000.0,283843000.0,-13144000.0,-129576000.0,220018000.0,349594000.0,-394391000.0,11.52,10.94,9.615,147289950.0,0.26,0.94,10.555
2014,1835122000.0,1045827000.0,789295000.0,0.4301,0.0,122351000.0,655425000.0,777776000.0,1823603000.0,1916000.0,53745000.0,-188206000.0,-970547000.0,-0.5289,-805834000.0,-0.4391,-30252000.0,-836086000.0,-0.4556,358781000.0,-1383073000.0,-0.7537,-1.69,-1.69,820782000.0,822505000.0,191027000.0,111779000.0,302806000.0,51014000.0,307019000.0,123168000.0,784007000.0,11142809000.0,,,325425000.0,109849000.0,112854000.0,63909000.0,11754846000.0,0.0,12538853000.0,289708000.0,,24655000.0,,438400000.0,728108000.0,2025383000.0,0.0,2655960000.0,396541000.0,5077884000.0,,,5805992000.0,,7347347000.0,-630252000.0,-2930000.0,,6714165000.0,12520157000.0,18696000.0,12538853000.0,-1383073000.0,,,5831000.0,-81069000.0,,-32456000.0,,868000.0,1987782000.0,529471000.0,-662111000.0,-462728000.0,-83647000.0,66577000.0,45009000.0,-1096900000.0,-520133000.0,,,-142853000.0,1203129000.0,540143000.0,-1069000.0,-28355000.0,191663000.0,220018000.0,-132640000.0,8.280000000000001,7.85,7.02,175391500.0,0.129,1.069,8.088999999999999
