,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow,Open,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
1999,2953100000,2478200000,474900000,0.1608,0.0,143300000,89500000.0,232800000,2711000000,,,89500000,272900000,0.0924,242100000,0.082,-58700000,183400000,0.0621,67800000,115600000,0.0391,2.87,2.34,40278746,49401709,140200000,0.0,140200000,194000000,133300000,42000000,509500000,929000000,0.0,188100000.0,188100000.0,,,50500000,1167600000,0.0,1677100000,269100000,,,,177600000,446700000,774900000,,,191800000,966700000,,,1413400000,,500000.0,64100000,-280600000.0,479700000,263700000,1677100000,0.0,1677100000,115600000,89500000,9800000,,131700000,,12700000,,62800000,-36300000,310300000,-541100000,,,,187000000.0,-354100000,,107800000.0,,,71700000,179500000,0.0,135700000,140200000.0,4500000,-230800000,14.5,14.345,12.595,621150.0,0.0,0.0,12.595
2000,3069500000,2539600000,529900000,0.1726,0.0,162600000,107900000.0,270500000,2810100000,,,107900000,311300000,0.1014,259400000,0.0845,-56000000,203400000,0.0663,74200000,129200000,0.0421,2.79,2.6,46308244,49692308,35200000,0.0,35200000,247300000,160400000,57700000,500600000,1200100000,0.0,185700000.0,185700000.0,,,16100000,1401900000,0.0,1902500000,341300000,,,,169000000,510300000,817100000,,,203100000,1020200000,,,1530500000,,500000.0,193300000,-363700000.0,541900000,372000000,1902500000,0.0,1902500000,129200000,107900000,30500000,,-72500000,,-28800000,,-9700000,57100000,252200000,-381000000,,,,,-381000000,,1100000.0,-21300000.0,,44300000,24100000,-300000.0,-105000000,35200000.0,140200000,-128800000,14.345,14.285,12.54,338350.0,0.0,0.0,12.54
2001,3107200000,2697500000,409700000,0.1319,0.0,164400000,4000000.0,168400000,2865900000,,,126600000,307500000,0.099,241300000,0.0777,-60400000,180900000,0.0582,66000000,114900000,0.037,2.55,2.36,45058824,48686441,12300000,0.0,12300000,270700000,158000000,37000000,478000000,1448700000,0.0,214800000.0,214800000.0,,,19400000,1682900000,0.0,2160900000,304000000,,,,173000000,477000000,878200000,,,271000000,1149200000,,,1626200000,,500000.0,30820000,,503380000,534700000,2160900000,0.0,2160900000,114900000,126600000,40200000,,10700000,,1200000,,1000000,-59600000,232800000,-375500000,,,,,-375500000,,57700000.0,,,62500000,120200000,-400000.0,-22900000,12300000.0,35200000,-142700000,12.975,15.0,13.17,1283100.0,0.0,0.0,13.17
2002,3480200000,2988500000,491700000,0.1413,,180500000,,180500000,3169000000,,,145800000,419600000,0.1206,311200000,0.0894,-37400000,273800000,0.0787,97700000,176100000,0.0506,3.62,3.38,48646409,52100592,9400000,0.0,9400000,335700000,174600000,46400000,566100000,1553500000,0.0,150200000.0,150200000.0,0.0,10900000.0,55000000,1769600000,0.0,2335700000,327500000,,,,207700000,535200000,734100000,0.0,52000000.0,310800000,1096900000,,,1632100000,,500000.0,484300000,-59500000.0,278300000,703600000,2335700000,0.0,2335700000,176100000,145800000,58700000,,29900000,,-15900000,,30900000,-26300000,384200000,-252900000,,,,,-252900000,,12400000.0,,,-145600000,-133200000,-1000000.0,-2900000,9400000.0,12300000,131300000,26.675,26.85,23.58,8701650.0,0.0,0.0,23.58
2003,3682700000,3142400000,540300000,0.1467,,194000000,,194000000,3336400000,,,163100000,466300000,0.1266,346300000,0.094,-43100000,303200000,0.0823,106100000,197100000,0.0535,3.84,3.7,51328125,53270270,12400000,0.0,12400000,339200000,171800000,40300000,563700000,1629500000,0.0,147800000.0,147800000.0,0.0,6900000.0,49900000,1834100000,0.0,2397800000,335700000,,,,218500000,554200000,449700000,0.0,73000000.0,366200000,888900000,,,1443100000,,500000.0,681400000,-62700000.0,335500000,954700000,2397800000,0.0,2397800000,197100000,163100000,20400000,,-21400000,,4100000,,9500000,137700000,496900000,-232100000,,,,,-232100000,,25100000.0,,,-287700000,-262600000,800000.0,3000000,12400000.0,9400000,264800000,25.270000000000003,27.06,23.77,7559750.0,0.0,0.0,23.77
2004,3599600000,3125100000,474500000,0.1318,,189700000,,189700000,3314800000,,,171100000,406900000,0.113,284800000,0.0791,-49000000,235800000,0.0655,76300000,159500000,0.0443,3.09,2.98,51618123,53523490,14400000,0.0,14400000,334900000,196800000,46500000,592600000,1713000000,0.0,147800000.0,147800000.0,0.0,6800000.0,78600000,1946200000,0.0,2538800000,398600000,,,,187000000,585600000,448000000,0.0,114500000.0,435200000,997700000,,,1583300000,,500000.0,817900000,-48800000.0,185900000,955500000,2538800000,0.0,2538800000,159500000,171100000,46300000,,-2500000,,-23700000,,7000000,78800000,453200000,-240200000,,,,,-240200000,0.0,13600000.0,-171000000.0,-23000000.0,-30900000,-211300000,300000.0,2000000,14400000.0,12400000,213000000,35.655,34.650000000000006,30.495,10531500.0,0.4499999999999999,0.4499999999999999,30.945
2005,3387300000,3082600000,304700000,0.09,,199600000,,199600000,3282200000,,,185100000,265100000,0.0783,105100000,0.031,-25100000,80000000,0.0236,24000000,56000000,0.0165,1.12,1.1,50000000,50909091,3700000,0.0,3700000,328000000,207200000,62500000,601400000,1836000000,0.0,147800000.0,147800000.0,0.0,3000000.0,78400000,2065200000,0.0,2666600000,381100000,,,,168100000,549200000,489200000,0.0,116100000.0,517300000,1122600000,,,1671800000,,500000.0,843500000,-63100000.0,213900000,994800000,2666600000,0.0,2666600000,56000000,185100000,-1100000,,45200000,,-10600000,,52200000,-4800000,280400000,-305700000,,,,,-305700000,,4600000.0,,-30400000.0,40600000,14800000,-200000.0,-10700000,3700000.0,14400000,-25300000,24.91,23.79,21.315,22426150.0,0.6,1.0499999999999998,22.365000000000002
2006,3191700000,3320300000,-128600000,-0.0403,,197400000,,197400000,3517700000,,,206000000,-149500000,-0.0468,-326000000,-0.1021,-29500000,-355500000,-0.1114,-133000000,-222500000,-0.0697,-4.42,-4.42,50339367,50339367,13500000,0.0,13500000,327600000,198400000,99900000,639400000,1731700000,147800000.0,,147800000.0,,,78600000,1958100000,0.0,2597500000,328900000,,,,212400000,541300000,672200000,0.0,6800000.0,563500000,1242500000,,,1783800000,,600000.0,590000000,13200000.0,209900000,813700000,2597500000,0.0,2597500000,-222500000,206000000,-184000000,,45900000,,1100000,,98100000,340300000,185700000,-286600000,,,,-37000000.0,-323600000,0.0,1300000.0,-100000.0,-31000000.0,177100000,147300000,400000.0,9800000,13500000.0,3700000,-100900000,17.375,17.33,15.995,17565000.0,0.6,1.65,17.645
2007,3248200000,2969800000,278400000,0.0857,,202800000,,202800000,3172600000,,,229400000,247000000,0.076,75600000,0.0233,-58000000,17600000,0.0054,-19400000,37000000,0.0114,0.72,0.7,51388889,52857143,343600000,0.0,343600000,264000000,229000000,98000000,934600000,1696200000,147800000.0,,147800000.0,,78700000.0,57400000,1980100000,0.0,2914700000,313800000,,,,197800000,511600000,858100000,0.0,6600000.0,647700000,1512400000,,,2024000000,,600000.0,583200000,64400000.0,242500000,890700000,2914700000,0.0,2914700000,37000000,229400000,-47400000,,324900000,,-28400000,,423000000,-176000000,367900000,-186500000,,,,,-186500000,0.0,13500000.0,-2000000.0,-31800000.0,168600000,148300000,400000.0,330100000,343600000.0,13500000,181400000,24.675,24.880000000000003,23.72,23189300.0,0.6,2.25,25.97
2008,2109200000,2974400000,-865200000,-0.4102,,185400000,,185400000,3159800000,,,199500000,-921500000,-0.4369,-1050600000,-0.4981,-70700000,-1121300000,-0.5316,103300000,-1224300000,-0.5805,-23.73,-23.73,51600000,51600000,198800000,77100000.0,275900000,246900000,111400000,61100000,695300000,1064200000,147800000.0,,147800000.0,,20700000.0,319700000,1552400000,0.0,2247700000,250900000,0.0,,66700000.0,200100000,517700000,1139900000,0.0,4800000.0,1021000000,2165700000,,,2683400000,,600000.0,-648600000,-40500000.0,252800000,-435700000,2247700000,0.0,2247700000,-1224300000,199500000,82500000,,-245400000,,52600000,,177600000,1024600000,-163100000,-140200000,-10700000.0,,,-80800000.0,-231700000,0.0,700000.0,-100000.0,-18300000.0,272200000,254500000,-4500000.0,-144800000,198800000.0,343600000,-303300000,13.15,6.9350000000000005,6.815,33600550.0,0.3399999999999999,2.59,9.405000000000001
