,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow,Open,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
2002,6538078000,3652698000,2885380000,0.4413,,,1575983000.0,1575983000,5228681000,463075307.0,3452134935.0,764652000.0,4791450935,0.7329,1309397000,0.2003,-734733000,574664000,0.0879,54794000,519870000,0.0795,1.21,1.21,425810050,426634263,169436000.0,191442000.0,360878000.0,804304000.0,706200000.0,79794000.0,1951176000.0,8956236000.0,,,,,,5014809000.0,13971045000.0,0.0,15922221000.0,407856000.0,1392262000.0,,0.0,1151675000.0,2951793000.0,4370527000.0,0.0,1089470000.0,564680000.0,6024677000.0,,,8976470000.0,,323576000.0,8897331000.0,-6455348000.0,2974338000.0,5739897000.0,14716367000.0,1205854000.0,15922221000.0,519870000,764652000.0,-39661000.0,,382326000,,-31662000,,,35184000,1662371000,-423672000,-263323000.0,,,-1081403000,-1768398000,0.0,303947000.0,-438391000.0,-326733000.0,515288000,54111000,0.0,-51916000,360878000,412794000,1238699000,9.347,9.2425,7.43675,32853815.5,0.407696,0.407696,7.844446
2003,7172683000,4134827000,3037856000,0.4235,,,1580957000.0,1580957000,5715784000,187331800.0,4272308528.0,825786000.0,5817306528,0.811,1456899000,0.2031,-737687000,719212000,0.1003,89712000,629500000,0.0878,1.4,1.37,448646977,458989042,148152000.0,143565000.0,291717000.0,874766000.0,595270000.0,66759000.0,1828512000.0,9276148000.0,0.0,4000588000.0,4000588000.0,0.0,190879000.0,738203000.0,14205818000.0,0.0,16034330000.0,488946000.0,1330524000.0,,0.0,1013148000.0,2832618000.0,4542087000.0,0.0,1054743000.0,830899000.0,6427729000.0,,,9260347000.0,,311321000.0,8743013000.0,-6039023000.0,3226090000.0,6241401000.0,15501748000.0,532582000.0,16034330000.0,629500000,825786000.0,-39040000.0,,9682000,,136528000,,,142042000,1567970000,-394317000,-81616000.0,,,-677643000,-1153576000,0.0,367863000.0,-654075000.0,-352988000.0,147590000,-491610000,0.0,-77216000,291716000,368932000,1173653000,8.6251,8.82455,7.48815,34365163.5,0.406176,0.8138719999999999,8.302022000000001
2004,8147855000,4585498000,3562357000,0.4372,,,1711021000.0,1711021000,6296519000,261047890.0,4148906718.0,857230000.0,6496515718,0.7973,1851336000,0.2272,-360957000,1490379000,0.1829,183413000,1306966000,0.1604,2.76,2.74,473837821,476300174,145009000.0,197253000.0,342262000.0,882440000.0,632450000.0,94130000.0,1951282000.0,9611669000.0,0.0,3970504000.0,3970504000.0,0.0,171773000.0,1672427000.0,15426373000.0,0.0,17377655000.0,535323000.0,1043523000.0,,0.0,833069000.0,2411915000.0,4885945000.0,0.0,1151340000.0,710335000.0,6747620000.0,,,9159535000.0,,330845000.0,9645594000.0,-5857426000.0,3710247000.0,7829260000.0,16988795000.0,388860000.0,17377655000.0,1306966000,857230000.0,113184000.0,,-212842000,,-13570000,,,163811000,2228349000,-433932000,-16729000.0,,,-1044700000,-1495361000,0.0,379104000.0,-70992000.0,-387666000.0,-623458000,-703012000,1000.0,29977000,342262000,312285000,1794417000,10.9884,11.034,9.59885,46614910.0,0.391358,1.2052299999999998,10.80408
2005,15340000000,9283000000,6057000000,0.3949,,,3567000000.0,3567000000,12850000000,,5594105000.0,1092000000.0,9136105000,0.5956,2490000000,0.1623,-73000000,2417000000,0.1576,336000000,2114000000,0.1378,2.14,2.13,984797975,987862676,333000000.0,269000000.0,602000000.0,2371000000.0,1038000000.0,161000000.0,4172000000.0,15561000000.0,4501000000.0,656000000.0,5157000000.0,0.0,346000000.0,1560000000.0,22624000000.0,0.0,26796000000.0,2926000000.0,1192000000.0,,0.0,1000000.0,4119000000.0,8297000000.0,0.0,2441000000.0,1573000000.0,12311000000.0,,,16430000000.0,,,12689000000.0,-7653000000.0,,9837000000.0,26267000000.0,529000000.0,26796000000.0,2114000000,1092000000.0,77000000.0,,-33000000,,149000000,,,172000000,3422000000,-786000000,-20000000.0,,,-3201000000,-4007000000,,430000000.0,,-459000000.0,872000000,843000000,-1000000.0,257000000,602000000,345000000,2636000000,15.48335,17.0184,15.6518,59988988.5,0.446832,1.652062,17.303862
2006,18249000000,11649000000,6600000000,0.3617,,,3655000000.0,3655000000,15304000000,496570000.0,5332730000.0,1192000000.0,9388730000,0.5145,2945000000,0.1614,-78000000,2867000000,0.1571,486000000,2378000000,0.1303,2.32,2.32,1022519067,1023224982,1226000000.0,354000000.0,1580000000.0,2197000000.0,1193000000.0,191000000.0,5161000000.0,17196000000.0,4826000000.0,735000000.0,5561000000.0,0.0,351000000.0,1703000000.0,24811000000.0,0.0,29972000000.0,2005000000.0,1252000000.0,,0.0,1180000000.0,4437000000.0,6290000000.0,0.0,2571000000.0,1895000000.0,10756000000.0,,,15193000000.0,,,15433000000.0,-6114000000.0,,12859000000.0,28052000000.0,1920000000.0,29972000000.0,2378000000,1192000000.0,107000000.0,,281000000,,-89000000,,,126000000,4084000000,-1596000000,253000000.0,-697000000.0,0.0,-7000000,-2047000000,,697000000.0,,-531000000.0,-1269000000,-1103000000,0.0,934000000,1579000000,645000000,2488000000,23.1775,23.4131,21.7402,95392947.5,0.505345,2.157407,23.897607
2007,21673000000,14441000000,7232000000,0.3337,,,4261000000.0,4261000000,18702000000,862266830.0,8808219390.0,1617000000.0,13255219390,0.6116,2971000000,0.1371,-64000000,2907000000,0.1341,439000000,2391000000,0.1103,2.26,2.26,1057865308,1058420305,548000000.0,246000000.0,794000000.0,2797000000.0,1798000000.0,219000000.0,5608000000.0,24010000000.0,13873000000.0,3971000000.0,17844000000.0,0.0,71000000.0,2129000000.0,44054000000.0,0.0,49662000000.0,2167000000.0,3320000000.0,,0.0,2149000000.0,7636000000.0,16544000000.0,0.0,4607000000.0,2180000000.0,23331000000.0,,,30967000000.0,,,18338000000.0,-8994000000.0,,14942000000.0,45909000000.0,3753000000.0,49662000000.0,2391000000,1617000000.0,-39000000.0,,157000000,,-109000000,,,52000000,4178000000,-2123000000,-13431000000.0,-1354000000.0,0.0,-107000000,-17015000000,,600000000.0,,-608000000.0,11945000000,11937000000,0.0,-900000000,794000000,1694000000,2055000000,24.8075,24.6365,23.41735,107914761.0,0.566139,2.723546,26.140895999999998
2008,17679630707,12083018319,5596612387,0.3166,0.0,15320000000.0,-11750430358.0,3569569642,15652587962,42090724.0,743166618.0,1516719977.0,712634487,0.0403,2027042745,0.1147,-3571023553,-1543980808,-0.0873,-1712852573,165600465,0.0094,0.15,0.15,1090485053,1090975478,758069206.0,230881070.0,988950276.0,2051541146.0,1625327130.0,291654551.0,4957473103.0,20489822623.0,,,17064262867.0,2822986333.0,,,40377071823.0,0.0,45334544926.0,1638775807.0,6925705147.0,,0.0,2538819424.0,11103300378.0,11836580401.0,0.0,2794344286.0,2352064554.0,16982989241.0,33965978482.0,,28086289619.0,,299287584.0,6207909276.0,165600465.0,7189662693.0,13862460017.0,41948749637.0,3385795289.0,45334544926.0,165600465,1516719977.0,-1712852573.0,,90360570,328729282.0,-12358244,-209508578.0,,2213506833,2273335272,-1688208782,788383251.0,143573713.0,207618494.0,-307284094,-855917418,-269700494.0,493893574.0,,-509523117.0,-920979936,-1206309974,147571969.0,358679849,988950276,630270427,585126490,19.18035,17.46295,17.2282,175651298.5,0.634531,3.3580769999999998,20.586277000000003
2009,15117777438,10675022929,4442754509,0.2939,,3232115561.0,,3232115561,13907138490,29425252.0,1032788138.0,1552506879.0,1885432589,0.1247,1210638948,0.0801,-1565346989,-354708040,-0.0235,-807551208,107688780,0.0071,0.09,0.09,1181747970,1181747970,863268114.0,214689697.0,1077957811.0,1736701315.0,1313894833.0,210333231.0,4338887190.0,19784698869.0,,,17923341486.0,2456741058.0,,0.0,40164781412.0,1.0,44503668603.0,1390553348.0,565041272.0,,0.0,1805716906.0,3761311526.0,15572531336.0,-1.0,2494802813.0,2989147050.0,21056481198.0,,,24817792724.0,,,6302736166.0,-12398349129.0,,16346147967.0,41163940691.0,3339727912.0,44503668603.0,107688780,1552506879.0,-807551208.0,,-198639560,308774075.0,298914705,-185111587.0,,2001987160,2655992051,-1153699175,1613803118.0,,,-1177010089,436793030,-2737083461.0,1830709263.0,,,-1932665851,-2839040049,-161724243.0,92020789,1077957811,985937022,1502292877,7.587,7.567299999999999,7.46555,268970600.0,0.0,3.3580769999999998,10.823627
2010,14455545104,10404732557,4050812547,0.2802,,3171526809.0,,3171526809,13576259366,35599598.0,1321969574.0,1498102436.0,1846394628,0.1277,879285737,0.0608,-1850773622,-971487885,-0.0672,365645983,-1339323364,-0.0927,-1.06,-1.06,1264244510,1264244510,296717376.0,380729184.0,677446560.0,2296295696.0,1260501476.0,190729508.0,4424973239.0,18769502741.0,-189200302086.0,205897000000.0,16696697914.0,1879318174.0,,0.0,37345518830.0,0.0,41770492069.0,1515294041.0,457118298.0,,0.0,2497323948.0,4469736287.0,15989895877.0,0.0,1390492718.0,2590904668.0,19971293263.0,,,24441029550.0,,,5131045444.0,8481462260.0,,15746212981.0,40187242531.0,1583249538.0,41770492069.0,-1339323364,1498102436.0,365645983.0,,8109248,-177511434.0,32112621,129666872.0,,1238363229,1770897532,-383243050,95040384.0,383243049.0,127720653.0,-373755230,-150994194,-779704175.0,405462.0,,,-1198303545,-1977602258,-108582828.0,-466281748,677446560,1143728308,1387654481,7.590949999999999,7.508,7.4071,279491446.0,0.0,3.3580769999999998,10.765177
2011,13639053892,9780496039,3858557853,0.2829,,,2992034362.0,2992034362,12772530401,35123507.0,1194271062.0,1259561998.0,1550174899,0.1137,866523491,0.0635,-1768673280,-902149788,-0.0661,876794782,-1780452942,-0.1305,-1.08,-1.08,1268036210,1268036210,439798022.0,718631261.0,1158429283.0,2259899586.0,1268037609.0,283932971.0,4970299448.0,16786665996.0,0.0,13579796442.0,13579796442.0,1373910920.0,2194680477.0,-1.0,33935053834.0,0.0,38905353282.0,1448683048.0,335648564.0,811719328.0,131443799.0,2719521918.0,4635297329.0,14638242244.0,0.0,1261285851.0,6037579998.0,21937108093.0,,,26572405422.0,,297005524.0,1929278927.0,-6457841018.0,15372029047.0,11140472479.0,37712877901.0,1192475381.0,38905353282.0,-1780452942,1259561998.0,876794782.0,,-52218383,-65003627.0,-41300647,-32609554.0,,162185846,465871300,-296646387,88491126.0,,,34046099,-107166201,,790099.0,,,327388434,328178534,-128498883.0,558384750,1158429283,600044533,169224913,6.7414000000000005,6.18025,6.0972,293716226.0,0.0,3.3580769999999998,9.455276999999999
