,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow,Open,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
1997,10500000,7900000.0,2600000,0.2476,0.0,1900000,100000.0,2000000,9900000.0,,,100000,700000.0,0.0667,600000,0.0571,0.0,600000,0.0571,200000,400000,0.0381,0.03,0.03,13333333,13333333,500000,0.0,500000,2300000,900000.0,700000,4400000,1000000,0.0,100000.0,100000.0,,,-100000.0,1000000,0.0,5400000,700000.0,500000.0,,0.0,300000,1500000,500000.0,,,,500000.0,,,2000000,,,1200000.0,-200000.0,2400000,3400000,5400000,0.0,5400000,400000,100000,,,-1200000.0,,-300000.0,,2900000,-100000,-800000,-1000000,,,,-100000.0,-1100000,,800000.0,,,600000.0,1400000.0,1900000.0,1400000.0,2400000.0,1000000,-1800000,8.625,9.375,9.375,663850.0,0,0,9.375
1998,13400000,10300000.0,3100000,0.2313,0.0,2200000,200000.0,2400000,12700000.0,,100000.0,200000,1000000.0,0.0746,700000,0.0522,0.0,700000,0.0522,300000,400000,0.0299,0.03,0.03,13333333,13333333,1200000,0.0,1200000,2900000,900000.0,1100000,6100000,1100000,,,,,,700000.0,1800000,0.0,7900000,1600000.0,700000.0,,0.0,800000,3100000,400000.0,,,,400000.0,,,3500000,,,1600000.0,-300000.0,3100000,4400000,7900000,0.0,7900000,400000,200000,,,100000.0,,200000.0,,3000000,-100000,600000,-100000,,,,300000.0,200000,,,,,,,,,,500000,500000,6.125,6.125,6.125,286100.0,0,0,6.125
1999,12200000,9200000.0,3000000,0.2459,0.0,2600000,100000.0,2700000,11900000.0,,,100000,,,300000,0.0246,100000.0,400000,0.0328,200000,-300000,-0.0246,-0.02,-0.02,15000000,15000000,700000,300000.0,1000000,2700000,800000.0,300000,4800000,1100000,,,,,,,1100000,0.0,5900000,800000.0,400000.0,,0.0,300000,1500000,400000.0,0.0,100000.0,-100000.0,400000.0,,,1900000,,,1300000.0,-400000.0,3100000,4000000,5900000,0.0,5900000,-300000,100000,,,300000.0,,100000.0,,3300000,-300000,-200000,-200000,,,,,-200000,,,-100000.0,,-100000.0,-200000.0,100000.0,-500000.0,700000.0,1200000,-400000,2.6875,1.96875,1.96875,703650.0,0,0,1.96875
2000,16976023,12810517.0,4165506,0.2454,0.0,3427778,216237.0,3644015,16454532.0,52368.0,92296.0,216237,812179.0,0.0478,521491,0.0307,-17845.0,503646,0.0297,122768,380878,0.0224,0.03,0.03,12964918,12964918,242592,400000.0,642592,3885933,865341.0,190369,5584235,1404017,0.0,18450.0,18450.0,,,45563.0,1468030,0.0,7052265,1333003.0,479085.0,,0.0,584693,2396781,485580.0,,11000.0,,496580.0,,,2893361,,12965.0,1702285.0,-497599.0,2941253,4158904,7052265,0.0,7052265,380878,216237,-49000.0,,-112546.0,,-93533.0,,3187454,-408351,27218,-367753,,-100000.0,,,-467753,,,,,19155.0,19155.0,0.0,-421380.0,242592.0,663972,-340535,1.0,1.03125,1.03125,292550.0,0,0,1.03125
2001,22053738,16759029.0,5294709,0.2401,,3583032,,3583032,20342061.0,,69910.0,265758,1991130.0,0.0903,1711677,0.0776,-56215.0,1655462,0.0751,673630,981832,0.0445,0.07,0.07,13236049,13236049,1244907,0.0,1244907,14908069,691048.0,1471177,18315201,5123115,0.0,14513806.0,14513806.0,,,333567.0,19970488,0.0,38285689,9076520.0,1405286.0,,0.0,1176686,11658492,12281247.0,,,,12281247.0,,,23939739,,22862.0,2487617.0,-749000.0,12584471,14345950,38285689,0.0,38285689,981832,265758,319154.0,,3469255.0,,174292.0,,6656709,-4292290,743709,-459068,,,,464223.0,5155,,,,,253451.0,253451.0,0.0,1002315.0,1244907.0,242592,284641,0.79,0.795,0.795,122950.0,0,0,0.795
2002,91561106,76617720.0,14943386,0.1632,,11378412,,11378412,87996132.0,,851015.0,806543,4514076.0,0.0493,3564974,0.0389,-708456.0,2856518,0.0312,1104695,1751823,0.0191,0.07,0.07,22861199,23013016,75095,0.0,75095,18535450,531575.0,1220330,20362450,5758386,0.0,13211628.0,13211628.0,0.0,402000.0,333552.0,19705566,0.0,40068016,4039818.0,1282281.0,,0.0,6085279,11407378,12683857.0,,,2588000.0,15271857.0,,,26679235,,22862.0,4030448.0,-1284000.0,10619471,13388781,40068016,0.0,40068016,1751823,806543,437000.0,,2298363.0,,159473.0,,8955072,-3991378,1302351,-423344,,,,-867104.0,-1290448,,,,-120773.0,-1060942.0,-1181715.0,0.0,-1169812.0,75095.0,1244907,879007,0.845,0.865,0.865,106000.0,0,0,0.865
2003,123719102,106745527.0,16973575,0.1372,,12439408,,12439408,119184935.0,,784227.0,824476,5029902.0,0.0407,4534167,0.0366,-1139401.0,3394766,0.0274,1109496,2311703,0.0187,0.09,0.09,23300600,23733807,39439,0.0,39439,21266898,118340.0,1737296,23161973,4302430,0.0,13752564.0,13752564.0,,,1313423.0,19368417,0.0,42530390,9821030.0,1394455.0,,0.0,5441783,16657268,7506062.0,0.0,156000.0,36206.0,7698268.0,,12042.0,24355536,,24034.0,6056438.0,-1642000.0,13736382,18174854,42530390,0.0,42530390,2311703,824476,542000.0,,-2450367.0,,110056.0,,6504705,5329689,6557501,-1146351,-424900.0,,,1100064.0,-471187,,25250.0,,,-6147220.0,-6121970.0,0.0,-35656.0,39439.0,75095,5411150,2.26,2.255,2.255,538100.0,0,0,2.255
2004,148888241,130294774.0,18593467,0.1249,,14101497,,14101497,144396271.0,,590227.0,1246532,5856911.0,0.0393,4491970,0.0302,-471818.0,4020152,0.027,1655763,2364389,0.0159,0.1,0.1,23454545,23785939,8006,0.0,8006,31952927,172715.0,3420760,35554408,5262370,0.0,15284220.0,15284220.0,,,1159750.0,21706340,0.0,57260748,10512123.0,1466387.0,,0.0,9072776,21051286,15585152.0,,573380.0,,16158532.0,,,37209818,,24119.0,8420827.0,-2645000.0,14250984,20050930,57260748,0.0,57260748,2364389,1246532,254000.0,,7998417.0,,-54375.0,,14503122,-14254390,-2391052,-1195588,,,,-615103.0,-1810691,,103918.0,,,4066392.0,4170310.0,0.0,-31433.0,8006.0,39439,-3586640,1.6949999999999998,1.69,1.69,584750.0,0,0,1.69
2005,233584833,205312173.0,28272660,0.121,,19688765,,19688765,225000938.0,,800072.0,1836376,10534809.0,0.0451,8583895,0.0367,-685534.0,7898361,0.0338,3115980,4782381,0.0205,0.2,0.19,24300114,25250487,159414,0.0,159414,50449551,153968.0,1905627,52668560,6861361,15454583.0,,15454583.0,,74892.0,876534.0,23267370,0.0,75935930,18986956.0,547934.0,,0.0,11308445,30843335,5227976.0,,,,5227976.0,,,36071311,,26941.0,13203208.0,-3631.0,26638101,39864619,75935930,0.0,75935930,4782381,1836376,-313150.0,,7322103.0,,18747.0,,21825225,-14547427,-919717,-3229925,796982.0,,,15400.0,-2417543,,15034940.0,,,-11542641.0,3492299.0,-3631.0,151408.0,159414.0,8006,-4149642,3.715,5.07,5.07,4707900.0,0,0,5.07
2006,303090361,276826128.0,26264233,0.0867,,29884682,,29884682,306710810.0,,1311794.0,3369244,381675.0,0.0013,-3620449,-0.0119,-678914.0,-4299363,-0.0142,-813510,-3485853,-0.0115,-0.13,-0.13,26538290,26538290,1402880,0.0,1402880,66837768,0.0,4034013,72274661,8724902,19202197.0,5426824.0,24629021.0,,,597969.0,33951892,0.0,106226553,15212075.0,2527801.0,,0.0,19348136,37088012,27162263.0,,1114224.0,,28276487.0,,,65364499,,27459.0,9717354.0,-30102.0,31147343,40862054,106226553,0.0,106226553,-3485853,3369244,-2317275.0,,13361424.0,,153968.0,,35186649,-19880504,-8952964,-3405141,-6528583.0,,,603423.0,-9330301,,933598.0,,,18619215.0,19552813.0,-26082.0,1243466.0,1402880.0,159414,-12358105,8.12,7.695,7.695,5899350.0,0,0,7.695
