,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow,Open,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
1995,584691000,465800000,118891000,0.2033,0.0,98517000,466023000,564540000,1030340000,,,6629000,35028000,0.0599,26851000.0,0.0459,1548000,28399000,0.0486,11004000,17395000,0.0298,0.09,0.09,201329248,201329248,36142000.0,457000.0,36599000.0,123793000.0,0.0,7975000.0,168367000.0,28242000.0,,,,,,7519000.0,35761000.0,0.0,204128000.0,72238000.0,285000.0,,0.0,14413000.0,86936000.0,,,,,,,,86936000.0,,120000.0,100928000.0,-20800000.0,36944000.0,117192000.0,204128000.0,0.0,204128000.0,17395000.0,6629000.0,-340000.0,,74331000.0,-24100000.0,,24500000.0,81431000.0,-74471000.0,23544000.0,-9302000.0,0.0,-47000.0,2400000.0,-977000.0,-7926000.0,0.0,2134000.0,-2063000.0,-1438000.0,44000.0,-1323000.0,420000.0,14715000.0,36142000.0,21427000.0,14242000.0,1.43,1.4449999999999998,1.0750000000000002,12174400.0,0.0075,0.0075,1.0825000000000002
1996,730088000,573300000,156788000,0.2148,0.0,127506000,573457000,700963000,1274263000,,,8147000,47731000,0.0654,37425000.0,0.0513,2159000,39584000,0.0542,15321000,24263000,0.0332,0.12,0.12,205154368,205154368,36966000.0,357000.0,37323000.0,168763000.0,0.0,9357000.0,215443000.0,46246000.0,,,,,,10297000.0,56543000.0,0.0,271986000.0,101670000.0,3452000.0,,0.0,26853000.0,131975000.0,,,,,,,,131975000.0,,242000.0,123258000.0,-28400000.0,44911000.0,140011000.0,271986000.0,0.0,271986000.0,24263000.0,8147000.0,-37000.0,,2037000.0,-45800000.0,,35700000.0,83468000.0,-10243000.0,24167000.0,-20824000.0,0.0,-13000.0,100000.0,-3058000.0,-23795000.0,0.0,2732000.0,-3320000.0,-1933000.0,3164000.0,643000.0,-191000.0,824000.0,36966000.0,36142000.0,3343000.0,1.885,1.935,1.475,20041600.0,0.1675,0.17500000000000002,1.6500000000000001
1997,954002000,726600000,227402000,0.2384,0.0,177465000,727422000,904887000,1631487000,,,11159000,73731000,0.0773,59915000.0,0.0628,2657000,62572000,0.0656,24161000,38411000,0.0403,0.2,0.18,195431432,210588176,42094000.0,214000.0,42308000.0,206501000.0,0.0,10695000.0,259504000.0,66550000.0,,,,,,16122000.0,82672000.0,0.0,342176000.0,143980000.0,2145000.0,,0.0,26127000.0,172252000.0,,,,,,,,172252000.0,,245000.0,159225000.0,-36500000.0,46954000.0,169924000.0,342176000.0,0.0,342176000.0,38411000.0,11159000.0,2253000.0,,3784000.0,-39000000.0,,44600000.0,87252000.0,4197000.0,59804000.0,-36007000.0,-7076000.0,,,-838000.0,-43921000.0,-2900000.0,3628000.0,-3091000.0,-2444000.0,13000.0,-4794000.0,-5961000.0,5128000.0,42094000.0,36966000.0,23797000.0,3.6,4.095,3.295,22561600.0,0.0125,0.18750000000000003,3.4825
1998,1063707000,784500000,279207000,0.2625,0.0,220806000,785029000,1005835000,1790335000,,,15547000,91124000,0.0857,73372000.0,0.069,2205000,75577000,0.0711,28303000,47274000,0.0444,0.24,0.22,196937752,212233536,49429000.0,394000.0,49823000.0,222598000.0,0.0,11578000.0,283999000.0,103030000.0,,,,,2183000.0,17384000.0,122597000.0,0.0,406596000.0,143523000.0,12245000.0,,0.0,33630000.0,189398000.0,,,,,,,,189398000.0,,247000.0,203050000.0,-50300000.0,64201000.0,217198000.0,406596000.0,0.0,406596000.0,47274000.0,15547000.0,3697000.0,,7349000.0,-18400000.0,,5600000.0,94601000.0,-20629000.0,53238000.0,-52455000.0,,-121000.0,,-93000.0,-52669000.0,0.0,4976000.0,-4735000.0,-3449000.0,10067000.0,6859000.0,-93000.0,7335000.0,49429000.0,42094000.0,783000.0,4.875,4.99,4.035,28390800.0,0.0175,0.20500000000000002,4.24
1999,1444575000,1089817000,354758000,0.2456,0.0,275404000,1093616000,1369020000,2458837000,,,20819000,115464000,0.0799,93323000.0,0.0646,1322000,94645000,0.0655,35470000,59175000,0.041,0.29,0.28,200548180,215311268,71183000.0,1171000.0,72354000.0,293739000.0,0.0,15566000.0,381659000.0,105905000.0,,,,,2953000.0,21263000.0,130121000.0,0.0,511780000.0,170362000.0,19442000.0,,0.0,39591000.0,229395000.0,,,,,,,,229395000.0,,507000.0,257198000.0,-67684000.0,92364000.0,282385000.0,511780000.0,0.0,511780000.0,59175000.0,20819000.0,16167000.0,,57663000.0,-73163000.0,,33493000.0,152264000.0,-100513000.0,53311000.0,-26582000.0,,-750000.0,,-4381000.0,-31713000.0,0.0,8727000.0,-8992000.0,-5027000.0,7328000.0,2036000.0,-1880000.0,21754000.0,71183000.0,49429000.0,26729000.0,7.32,7.675,6.22,19731400.0,0.025,0.23,6.45
2000,1695181000,1253754000,441427000,0.2604,0.0,330202000,1256845000,1587047000,2840801000,,,22481000,155829000,0.0919,127524000.0,0.0752,5824000,133348000,0.0787,50313000,83035000,0.049,0.41,0.38,204610480,218716072,169005000.0,1884000.0,170889000.0,347114000.0,0.0,4782000.0,522785000.0,106647000.0,,,,,8830000.0,23478000.0,138955000.0,0.0,661740000.0,229534000.0,4671000.0,,0.0,65751000.0,299956000.0,,,,,,,,299956000.0,,515000.0,333049000.0,-83640000.0,111860000.0,361784000.0,661740000.0,0.0,661740000.0,83035000.0,22481000.0,1203000.0,,70565000.0,-34399000.0,,57805000.0,222829000.0,-22826000.0,154458000.0,-25582000.0,,-818000.0,,-3081000.0,-29481000.0,-14501000.0,10241000.0,-11502000.0,-7184000.0,0.0,-22946000.0,-4209000.0,97822000.0,169005000.0,71183000.0,128876000.0,11.175,11.575,9.42,21311200.0,0.035,0.265,9.685
2001,1652633000,1173658000,478975000,0.2898,0.0,382002000,1160908000,1542910000,2716568000,,,23544000,177838000,0.1076,146017000.0,0.0884,8277000,154294000,0.0934,57051000,97243000,0.0588,0.47,0.44,208319008,219482680,218677000.0,57000.0,218734000.0,283414000.0,0.0,9109000.0,511257000.0,123845000.0,,,,,12156000.0,41179000.0,177180000.0,0.0,688437000.0,195826000.0,1706000.0,,0.0,76282000.0,273814000.0,,,,,,,,273814000.0,,516000.0,411992000.0,-100611000.0,102726000.0,414623000.0,688437000.0,0.0,688437000.0,97243000.0,23544000.0,2377000.0,,14614000.0,64772000.0,,-32774000.0,237443000.0,29836000.0,167614000.0,-37382000.0,,,1698000.0,-17173000.0,-52857000.0,-2632000.0,15279000.0,-60314000.0,-10409000.0,0.0,-58076000.0,-7009000.0,49672000.0,218677000.0,169005000.0,130232000.0,13.18,13.46,10.99,40997200.0,0.05,0.315,11.305
2002,2296903000,1764420000,532483000,0.2318,0.0,420381000,1746329000,2166710000,3931130000,,,22725000,200715000,0.0874,171009000.0,0.0745,6981000,177990000,0.0775,65461000,112529000,0.049,0.54,0.52,207785654,217762738,211859000.0,87000.0,211946000.0,385864000.0,0.0,7676000.0,605486000.0,204966000.0,5299000.0,,5299000.0,,11008000.0,53189000.0,274462000.0,0.0,879948000.0,248302000.0,1319000.0,16990000.0,0.0,106515000.0,356136000.0,,,9678000.0,-9678000.0,,,,356136000.0,,1042000.0,512036000.0,-10967000.0,21701000.0,523812000.0,879948000.0,0.0,879948000.0,112529000.0,22725000.0,-687000.0,,11907000.0,-99152000.0,,71089000.0,249350000.0,-29981000.0,116493000.0,-81427000.0,,-31000.0,,-31694000.0,-113152000.0,-790000.0,16760000.0,-16595000.0,-12485000.0,395000.0,-12715000.0,2556000.0,-6818000.0,211859000.0,218677000.0,35066000.0,14.72,14.955,12.24,26607800.0,0.06,0.375,12.615
2003,2624941000,2038916000,586025000,0.2233,0.0,469071000,2016208000,2485279000,4524195000,,,24392000,217486000,0.0829,186762000.0,0.0711,8880000,195642000,0.0745,71142000,121952000,0.0465,0.58,0.56,209466884,218003086,295832000.0,82000.0,295914000.0,448324000.0,0.0,17941000.0,762179000.0,241702000.0,7774000.0,11163000.0,18937000.0,,,18029000.0,278668000.0,0.0,1040847000.0,296895000.0,217000.0,10141000.0,0.0,95010000.0,392122000.0,,,,,,,,392122000.0,,1051000.0,617216000.0,1743000.0,25491000.0,645501000.0,1037623000.0,3224000.0,1040847000.0,121952000.0,24392000.0,-69000.0,,120707000.0,-66237000.0,,34473000.0,370057000.0,-152647000.0,114335000.0,-20745000.0,,-5000.0,,-5147000.0,-25897000.0,-2342000.0,20024000.0,-20105000.0,-16772000.0,1171000.0,-18024000.0,13559000.0,83973000.0,295832000.0,211859000.0,93590000.0,17.405,17.740000000000002,14.565,38010300.0,0.08,0.455,15.02
2004,3317499000,2593759000,723740000,0.2182,0.0,559232000,2568842000,3128074000,5721833000,,,26703000,271244000,0.0818,241045000.0,0.0727,8535000,249580000,0.0752,88415000,156126000,0.0471,0.73,0.7,212768302,221635998,408983000.0,109000.0,409092000.0,614044000.0,0.0,22724000.0,1045860000.0,287379000.0,7774000.0,10839000.0,18613000.0,,,12201000.0,318193000.0,0.0,1364053000.0,410251000.0,2250000.0,20668000.0,0.0,111815000.0,524316000.0,,,24861000.0,,24861000.0,,,549177000.0,,1066000.0,749974000.0,11686000.0,44678000.0,807404000.0,1356581000.0,7472000.0,1364053000.0,156126000.0,26703000.0,19511000.0,,151487000.0,-150213000.0,,113904000.0,521544000.0,-161168000.0,192659000.0,-66244000.0,,-23000.0,,1287000.0,-64980000.0,0.0,28983000.0,-29240000.0,-23368000.0,1863000.0,-21762000.0,7234000.0,113151000.0,408983000.0,295832000.0,126415000.0,22.985,23.795,19.68,28038400.0,0.11,0.5650000000000001,20.245
