,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow,Forex Rate,Open,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
2003,114835834,67941929,46893905,0.4084,,,40105145,40105145,108047074,,,61716668,186496505,1.624,6788760,0.0591,117991077,124779837,1.0866,47009070,77770767,0.6772,1.01,0.28,76729732,76729732,23098437,13084727,36183164,33996533,763326,-3.0,70943021,923688066,0.0,29089797,29089797,,,86614822,1039392686,-1.0,1110335706,19584502,24833445,,0.0,34425950,78843897,219323749,,,33952233,253275982,,,332119879,,70865834,73384697,93479691,525644882.0,763375104,1095494982,14840724.0,1110335706,77770767,61716668,,,-14831057,,567144,,,-92146942,32509435,-2461283,-17769.0,,,2109346,-369707,,,,,-20247383,-20247383,1.0,11892346,28440973,16548627,30048152,,4.875,5.46,1.2142499999999998,68300.0,0.199,0.199,1.41325
2004,143737486,72243160,71494326,0.4974,,,31438451,31438451,103681611,,,58603274,93871733,0.6531,40055872,0.2787,-4227374,35828498,0.2493,16366821,18901639,0.1315,0.28,0.19,67628792,101433184,44074760,31455065,75529825,41975153,782977,9019010.0,127306965,898186145,0.0,23702376,23702376,,,100633294,1022521815,-1.0,1149828779,31932646,95913001,,-1.0,46823178,174668824,145558490,,,41165990,186724480,373448960.0,,361393305,,73015833,78442371,12044006,609492847.0,772995057,1134388362,15440417.0,1149828779,18901639,58603274,,,-3002249,,-21193,,,4096070,78598733,-20466532,-3821.0,,,2690135,-17780219,,,,-10034027.0,-10639200,-20673227,0.0,40145287,68528859,28383572,58132201,,5.345000000000001,5.345000000000001,1.2089,21200.0,0.312,0.511,1.7199
2005,230057719,91804854,138252865,0.6009,,,56201816,56201816,148006670,4780134.0,12360652.0,63406089,142609076,0.6199,82051049,0.3567,-11165108,70885941,0.3081,33601326,33241009,0.1445,0.37,0.19,89405443,231401566,24950313,41694652,66644964,80620467,887733,7612506.0,155765670,980841507,0.0,22156809,22156809,,,88590799,1091589115,0.0,1247354785,49970511,56393090,,1.0,72121201,178484803,175064109,,,75733983,250798093,,,429282895,,78008589,92554148,97523727,522578796.0,790665260,1219948155,27406630.0,1247354785,33241009,63406089,,,-36539811,,-641215,,,34271507,94378793,-50586066,-4161470.0,-6022120.0,0.0,0,-60769656,,,,-18411371.0,-33771711,-52183082,-3.0,-18573948,49692965,68266913,43792727,0.3465,9.025,9.965,2.3697,23400.0,0.495,1.006,3.3757
2006,361757329,139524598,222232731,0.6143,,,93354952,93354952,232879550,,,68650055,161889686,0.4475,128877779,0.3563,-30848421,98029359,0.271,48510967,44728664,0.1236,0.56,0.28,79960904,230365682,38264494,32286310,70550804,127803507,7998119,7588535.0,213940965,913809125,11570761.0,3225855,14796616,,,214004044,1142609786,0.0,1356550751,102062817,90917523,,0.0,100902605,293882945,146015868,,,78892129,224907997,,,518790942,,78283128,106728910,99338949,523385803.0,807736790,1326527732,30023018.0,1356550751,44728664,68650055,,,-23180421,,18086853,,6089702.0,80657375,170855673,-91675385,,-23812124.0,,-8673775,-124161285,,,-1471812.0,-29032215.0,-9492754,-39996780,0.0,6697608,56467314,49769706,79180287,0.3243,8.780000000000001,9.025,2.27195,21650.0,0.782,1.788,4.05995
2007,472222075,164472170,307749904,0.6517,,,156731735,156731735,321203906,14570779.0,30229839.0,72907916,220706334,0.4674,151018169,0.3198,-27224118,123794051,0.2622,54971365,62597214,0.1326,0.73,0.27,85882913,240467068,31104697,474349914,505454611,198682522,7126054,0.0,711263187,1141416946,-3399684.0,1674880,-1724804,,,195055848,1334747989,0.0,2046011176,175400239,75451036,,0.0,143301385,394152660,663288411,,,113632736,776921147,,,1171073807,,76424706,62597214,155220490,510894381.0,805136791,1976210598,69800578.0,2046011176,62597214,72907916,,,-64669985,,-184553,,-28213305.0,104782146,175617291,-94139713,-43417275.0,-50829082.0,0.0,8399552,-179986518,,,,-45929236.0,469614526,423685290,0.0,419316063,474435694,55119630,81477578,0.3234,15.95,16.45,4.53955,37750.0,0.91,2.698,7.237550000000001
2008,639400695,231152510,408248185,0.6385,,,246231095,246231095,477383606,,,79091832,235391679,0.3681,162017092,0.2534,-6820891,155196202,0.2427,76423923,79875923,0.1249,0.93,0.37,85758653,240823080,71649769,289201555,360851324,210111210,651201,18924804.0,590538538,1311000415,-11981302.0,1164826,-10816477,,,338745249,1638929188,0.0,2229467726,217329556,105867976,,0.0,184034098,507231630,661522585,,,135646563,797169148,,,1304400778,,78114443,79875923,82456369,606711557.0,847158291,2151559069,77908657.0,2229467726,79875923,79091832,,,-142742960,,5452,,-36497400.0,151684959,167909754,-244414436,-26306391.0,-73114381.0,0.0,3588206,-340247002,,,,-55655859.0,9218059,-46437800,-2.0,-218775050,266150335,484925385,-76504682,0.3307,13.555,12.92,3.6619,8800.0,0.912,3.61,7.2719000000000005
2009,642565000,238517000,404048000,0.6288,0.0,267809000.0,46012000,313821000,552338000,4815000.0,113694000.0,94725000,203141000,0.3161,90227000,0.1404,-107135000,-16908000,-0.0263,16782000,-22060000,-0.0343,-0.26,-0.26,83974063,237374713,21524000,186169000,207693000,305948000,715000,0.0,514356000,1581723000,-6116000.0,15514000,9398000,176860000.0,,169178000,1937159000,0.0,2451515000,213715000,235824000,125546000.0,76721000.0,154125000,680385000,692134000,93528000.0,56952000.0,40099000,882713000,,,1563098000,,78206000,-22060000,-848168000,1557880000.0,765858000,2328956000,122559000.0,2451515000,-22060000,94725000,16782000.0,,-225620000,-132473000.0,465000,,-27239000.0,207631000,71458000,-200996000,,-91085000.0,,-6581000,-298662000,-106109000.0,,,-60238000.0,186647000,20300000,0.0,-206904000,48984000,255888000,-129538000,0.26335,5.495,5.995,2.0194,5550.0,0.751,4.361,6.3804
2010,784873000,258832000,526041000,0.6702,0.0,244173000.0,-38632000,205541000,464373000,7989000.0,88638000.0,121959000,408924000,0.521,320500000,0.4083,-117297000,203203000,0.2589,79225000,119102000,0.1517,1.42,0.49,83974063,276523610,27284000,162448000,189732000,369459000,14297000,23374000.0,596862000,1529571000,-13523000.0,53502000,39979000,167682000.0,37555000.0,112901000,1887688000,0.0,2484550000,225335000,295542000,76842000.0,0.0,139862000,660739000,678145000,0.0,48676000.0,135687000,862508000,,,1523247000,,78206000,119102000,-956194000,1587846000.0,828960000,2352207000,132343000.0,2484550000,119102000,121959000,79225000.0,,-233761000,-126999000.0,-1683000,7593000.0,-8969000.0,43036000,129561000,-53829000,-9890000.0,0.0,58890000.0,13947000,9118000,-259995000.0,,,-57158000.0,182912000,-134241000,0.0,4438000,53422000,48984000,75732000,0.25435,9.685,9.745,3.5469,18250.0,0.908,5.269,8.8159
2011,856468000,257760000,598708000,0.699,0.0,144748000.0,-19671000,125077000,382837000,9081000.0,116225000.0,115921000,610875000,0.7132,473631000,0.553,-87797000,385834000,0.4505,118151000,260578000,0.3042,2.15,1.07,121342577,255379662,24620000,150328000,174948000,296711000,35570000,0.0,507229000,1504230000,-27179000.0,42226000,15047000,212476000.0,,86996000,1818749000,0.0,2325978000,83830000,121615000,102053000.0,131011000.0,182598000,519054000,615503000,95021000.0,0.0,51245000,761769000,,,1280823000,,125961000,129753000,-1040896000,1692135000.0,906953000,2187776000,138202000.0,2325978000,260578000,115921000,,,-77883000,-114264000.0,60664000,6441000.0,53316000.0,154098000,452714000,-51676000,68769000.0,-7724000.0,0.0,-64627000,-55258000,-160444000.0,,,-243825000.0,98943000,-305326000,0.0,92130000,145552000,53422000,401038000,0.24325,15.97,15.405,6.368,68500.0,1.91,7.179,13.547
2012,923618000,190609000,733009000,0.7936,0.0,144876000.0,-8870000,136006000,326615000,65309000.0,79551000.0,112945000,692063000,0.7493,597003000,0.6464,-83503000,513500000,0.556,171725000,327842000,0.355,2.42,1.25,135273400,275374162,102505000,47573000,150078000,344527000,7705000,0.0,502310000,1581770000,-14582000.0,57000000,42418000,280075000.0,,81801000,1986064000,0.0,2488374000,92039000,82206000,138076000.0,151681000.0,225539000,551465000,697979000,114079000.0,0.0,148378000,960436000,,,1511901000,,125989000,35972000,-1154005000,1820091000.0,828047000,2339948000,148426000.0,2488374000,327842000,112945000,,,-103392000,-61929000.0,36128000,15041000.0,11070000.0,286358000,623753000,-117883000,-48470000.0,-5107000.0,0.0,-79976000,-251436000,-140403000.0,,,-252431000.0,-21081000,-413915000,0.0,-41598000,103954000,145552000,505870000,0.22089,15.495,15.69,8.0247,54850.0,2.172,9.351,17.375700000000002
