,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow,Open,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
2011,5532000000,2237000000,3295000000,0.5956,0.0,1888000000.0,529000000,2417000000,4654000000,6000000.0,477000000,529000000,1112000000,0.201,794000000,0.1435,-690000000,104000000,0.0188,22000000,84000000,0.0152,0.24,0.24,352469181,357501954,319000000,0.0,319000000,1080000000,0.0,266000000,1665000000,609000000,7155000000,4561000000,11716000000,0.0,198000000,316000000,12839000000,0.0,14504000000,180000000,144000000.0,,443000000,925000000,1692000000,6619000000,0.0,996000000,556000000,8171000000,,,9863000000,,30000000,-1525000000,-299000000,6427000000.0,4633000000,14496000000,8000000,14504000000,84000000,529000000,-124000000,27000000,-48000000.0,,,,-75000000,173000000,641000000,-367000000,-118000000.0,,,-191000000,-486000000,-2116000000,1809000000.0,,,57000000,-250000000,-7000000,-102000000,319000000,421000000,274000000,28.76,29.505000000000003,22.75,15323050.0,0.0,0.0,22.75
2012,5612000000,2278000000,3334000000,0.5941,0.0,1778000000.0,520000000,2298000000,4576000000,4000000.0,413000000,520000000,1346000000,0.2398,952000000,0.1696,-544000000,408000000,0.0727,140000000,273000000,0.0486,0.75,0.75,361787868,366310984,288000000,0.0,288000000,1110000000,0.0,278000000,1676000000,560000000,7352000000,4555000000,11907000000,0.0,170000000,272000000,12909000000,0.0,14585000000,150000000,355000000.0,,373000000,873000000,1751000000,6229000000,0.0,1006000000,621000000,7856000000,,,9607000000,,30000000,-1252000000,-333000000,6485000000.0,4930000000,14537000000,48000000,14585000000,273000000,520000000,47000000,34000000,674000000.0,-13000000.0,,-190000000.0,599000000,-764000000,784000000,-358000000,-164000000.0,,,-226000000,-522000000,-2230000000,,,,1932000000,-298000000,5000000,-31000000,288000000,319000000,426000000,29.0,28.950000000000003,22.32,24722950.0,0.0,0.0,22.32
2013,5703000000,2398000000,3305000000,0.5795,0.0,1815000000.0,510000000,2325000000,4723000000,2000000.0,309000000,521000000,1661000000,0.2913,861000000,0.151,-341000000,520000000,0.0912,91000000,740000000,0.1298,1.97,1.94,375797629,380927966,564000000,0.0,564000000,1196000000,0.0,374000000,2134000000,560000000,7684000000,4781000000,12465000000,0.0,115000000,256000000,13396000000,0.0,15530000000,143000000,148000000.0,,306000000,938000000,1535000000,6492000000,0.0,864000000,832000000,8188000000,,,9723000000,,32000000,-512000000,-387000000,6596000000.0,5729000000,15452000000,78000000,15530000000,740000000,521000000,-107000000,47000000,-378000000.0,-84000000.0,,-55000000.0,221000000,78000000,901000000,-374000000,-314000000.0,,,-243000000,-687000000,-2171000000,,-11000000.0,-265000000.0,2530000000,83000000,-21000000,276000000,564000000,288000000,527000000,34.230000000000004,34.56,26.835,42399800.0,0.72,0.72,27.555
2014,6288000000,2620000000,3668000000,0.5833,0.0,1917000000.0,573000000,2490000000,5110000000,3000000.0,300000000,573000000,1493000000,0.2374,1089000000,0.1732,-468000000,621000000,0.0988,236000000,384000000,0.0611,1.01,1.0,379333037,384371452,273000000,0.0,273000000,1241000000,0.0,505000000,2019000000,533000000,7671000000,4715000000,12386000000,0.0,83000000,355000000,13357000000,0.0,15376000000,223000000,397000000.0,,304000000,874000000,1798000000,6465000000,0.0,1025000000,955000000,8445000000,,,10243000000,,32000000,-128000000,-777000000,5929000000.0,5056000000,15299000000,77000000,15376000000,384000000,573000000,105000000,47000000,,-93000000.0,,-4000000.0,221000000,-16000000,1093000000,-412000000,-320000000.0,,,-249000000,-732000000,-4598000000,,-466000000.0,-356000000.0,4835000000,-585000000,-67000000,-291000000,273000000,564000000,681000000,46.035,45.42,36.275,44715100.0,0.95,1.67,37.945
2015,6172000000,2539000000,3633000000,0.5886,0.0,1915000000.0,574000000,2489000000,5028000000,4000000.0,311000000,574000000,1838000000,0.2978,1093000000,0.1771,-132000000,961000000,0.1557,383000000,570000000,0.0924,1.55,1.54,366996788,370957804,357000000,0.0,357000000,1235000000,0.0,316000000,1908000000,490000000,7783000000,4772000000,12555000000,0.0,78000000,272000000,13395000000,0.0,15303000000,216000000,310000000.0,,322000000,839000000,1687000000,7028000000,0.0,1074000000,887000000,8989000000,,,10676000000,,32000000,341000000,-1059000000,5119000000.0,4433000000,15109000000,194000000,15303000000,570000000,574000000,213000000,48000000,407000000.0,-35000000.0,,36000000.0,628000000,-633000000,1179000000,-408000000,-216000000.0,,,-231000000,-581000000,-214000000,,-667000000.0,-408000000.0,827000000,-462000000,-52000000,84000000,357000000,273000000,771000000,45.025,45.1,36.36,49055700.0,1.09,2.76,39.12
2016,6309000000,2607000000,3702000000,0.5868,0.0,1851000000.0,603000000,2454000000,5061000000,4000000.0,333000000,603000000,1747000000,0.2769,1143000000,0.1812,-327000000,816000000,0.1293,309000000,502000000,0.0796,1.4,1.39,358830080,362167129,754000000,0.0,754000000,1171000000,0.0,297000000,2222000000,471000000,7845000000,4736000000,12581000000,0.0,127000000,329000000,13508000000,0.0,15730000000,238000000,188000000.0,,297000000,871000000,1594000000,7738000000,0.0,1175000000,930000000,9843000000,,,11437000000,,32000000,456000000,-1211000000,4825000000.0,4102000000,15539000000,191000000,15730000000,502000000,603000000,88000000,51000000,-43000000.0,53000000.0,,-63000000.0,585000000,95000000,1296000000,-433000000,-251000000.0,,,-282000000,-642000000,-1969000000,,-418000000.0,-434000000.0,2573000000,-248000000,-9000000,397000000,754000000,357000000,863000000,52.055,52.055,43.205,44417850.0,1.21,3.9699999999999998,47.175
2017,6572000000,2765000000,3807000000,0.5793,0.0,1862000000.0,640000000,2502000000,5267000000,4000000.0,374000000,640000000,1831000000,0.2786,1225000000,0.1864,-397000000,828000000,0.126,388000000,429000000,0.0653,1.2,1.2,356714940,358052433,656000000,0.0,656000000,1280000000,0.0,346000000,2282000000,482000000,8495000000,5077000000,13572000000,0.0,170000000,360000000,14584000000,0.0,16866000000,296000000,84000000.0,,361000000,956000000,1697000000,8357000000,0.0,1435000000,934000000,10726000000,,,12423000000,,32000000,411000000,-940000000,4742000000.0,4245000000,16668000000,198000000,16866000000,429000000,640000000,162000000,45000000,-239000000.0,10000000.0,,31000000.0,346000000,273000000,1310000000,-489000000,-776000000.0,,,-341000000,-1236000000,-2351000000,21000000.0,-140000000.0,-474000000.0,2729000000,-215000000,43000000,-98000000,656000000,754000000,821000000,41.035,39.88,33.89,62983200.0,1.33,5.3,39.19
2018,6515000000,2805000000,3710000000,0.5695,0.0,1958000000.0,675000000,2633000000,5438000000,8000000.0,394000000,675000000,175000000,0.0269,-475000000,-0.0729,-407000000,-882000000,-0.1354,-182000000,-712000000,-0.1093,-2.0,-2.0,355601564,355601564,524000000,0.0,524000000,1118000000,0.0,361000000,2003000000,468000000,6987000000,5024000000,12011000000,0.0,333000000,364000000,13176000000,0.0,15179000000,288000000,107000000.0,,355000000,907000000,1657000000,8280000000,0.0,1108000000,1091000000,10479000000,,,12136000000,,32000000,-795000000,-1110000000,4720000000.0,2847000000,14983000000,196000000,15179000000,-712000000,675000000,-514000000,35000000,-870000000.0,95000000.0,,-21000000.0,-524000000,2444000000,1058000000,-520000000,8000000.0,,,-408000000,-506000000,-895000000,,-70000000.0,-494000000.0,783000000,-676000000,-8000000,-132000000,524000000,656000000,538000000,30.045,28.915,26.065,80738250.0,1.73,7.029999999999999,33.095
2019,6498000000,2822000000,3676000000,0.5657,0.0,1929000000.0,756000000,2685000000,5507000000,6000000.0,397000000,756000000,478000000,0.0736,-93000000,-0.0143,-570000000,-663000000,-0.102,-260000000,-415000000,-0.0639,-1.17,-1.17,355731862,355731862,454000000,0.0,454000000,1103000000,0.0,420000000,1977000000,859000000,5993000000,4881000000,10874000000,0.0,276000000,333000000,12342000000,0.0,14319000000,230000000,914000000.0,,345000000,1012000000,2501000000,7395000000,0.0,1052000000,983000000,9430000000,,481000000.0,11931000000,,32000000,-1210000000,-1005000000,4378000000.0,2195000000,14126000000,193000000,14319000000,-415000000,756000000,5000000,50000000,834000000.0,4000000.0,,-20000000.0,310000000,-164000000,1066000000,-519000000,-44000000.0,,,-422000000,-582000000,-117000000,,,-395000000.0,-32000000,-544000000,-10000000,-70000000,454000000,524000000,547000000,22.79,22.665,21.27,65743650.0,1.11,8.139999999999999,29.409999999999997
2020,6290000000,2760000000,3530000000,0.5612,,,2736000000,2736000000,5496000000,2000000.0,371000000,864000000,1296000000,0.206,466000000,0.0741,-392000000,74000000,0.0118,67000000,-6000000,-0.001,-0.02,-0.02,356860635,356860635,610000000,0.0,610000000,1154000000,0.0,460000000,2224000000,825000000,6040000000,4470000000,10510000000,0.0,281000000,295000000,11911000000,0.0,14135000000,232000000,293000000.0,42000000.0,370000000,1019000000,1914000000,8372000000,0.0,953000000,653000000,9978000000,,358000000.0,11892000000,,32000000,-1216000000,-1105000000,4340000000.0,2051000000,13943000000,192000000,14135000000,-6000000,864000000,-69000000,53000000,251000000.0,,,-38000000.0,561000000,-94000000,999000000,-519000000,-17000000.0,,,-434000000,-537000000,-3152000000,,,-86000000.0,2931000000,-307000000,1000000,156000000,610000000,454000000,480000000,14.74,14.795,14.43,81607200.0,0.24,8.379999999999999,22.81
