,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow,Open,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
1996,69200000,53700000,15500000,0.224,0.0,8400000.0,600000.0,9000000,62700000,,,600000,6500000,0.0939,6500000,0.0939,-600000.0,5900000,0.0853,2000000.0,3900000,0.0564,0.26,0.26,15025558,15329719,700000.0,0.0,700000.0,6700000.0,1900000.0,800000.0,10100000.0,1900000.0,,,,,,12400000.0,14300000.0,0.0,24400000.0,2300000.0,2100000.0,,0.0,3200000.0,7600000.0,7900000.0,,,800000.0,8700000.0,,,16300000.0,,,4300000.0,-2500000.0,6300000.0,8100000.0,24400000.0,0.0,24400000.0,3900000,600000,,,2500000.0,,-300000.0,,2500000.0,-800000,6200000,-600000,,,,,-600000,,500000.0,-3700000.0,,-3500000.0,-6700000,-5600000.0,-6700000,-5000000.0,1700000,5600000,4.5,4.5625,3.6888,511650.0,0.0,0.0,3.6888
1997,69120000,53630000,15490000,0.2241,0.0,4990000.0,3640000.0,8630000,62260000,,,700000,7560000,0.1094,7400000,0.1071,-540000.0,6860000,0.0992,2330000.0,4530000,0.0655,0.31,0.31,14710336,15008807,2330000.0,0.0,2330000.0,7300000.0,2220000.0,460000.0,12310000.0,2980000.0,,,,,,9020000.0,12000000.0,0.0,24310000.0,1480000.0,,,,3030000.0,4510000.0,7790000.0,,,790000.0,8580000.0,,,13090000.0,,130000.0,7030000.0,-3490000.0,7550000.0,11220000.0,24310000.0,0.0,24310000.0,4530000,700000,,,5300000.0,,-300000.0,,7800000.0,-5130000,5400000,-600000,,,,,-600000,,500000.0,-1900000.0,,-2000000.0,-3400000,-4800000.0,-3400000,-2700000.0,700000,4800000,4.3125,4.34375,3.5128500000000003,746350.0,0.12,0.12,3.6328500000000004
1998,68640000,53120000,15520000,0.2261,0.0,4790000.0,3710000.0,8500000,61620000,,,900000,7920000,0.1154,6500000,0.0947,520000.0,7020000,0.1023,2140000.0,4880000,0.0711,0.35,0.33,13691596,14528712,2340000.0,0.0,2340000.0,6760000.0,1950000.0,560000.0,11610000.0,2680000.0,,,,,,7480000.0,10160000.0,0.0,21770000.0,2010000.0,,,,2640000.0,4650000.0,5450000.0,,,760000.0,6210000.0,,,10860000.0,,130000.0,5880000.0,-4150000.0,9060000.0,10920000.0,21780000.0,-10000.0,21770000.0,4880000,900000,,,-840000.0,,300000.0,,6960000.0,1460000,6400000,-1300000,,,,1000000.0,-300000,0.0,1100000.0,-2600000.0,-2300000.0,-2300000.0,-6100000,-6100000.0,-6100000,-3800000.0,2300000,5100000,5.4219,5.3594,4.50135,705050.0,0.24,0.36,4.861350000000001
1999,66300000,55270000,11030000,0.1664,0.0,3670000.0,3260000.0,6930000,62200000,,,900000,4990000,0.0753,4300000,0.0649,-200000.0,4100000,0.0618,1340000.0,2750000,0.0415,0.22,0.21,12597735,13111224,510000.0,0.0,510000.0,5400000.0,2390000.0,1740000.0,10040000.0,3340000.0,,,,,,5210000.0,8550000.0,0.0,18590000.0,2640000.0,,,,2220000.0,4860000.0,6940000.0,,,730000.0,7670000.0,,,12530000.0,,150000.0,14380000.0,-4770000.0,,6060000.0,18590000.0,0.0,18590000.0,2750000,900000,1100000.0,,-1780000.0,,-400000.0,,5180000.0,2830000,5800000,-600000,,,,,-600000,0.0,100000.0,-5800000.0,-2100000.0,800000.0,-7000000,0.0,-1800000,500000.0,2300000,5200000,3.57815,3.59375,3.201,564700.0,0.24,0.6,3.801
2000,67640000,55910000,11730000,0.1734,0.0,3910000.0,3430000.0,7340000,63250000,,,1210000,5600000,0.0828,4916000,0.0727,-526000.0,4390000,0.0649,1510000.0,2880000,0.0426,0.23,0.23,12207225,12342070,480000.0,0.0,480000.0,5490000.0,2910000.0,1690000.0,10570000.0,2820000.0,,,,,,4300000.0,7120000.0,0.0,17690000.0,2250000.0,,,,3580000.0,5830000.0,10660000.0,,,710000.0,11370000.0,,,17200000.0,,150000.0,13160000.0,-4500000.0,,490000.0,17690000.0,0.0,17690000.0,2880000,1210000,1127000.0,,-440000.0,,-517000.0,,4740000.0,-199000,4578000,-754000,,,,,-754000,0.0,144000.0,-6103000.0,-2799000.0,4909000.0,-3849000,0.0,-25000,484000.0,509000,3824000,3.53125,3.40625,3.22565,338850.0,0.24,0.84,4.06565
2001,65270000,53780000,11490000,0.176,0.0,4080000.0,3490000.0,7570000,61350000,,,1343000,5263000,0.0806,4381000,0.0671,-461000.0,3920000,0.0601,1440000.0,2480000,0.038,0.21,0.21,11472591,11476906,540000.0,0.0,540000.0,5800000.0,2060000.0,1860000.0,10260000.0,7170000.0,,,,,,2440000.0,9610000.0,0.0,19870000.0,3250000.0,,,,3730000.0,6980000.0,11160000.0,,,870000.0,12030000.0,,,19010000.0,,150000.0,14200000.0,-4800000.0,,870000.0,19880000.0,-10000.0,19870000.0,2480000,1343000,1247000.0,,-1460000.0,,847000.0,,3280000.0,2810000,6420000,-4713000,,,,,-4713000,0.0,298000.0,-1329000.0,-1243000.0,623000.0,-1651000,0.0,56000,540000.0,484000,1707000,2.01,1.94,1.94,212850.0,0.0,0.84,2.78
2002,66642000,54146000,12496000,0.1875,,9941000.0,,9941000,64087000,,,1337000,3060000,0.0459,2555000,0.0383,-832000.0,1723000,0.0259,586000.0,1137000,0.0171,0.1,0.1,10886825,10890062,770000.0,0.0,770000.0,4199000.0,1526000.0,2202000.0,8697000.0,13904000.0,,,,,1347000.0,666000.0,15917000.0,0.0,24614000.0,1527000.0,1885000.0,,0.0,2529000.0,5941000.0,15091000.0,,,653000.0,15744000.0,,,21685000.0,,150000.0,15338000.0,-7189000.0,,2929000.0,24614000.0,0.0,24614000.0,1137000,1337000,538000.0,,-524000.0,,537000.0,,2756000.0,3072000,5560000,-8952000,,,,24000.0,-8928000,,,,,3598000.0,3598000,0.0,230000,770000.0,540000,-3392000,1.41,1.4249999999999998,1.4249999999999998,122850.0,0.0,0.84,2.2649999999999997
2003,58470000,47420000,11050000,0.189,0.0,2360000.0,4050000.0,6410000,53830000,,,1403000,6043000,0.1034,3637000,0.0622,1003000.0,4640000,0.0794,1550000.0,3090000,0.0528,0.29,0.29,10850147,10853384,400000.0,0.0,400000.0,3990000.0,1510000.0,1120000.0,7020000.0,13250000.0,,,,,,530000.0,13780000.0,0.0,20800000.0,1220000.0,,,,3500000.0,4720000.0,9680000.0,,,990000.0,10670000.0,,33000.0,15390000.0,,150000.0,18140000.0,-2440000.0,-10443000.0,5407000.0,20797000.0,3000.0,20800000.0,3090000,1403000,1381000.0,,-456000.0,,15000.0,,2300000.0,-1397000,4021000,-476000,,,,6000.0,-470000,,,,,-3922000.0,-3922000,0.0,-371000,399000.0,770000,3545000,2.24,2.255,2.255,137700.0,0.0,0.84,3.0949999999999998
2004,59990000,49020000,10970000,0.1829,0.0,3530000.0,3790000.0,7320000,56340000,,,1133000,4783000,0.0797,4032000,0.0672,-382000.0,3650000,0.0608,1410000.0,2240000,0.0373,0.2,0.2,10869565,10913794,620000.0,0.0,620000.0,3790000.0,1710000.0,600000.0,6720000.0,12770000.0,,,,,,1420000.0,14190000.0,0.0,20910000.0,1250000.0,,,,2520000.0,3770000.0,7960000.0,,,460000.0,8420000.0,,23000.0,12190000.0,,150000.0,20380000.0,-600000.0,-11213000.0,8717000.0,20907000.0,3000.0,20910000.0,2240000,1133000,500000.0,,650000.0,,-202000.0,,2950000.0,-1011000,3512000,-655000,-682000.0,,,38000.0,-1299000,,150000.0,,,-2145000.0,-1995000,0.0,218000,617000.0,399000,2857000,2.885,2.92,2.92,145750.0,0.0,0.84,3.76
2005,55270000,46620000,8650000,0.1565,0.0,4910000.0,3380000.0,8290000,54910000,,,1143000,1503000,0.0272,949000,0.0172,-589000.0,360000,0.0065,160000.0,200000,0.0036,0.02,0.02,10900849,10940763,170000.0,0.0,170000.0,4040000.0,1920000.0,850000.0,6980000.0,12160000.0,,,,,,1120000.0,13280000.0,0.0,20260000.0,1960000.0,,,,1790000.0,3750000.0,7310000.0,,,290000.0,7600000.0,,13000.0,11350000.0,,150000.0,20580000.0,-380000.0,-11444000.0,8906000.0,20256000.0,4000.0,20260000.0,200000,1143000,39000.0,,280000.0,,-205000.0,,3230000.0,-574000,1088000,-753000,,,,,-753000,,30000.0,-160000.0,,-649000.0,-779000,0.0,-444000,173000.0,617000,335000,2.67,2.71,2.71,86050.0,0.0,0.84,3.55
