,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow,Open,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
2009,2239871000.0,1819771000.0,420100000.0,0.1876,,,184262000.0,184262000.0,2004033000.0,92000.0,132469000.0,70981000.0,316248000.0,0.1412,235838000.0,0.1053,-119434000.0,116404000.0,0.052,37516000.0,75282000.0,0.0336,0.61,0.61,85587000.0,86045000.0,83680000.0,0.0,83680000.0,307079000.0,0.0,83954000.0,474713000.0,466131000.0,1548269000.0,65297000.0,1613566000.0,,,47823000.0,2127520000.0,0.0,2602233000.0,73434000.0,4145000.0,,0.0,226362000.0,303941000.0,1401426000.0,0.0,66768000.0,60543000.0,1528737000.0,,,1832678000.0,,160000.0,169094000.0,-9000000.0,578734000.0,738988000.0,2571666000.0,30567000.0,2602233000.0,75282000.0,70981000.0,27103000.0,5147000.0,52402000.0,-35455000.0,,963000.0,170772000.0,-65276000.0,165639000.0,-57877000.0,-21000000.0,,,960000.0,-77917000.0,-576689000.0,146000.0,-80000.0,,508321000.0,-68302000.0,0.0,19420000.0,83680000.0,64260000.0,107762000.0,9.67,9.885,7.805,7766500.0,0.0,0.0,7.805
2010,2390290000.0,1982179000.0,408111000.0,0.1707,,,171974000.0,171974000.0,2154153000.0,,112337000.0,68706000.0,300315000.0,0.1256,236137000.0,0.0988,-112145000.0,123992000.0,0.0519,41628000.0,77644000.0,0.0325,0.49,0.48,159184000.0,159442000.0,4365000.0,0.0,4365000.0,353432000.0,0.0,71529000.0,429326000.0,532100000.0,1631252000.0,80119000.0,1711371000.0,,,49289000.0,2292760000.0,0.0,2722086000.0,74193000.0,168171000.0,,0.0,257194000.0,499558000.0,1281390000.0,0.0,59074000.0,66650000.0,1407114000.0,,,1906672000.0,,155000.0,248097000.0,-226141000.0,761769000.0,783880000.0,2690552000.0,31534000.0,2722086000.0,77644000.0,68706000.0,9450000.0,2236000.0,-241004000.0,-64329000.0,,-7161000.0,-70232000.0,227505000.0,144537000.0,-51761000.0,-166000000.0,,,763000.0,-216998000.0,-210659000.0,241000.0,-44144000.0,,247708000.0,-6854000.0,0.0,-79315000.0,4365000.0,83680000.0,92776000.0,7.904999999999999,7.59,5.995,6355200.0,0.0,0.0,5.995
2011,2804507000.0,2308570000.0,495937000.0,0.1768,,,185218000.0,185218000.0,2493788000.0,322000.0,99216000.0,71517000.0,349547000.0,0.1246,310719000.0,0.1108,-126989000.0,183730000.0,0.0655,70968000.0,107846000.0,0.0385,0.71,0.71,150501000.0,150725000.0,12043000.0,0.0,12043000.0,413743000.0,0.0,57624000.0,483410000.0,510028000.0,1631716000.0,72123000.0,1703839000.0,,,74870000.0,2288737000.0,0.0,2772147000.0,95618000.0,27457000.0,,0.0,260863000.0,383938000.0,1385950000.0,0.0,82028000.0,64905000.0,1532883000.0,,,1916821000.0,,145000.0,328882000.0,-276375000.0,770203000.0,822855000.0,2739676000.0,32471000.0,2772147000.0,107846000.0,71517000.0,35305000.0,3725000.0,169704000.0,-111126000.0,,20629000.0,99472000.0,-170969000.0,217128000.0,-46016000.0,-1000000.0,,,-7719000.0,-54735000.0,-1642506000.0,208000.0,-72804000.0,,1560387000.0,-154715000.0,0.0,7678000.0,12043000.0,4365000.0,171112000.0,8.06,8.27,6.53,6421000.0,0.0,0.0,6.53
2012,2948969000.0,2443550000.0,505419000.0,0.1714,0.0,66194000.0,63311000.0,129505000.0,2573055000.0,,94950000.0,63311000.0,396148000.0,0.1343,336859000.0,0.1142,-93309000.0,243550000.0,0.0826,89657000.0,148230000.0,0.0503,1.05,1.05,138767000.0,139042000.0,40144000.0,0.0,40144000.0,359929000.0,0.0,53590000.0,453663000.0,501552000.0,1640534000.0,71745000.0,1712279000.0,,,93867000.0,2307698000.0,0.0,2761361000.0,89547000.0,29482000.0,,0.0,269434000.0,388463000.0,1458597000.0,0.0,89510000.0,79313000.0,1627420000.0,,,2015883000.0,,141000.0,243210000.0,-316672000.0,790369000.0,717048000.0,2732931000.0,28430000.0,2761361000.0,148230000.0,63311000.0,7909000.0,5677000.0,-34272000.0,15158000.0,,-6117000.0,65200000.0,107827000.0,298682000.0,-68185000.0,-6000000.0,,,1779000.0,-72406000.0,-703665000.0,1817000.0,-46902000.0,-210888000.0,761463000.0,-198175000.0,0.0,28101000.0,40144000.0,12043000.0,230497000.0,9.335,9.77,7.715,7848500.0,1.5,1.5,9.215
2013,2975648000.0,2495476000.0,480172000.0,0.1614,0.0,76921000.0,64392000.0,141313000.0,2636789000.0,,87364000.0,64392000.0,340938000.0,0.1146,301436000.0,0.1013,-103635000.0,197801000.0,0.0665,74792000.0,114390000.0,0.0384,0.82,0.82,136879000.0,137047000.0,4319000.0,0.0,4319000.0,391319000.0,0.0,58764000.0,454402000.0,509102000.0,1642633000.0,71907000.0,1714540000.0,,,139578000.0,2363220000.0,0.0,2817622000.0,88285000.0,30071000.0,,0.0,253168000.0,371524000.0,1427710000.0,0.0,96287000.0,103459000.0,1627456000.0,,,1998980000.0,,140000.0,311365000.0,-357193000.0,831922000.0,786234000.0,2785214000.0,32408000.0,2817622000.0,114390000.0,64392000.0,7032000.0,7033000.0,17678000.0,-67145000.0,,-1283000.0,82878000.0,-18002000.0,192523000.0,-73660000.0,-2000000.0,,,-31646000.0,-107306000.0,-1650184000.0,1525000.0,-11781000.0,-41961000.0,1581359000.0,-121042000.0,0.0,-35825000.0,4319000.0,40144000.0,118863000.0,8.615,8.57,8.025,11763100.0,0.3,1.8,9.825000000000001
2014,3065017000.0,2582340000.0,482677000.0,0.1575,0.0,85247000.0,68354000.0,153601000.0,2735941000.0,,85446000.0,68354000.0,350049000.0,0.1142,284476000.0,0.0928,-80679000.0,203797000.0,0.0665,75622000.0,120627000.0,0.0394,0.91,0.91,129026000.0,129465000.0,3354000.0,0.0,3354000.0,444269000.0,0.0,80021000.0,527644000.0,542310000.0,1642083000.0,72519000.0,1714602000.0,,,140253000.0,2397165000.0,0.0,2924809000.0,108532000.0,32620000.0,,0.0,253272000.0,394424000.0,1542102000.0,0.0,109203000.0,103840000.0,1755145000.0,,,2149569000.0,,131000.0,325678000.0,-395350000.0,809056000.0,739515000.0,2889084000.0,35725000.0,2924809000.0,120627000.0,68354000.0,14311000.0,11186000.0,50342000.0,-97802000.0,,5997000.0,133220000.0,-94178000.0,170642000.0,-95246000.0,-1000000.0,,,-4845000.0,-101091000.0,-918667000.0,7355000.0,-130734000.0,-53366000.0,1024896000.0,-70516000.0,0.0,-965000.0,3354000.0,4319000.0,75396000.0,14.0,14.21,13.745,16126300.0,0.4,2.2,15.945
2015,3742736000.0,3211541000.0,531195000.0,0.1419,0.0,92052000.0,104981000.0,197033000.0,3408574000.0,,112816000.0,104981000.0,420969000.0,0.1125,274790000.0,0.0734,-66358000.0,208432000.0,0.0557,72436000.0,130736000.0,0.0349,1.0,0.99,127478000.0,127752000.0,14435000.0,0.0,14435000.0,603558000.0,0.0,131161000.0,749154000.0,864124000.0,2314624000.0,318675000.0,2633299000.0,,,180089000.0,3677512000.0,0.0,4426666000.0,137409000.0,262185000.0,,0.0,338095000.0,737689000.0,2190314000.0,0.0,218705000.0,371441000.0,2780460000.0,,,3518149000.0,,131000.0,434616000.0,-448723000.0,873229000.0,859253000.0,4377402000.0,49264000.0,4426666000.0,130736000.0,104981000.0,-2058000.0,14985000.0,-121755000.0,-92572000.0,,2345000.0,11465000.0,81526000.0,208415000.0,-182642000.0,-1060000000.0,,,30888000.0,-1211754000.0,-942270000.0,1649000.0,-15827000.0,-13129000.0,1983997000.0,1014420000.0,0.0,11081000.0,14435000.0,3354000.0,25773000.0,14.025,13.54,13.23,22874650.0,0.1,2.3000000000000003,15.530000000000001
2016,4286021000.0,3664843000.0,621178000.0,0.1449,0.0,106927000.0,145311000.0,252238000.0,3917081000.0,,170081000.0,145311000.0,486267000.0,0.1135,299847000.0,0.07,-119113000.0,180734000.0,0.0422,55464000.0,115411000.0,0.0269,0.88,0.87,127813000.0,127968000.0,99029000.0,0.0,99029000.0,573752000.0,0.0,135287000.0,808068000.0,892217000.0,2751000000.0,340562000.0,3091562000.0,,,152548000.0,4136327000.0,0.0,4944395000.0,126558000.0,53018000.0,,0.0,392059000.0,571635000.0,2685333000.0,0.0,222847000.0,558679000.0,3466859000.0,,,4038494000.0,,132000.0,371685000.0,-512751000.0,956659000.0,815725000.0,4854219000.0,90176000.0,4944395000.0,115411000.0,145311000.0,-12591000.0,17413000.0,224968000.0,-39320000.0,,-15492000.0,236433000.0,-143909000.0,346603000.0,-161633000.0,-472000000.0,,,79313000.0,-554320000.0,-1114435000.0,,-2929000.0,,1409675000.0,292311000.0,0.0,84594000.0,99029000.0,14435000.0,184970000.0,11.785,12.015,11.825,18749300.0,0.0,2.3000000000000003,14.125
2017,4443603000.0,3734176000.0,709427000.0,0.1597,0.0,114047000.0,160011000.0,274058000.0,4008234000.0,,154703000.0,160011000.0,473714000.0,0.1066,355878000.0,0.0801,-153417000.0,202461000.0,0.0456,-18184000.0,177184000.0,0.0399,1.33,0.87,128955000.0,129126000.0,122549000.0,0.0,122549000.0,691732000.0,0.0,106545000.0,920826000.0,912591000.0,2782812000.0,326519000.0,3109331000.0,,,184418000.0,4206340000.0,0.0,5127166000.0,128194000.0,51650000.0,,0.0,425559000.0,605403000.0,2677715000.0,0.0,124917000.0,786527000.0,3589159000.0,,,4194562000.0,,134000.0,359735000.0,-630664000.0,1094163000.0,823368000.0,5017930000.0,109236000.0,5127166000.0,177184000.0,160011000.0,-72324000.0,19284000.0,78990000.0,-197191000.0,,3903000.0,315423000.0,-125014000.0,238131000.0,-233243000.0,-27000000.0,,,67278000.0,-192965000.0,-2169988000.0,,-4753000.0,,2153095000.0,-21646000.0,0.0,23520000.0,122549000.0,99029000.0,4888000.0,15.05,15.775,15.53,17674800.0,0.0,2.3000000000000003,17.83
2018,5081258000.0,4341056000.0,740202000.0,0.1457,0.0,121268000.0,201655000.0,322923000.0,4663979000.0,,198493000.0,201655000.0,596598000.0,0.1174,417279000.0,0.0821,-181727000.0,235552000.0,0.0464,58610000.0,137840000.0,0.0271,1.02,1.02,135265864.0,135265864.0,175178000.0,0.0,175178000.0,706676000.0,0.0,110670000.0,992524000.0,979810000.0,3320726000.0,437693000.0,3758419000.0,,,233512000.0,4971741000.0,0.0,5964265000.0,146693000.0,68948000.0,,0.0,489545000.0,705186000.0,3249516000.0,0.0,153895000.0,939428000.0,4342839000.0,,,5048025000.0,,135000.0,320351000.0,-764581000.0,1247137000.0,803042000.0,5851067000.0,113198000.0,5964265000.0,137840000.0,201655000.0,7217000.0,23326000.0,-28085000.0,54575000.0,,-1778000.0,287338000.0,152241000.0,494194000.0,-167281000.0,-523000000.0,,,-6856000.0,-697137000.0,-846122000.0,,-6837000.0,,1108531000.0,255572000.0,0.0,52629000.0,175178000.0,122549000.0,326913000.0,18.1,18.1,17.82,12912750.0,0.0,2.3000000000000003,20.12
