,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow,Open,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
2005,10880468.0,3361000.0,7519468.0,0.6911,,,4669602.0,4669602.0,8030602,10958.0,,131072.0,2727947,0.2507,2849866,0.2619,-88164.0,2761702.0,0.2538,500732.0,2096143,0.1927,0.1,0.1,22282816,22282816,855588.0,0.0,855588.0,1527955.0,0.0,5218440.0,7601983.0,531458.0,0.0,187783.0,187783.0,0.0,144333.0,7488899.0,8352473.0,0.0,15954456.0,73522.0,,,,4951789.0,5025311.0,5306506.0,,,,5306506.0,,,10331817.0,,216366.0,2559836.0,-242107.0,2864964.0,5399059.0,15730876.0,223580.0,15954456.0,2096143,131072.0,-142202.0,,472955,,,,2576672.0,-1797389,760579,-69270.0,,,,-5755718.0,-5824988.0,,,,,4984915,4984915,-34831.0,-114325.0,855588.0,969913.0,691309,0.9709,0.7524500000000001,0.5466,2987.0,0.0,0.0,0.5466
2006,16417471.0,6917799.0,9499672.0,0.5786,,,4082942.0,4082942.0,11000741,7136.0,,112793.0,4982325,0.3035,5416730,0.3299,-483720.0,4933010.0,0.3005,1211584.0,3657948,0.2228,0.16,0.16,23628174,23628174,945727.0,0.0,945727.0,4891393.0,0.0,2574092.0,8411212.0,2491633.0,207302.0,,207302.0,,142842.0,10662642.0,13504419.0,0.0,21915631.0,528814.0,,,,6752170.0,7280984.0,4171923.0,,,,4171923.0,,,11452907.0,,230016.0,5742586.0,-365217.0,4479933.0,10087318.0,21540225.0,375406.0,21915631.0,3657948,112793.0,6265.0,,-1446444,,,,1130228.0,-1641298,689264,-435556.0,,,,1188257.0,752701.0,,,,,-1401894,-1401894,50068.0,90139.0,945727.0,855588.0,253708,1.3592,1.5097,1.0968,11175.5,0.0,0.0,1.0968
2007,8101324.0,6711704.0,1389620.0,0.1715,,,5785007.0,5785007.0,12496711,29072.0,,733534.0,-3606161,-0.4451,-4395387,-0.5426,213281.0,-4182106.0,-0.5162,426054.0,-4765749,-0.5883,-0.2,-0.2,23691925,23691925,2281516.0,0.0,2281516.0,1837035.0,0.0,2715379.0,6833930.0,2519585.0,13307.0,,13307.0,,,7878261.0,10411153.0,0.0,17245083.0,230654.0,1168095.0,,0.0,4191637.0,5590386.0,5958718.0,,,,5958718.0,,,11549104.0,,236919.0,-741548.0,-579622.0,6237421.0,5153170.0,16702274.0,542809.0,17245083.0,-4765749,733534.0,,,113316,,,,1243544.0,2969916,-948983,-2392187.0,0.0,-74961.0,63200.0,4064731.0,1660783.0,,,,,202932,202932,421057.0,1335789.0,2281516.0,945727.0,-3341170,1.7767,1.3289,0.9654,35250.0,0.0,0.0,0.9654
2008,8075193.0,6662860.0,1412333.0,0.1749,,,5667363.0,5667363.0,12330223,13199.0,623928.0,813776.0,-3426896,-0.4244,-4255030,-0.5269,-583064.0,-4838094.0,-0.5991,1164307.0,-6028907,-0.7466,-0.25,-0.25,23691925,23691925,587468.0,0.0,587468.0,1042884.0,0.0,1159031.0,2789383.0,10844903.0,13307.0,,13307.0,,,,10858210.0,0.0,13647593.0,340353.0,,,,11341598.0,11681951.0,215951.0,,,8275725.0,8491676.0,,,20173627.0,,236919.0,-12188648.0,-1555745.0,6493110.0,-7014364.0,13159263.0,488330.0,13647593.0,-6028907,813776.0,1085723.0,,-10136112,176937.0,,92220.0,-8892568.0,13051504,-1214016,-372702.0,,-404009.0,,146679.0,-630032.0,-376310.0,,,,421857,45547,104453.0,-1694048.0,587468.0,2281516.0,-1586718,0.29,0.29,0.21065,21750.0,0.0,0.0,0.21065
2009,13110591.0,5995769.0,7114822.0,0.5427,,,3323798.0,3323798.0,9319567,3557.0,555282.0,841775.0,4873498,0.3717,3791024,0.2892,-84414.0,3706610.0,0.2827,201057.0,3275384,0.2498,0.14,0.14,23691925,23691925,3444600.0,0.0,3444600.0,828330.0,0.0,732257.0,5005187.0,9889069.0,,,,,,,9889069.0,0.0,14894256.0,316064.0,,,,5314193.0,5630257.0,8054831.0,,,4316655.0,12371486.0,,,18001743.0,,236919.0,-9023506.0,-845245.0,5887464.0,-3744368.0,14257375.0,636881.0,14894256.0,3275384,841775.0,,,8267498,70101.0,,-24596.0,-625070.0,-11648185,736472,-6800.0,,,,11665.0,4865.0,-6292342.0,,,,8392539,2100197,15598.0,2857132.0,3444600.0,587468.0,729672,0.055,0.075,0.05445,7750.0,0.0,0.0,0.05445
2010,12821257.0,7064152.0,5757105.0,0.449,,,3981017.0,3981017.0,11045169,9964.0,613155.0,866221.0,2118076,0.1652,1776088,0.1385,-549631.0,1226457.0,0.0957,664187.0,-25487,-0.002,-0.0,-0.0,23691925,23691925,4110996.0,0.0,4110996.0,637089.0,0.0,1283463.0,6031548.0,2571516.0,,,,1509958.0,,7208535.0,11290009.0,0.0,17321557.0,86928.0,,,,14174358.0,14261286.0,2264937.0,,,3454879.0,5719816.0,,,19981102.0,,236919.0,-9225986.0,-941346.0,6082758.0,-3847655.0,16133447.0,1188110.0,17321557.0,-25487,866221.0,,,-7604668,404122.0,,-233693.0,-8229738.0,6585843,-178091,-484739.0,,-1476778.0,,-149387.0,-2110904.0,-515143.0,,,,2215167,1700024,118368.0,-470603.0,2973997.0,3444600.0,-662830,0.325,0.45,0.3269,2000.0,0.0,0.0,0.3269
2011,9278031.0,6338290.0,2939741.0,0.3168,,,3566462.0,3566462.0,9904752,13775.0,1514782.0,926330.0,1249646,0.1347,-626721,-0.0675,-302072.0,-928793.0,-0.1001,26889.0,-1218355,-0.1313,-0.05,-0.05,26191925,26191925,4921031.0,0.0,4921031.0,2321071.0,0.0,1349014.0,8591116.0,2405829.0,,,,4253206.0,,6920532.0,13579567.0,0.0,22170683.0,481741.0,12834563.0,,0.0,9054484.0,22370788.0,,,,2888194.0,2888194.0,,,25258982.0,,286919.0,-10208331.0,-1103618.0,6951027.0,-4074003.0,21184979.0,985704.0,22170683.0,-1218355,926330.0,,,-5549934,-847162.0,,380865.0,-13779672.0,966218,-4875741,-25655.0,,-2601924.0,,4599.0,-2622980.0,-52509.0,,,,5892945,5840436,61381.0,-1596904.0,1377093.0,2973997.0,-4901396,0.1,0.1,0.0726,6300.0,0.0,0.0,0.0726
2012,8529990.0,4894833.0,3635157.0,0.4262,,,4747294.0,4747294.0,9642127,239079.0,2420375.0,990401.0,303974,0.0356,-1112137,-0.1304,-2142140.0,-3254277.0,-0.3815,-13518.0,-3093284,-0.3626,-0.11,-0.11,28691925,28691925,1973022.0,0.0,1973022.0,6552968.0,0.0,21846170.0,30372160.0,9303261.0,,,0.0,3925770.0,189375.0,6401469.0,19819875.0,0.0,50192035.0,586935.0,23781969.0,,1217087.0,12125218.0,37711209.0,,,,7188543.0,7188543.0,,,44899752.0,,286919.0,-13500082.0,-1462512.0,7174690.0,-7500985.0,37398767.0,12793268.0,50192035.0,-3093284,990401.0,,,6440623,-737557.0,,103597.0,-7339049.0,-17952312,-13614572,-7309816.0,,-60000.0,,-3915496.0,-11285312.0,-14482953.0,,,,38967636,24484683,-27769.0,-442970.0,934123.0,1377093.0,-20924388,0.02,0.02,0.0145,3100.0,0.0,0.0,0.0145
2013,12763447.0,4841337.0,7922110.0,0.6207,,,5733319.0,5733319.0,10574656,394201.0,3763555.0,1100170.0,3632204,0.2846,2188791,0.1715,-3361060.0,-1172269.0,-0.0918,-63227.0,-1168294,-0.0915,-0.04,-0.04,28691925,28691925,4265475.0,0.0,4265475.0,4516567.0,0.0,31422099.0,40204141.0,9139734.0,,,0.0,5747224.0,469400.0,6137819.0,21494177.0,0.0,61698318.0,489582.0,31729436.0,,3168369.0,13822007.0,49209394.0,3444374.0,,,5441360.0,8885734.0,,,58095128.0,,286919.0,-14668376.0,-2112986.0,7638195.0,-8856248.0,49238880.0,12459438.0,61698318.0,-1168294,1100170.0,,,-1666204,573824.0,,-113903.0,-9005253.0,-7636554,-9370882,-188611.0,,-102864.0,,-1430856.0,-1722331.0,-3462079.0,,,,16627156,13165077,497523.0,2569387.0,3503510.0,934123.0,-9559493,0.02,0.02,0.0145,3550.0,0.0,0.0,0.0145
2014,8611639.0,4350690.0,4260949.0,0.4948,,,6503282.0,6503282.0,10853972,853055.0,3401238.0,1063659.0,841794,0.0978,-2242333,-0.2604,-2939496.0,-5181829.0,-0.6017,30583.0,-3653686,-0.4243,-0.09,-0.09,37404254,37404254,2817555.0,0.0,2817555.0,4360073.0,0.0,74333038.0,81510666.0,8470080.0,,,0.0,5639916.0,17203.0,5700845.0,19828044.0,0.0,101338710.0,10531908.0,38835948.0,,12306707.0,29363524.0,91038087.0,8171270.0,,,5421706.0,13592976.0,,,104631063.0,,686919.0,-19780232.0,-2688684.0,11330447.0,-10451550.0,94179513.0,7159197.0,101338710.0,-3653686,1063659.0,,,-522168,-35076.0,,4865647.0,-9527421.0,-25306710,-28418905,-83630.0,,,,-251580.0,-335210.0,-15316296.0,,,,43573421,28257125,68323.0,-428667.0,1626584.0,2055251.0,-28502535,0.05,0.04,0.0291,10000.0,0.0,0.0,0.0291
