,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow,Open,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
1995,6440285,0.0,6440285.0,1.0,0.0,455972.0,1232595.0,1688567,1688567,,,11314.0,4763032,0.7396,4751718.0,0.7378,0.0,4751718,0.7378,1422817,3328901,0.5169,0.22,0.22,15270188,15270188,72985.0,2950000.0,3022985.0,3932072.0,,,,6898382.0,,,,,,,,13901804.0,13901804.0,55046.0,,,,3544954.0,3600000.0,,,3294317.0,,,7176.0,,3607176.0,,,,,10294628.0,10294628.0,13901804.0,0.0,13901804.0,3328901.0,11314.0,-472129.0,,-3600000.0,1800000.0,,,-3600000.0,5444904.0,4712990.0,-19394.0,,,,,-19394.0,,,,-1222802.0,-2680652.0,-3903454.0,0.0,790142.0,3022985.0,2232843.0,4693596.0,4.355,4.605,3.245,549000.0,0.08,0.08,3.325
1996,8581087,0.0,8581087.0,1.0,0.0,430583.0,2011944.0,2442527,2442527,,,15726.0,6154286,0.7172,6138560.0,0.7154,0.0,6138560,0.7154,1874287,4264273,0.4969,0.29,0.29,14603675,14673913,144898.0,1650000.0,1794898.0,5067778.0,,,,6162569.0,,,,,,,,13710234.0,13710234.0,70034.0,,,,3529966.0,3600000.0,,,3388382.0,,,,,3584578.0,,,,,10125656.0,10125656.0,13710234.0,0.0,13710234.0,4264273.0,15726.0,94065.0,,,-1800000.0,,,-3600000.0,-1079626.0,3294438.0,-108653.0,,,,19373.0,-89280.0,,,,-1178802.0,-3254443.0,-4433245.0,0.0,-1228087.0,1794898.0,3022985.0,3185785.0,5.775,5.775,4.125,380250.0,0.08,0.16,4.285
1997,13075037,0.0,13075037.0,1.0,0.0,491395.0,2752525.0,3243920,3243920,,,49201.0,9880318,0.7557,9831117.0,0.7519,0.0,9831117,0.7519,3124376,6706741,0.5129,0.48,0.48,14030839,14146341,112591.0,1800000.0,1912591.0,9307218.0,,,,4609525.0,,,,,,,,16673289.0,16673289.0,93072.0,,,,4406928.0,4500000.0,,,4291856.0,,,,,4452083.0,,,,,12221206.0,12221206.0,16673289.0,0.0,16673289.0,6706741.0,49201.0,903474.0,,-900000.0,-2800000.0,,,-4500000.0,-1966301.0,4793115.0,-78731.0,,,,14500.0,-64231.0,,,,-1134882.0,-3476309.0,-4611191.0,0.0,117693.0,1912591.0,1794898.0,4714384.0,6.565,7.515000000000001,5.445,727000.0,0.08,0.24,5.6850000000000005
1998,10479670,0.0,10479670.0,1.0,0.0,398692.0,1239440.0,1638132,1638132,,,60321.0,8901859,0.8494,8841538.0,0.8437,0.0,8841538,0.8437,2808277,6033261,0.5757,0.44,0.44,13588426,13650000,147375.0,2450000.0,2597375.0,11006307.0,,,,4547643.0,,,,,,,,18856414.0,18856414.0,9064.0,,,,5190936.0,5200000.0,,,4840479.0,,,14708.0,,5214708.0,,,,,13641706.0,13641706.0,18856414.0,0.0,18856414.0,6033261.0,60321.0,548623.0,,-700000.0,-1500000.0,,-100000.0,-5200000.0,-601404.0,5340801.0,-56243.0,,,,12987.0,-43256.0,,,,-1102802.0,-3509959.0,-4612761.0,0.0,684784.0,2597375.0,1912591.0,5284558.0,8.775,8.690000000000001,6.32,369000.0,0.08,0.32,6.640000000000001
1999,5924237,0.0,5924237.0,1.0,0.0,413616.0,1311199.0,1724815,1724815,,,48026.0,4247448,0.717,4199422.0,0.7089,0.0,4199422,0.7089,1261595,2937827,0.4959,0.22,0.22,13233455,13255000,222539.0,1650000.0,1872539.0,8393007.0,,,,4718604.0,,,,,,,,15876606.0,15876606.0,80650.0,,,,,,,,4021803.0,,,4129836.0,,4129836.0,,,,,11746770.0,11746770.0,15876606.0,0.0,15876606.0,2937827.0,48026.0,-818677.0,,5200000.0,2300000.0,,100000.0,,-3216808.0,4150368.0,-57941.0,,,,15500.0,-42441.0,,,-3800000.0,-1067202.0,34439.0,-4832763.0,0.0,-724836.0,1872539.0,2597375.0,4092427.0,9.265,9.175,6.76,379750.0,0.08,0.4,7.16
2000,7798999,0.0,7798999.0,1.0,0.0,468945.0,1987297.0,2456242,2456242,,,44413.0,5387170,0.6908,5342757.0,0.6851,0.0,5342757,0.6851,1584688,3758069,0.4819,0.29,0.29,12782548,12782548,263834.0,1350000.0,1613834.0,8591998.0,,,,4113200.0,,,,,,,,15329316.0,15329316.0,51711.0,,,,,,,,3905678.0,,,4061009.0,,4061009.0,,,,,11268307.0,11268307.0,15329316.0,0.0,15329316.0,3758069.0,44413.0,-116125.0,,,-159351.0,,-28939.0,,336801.0,4023158.0,-61005.0,,,,15674.0,-45331.0,,,-3202690.0,-1033842.0,,-4236532.0,0.0,-258705.0,1613834.0,1872539.0,3962153.0,7.585,7.49,5.58,470500.0,0.08,0.48000000000000004,6.0600000000000005
2001,13429368,0.0,13429368.0,1.0,0.0,530555.0,2854792.0,3385347,3385347,,,52116.0,10096137,0.7518,10044021.0,0.7479,0.0,10044021,0.7479,3157508,6886513,0.5128,0.56,0.56,12341421,12341421,85065.0,2500000.0,2585065.0,11421331.0,,,,2658274.0,,,,,,,,17628181.0,17628181.0,7537.0,,,,,,,,4402481.0,,,4430539.0,,4430539.0,,,,,13197642.0,13197642.0,17628181.0,0.0,17628181.0,6886513.0,52116.0,496803.0,,,-2632892.0,,-44174.0,,-1368417.0,6067015.0,-151606.0,,,,13000.0,-138606.0,,,-3953656.0,-1003522.0,,-4957178.0,0.0,971231.0,2585065.0,1613834.0,5915409.0,7.54,7.54,6.029999999999999,285000.0,0.6799999999999999,1.16,7.1899999999999995
2002,9122098,0.0,9122098.0,1.0,0.0,445148.0,1583330.0,2028478,2028478,,,49965.0,7143585,0.7831,7093620.0,0.7776,0.0,7093620,0.7776,2192834,4900786,0.5372,0.42,0.42,11724368,11724368,147746.0,3200000.0,3347746.0,11923998.0,,,,2573390.0,,,,,,,,18735307.0,18735307.0,10120.0,,155617.0,,,,,,4586451.0,,,4752188.0,,4752188.0,,,,,13983119.0,13983119.0,18735307.0,0.0,18735307.0,4900786.0,49965.0,183970.0,,,-599019.0,,2583.0,,-213507.0,4921214.0,-55224.0,,,,12000.0,-43224.0,,,-3158314.0,-956995.0,,-4115309.0,0.0,762681.0,3347746.0,2585065.0,4865990.0,7.71,7.755000000000001,6.44,237750.0,0.08,1.24,7.680000000000001
2003,9953329,0.0,9953329.0,1.0,0.0,405613.0,1952473.0,2358086,2358086,,,50929.0,7646172,0.7682,7595243.0,0.7631,0.0,7595243,0.7631,2265092,5330151,0.5355,0.47,0.47,11389212,11389212,163250.0,4350000.0,4513250.0,10501601.0,0.0,-10664851.0,4350000.0,2320309.0,,,,,,,,13971900.0,18321900.0,31434.0,,240083.0,,,31434.0,,,4059410.0,,,4299493.0,,4330927.0,,,,,13990973.0,13990973.0,18321900.0,0.0,18321900.0,5330151.0,50929.0,-527041.0,,4318566.0,1325830.0,,21314.0,4318566.0,-2654584.0,6518021.0,-30220.0,,,,,-30220.0,,,-3604427.0,-1717870.0,,-5322297.0,0.0,1165504.0,4513250.0,3347746.0,6487801.0,9.67,9.89,8.29,336000.0,0.15,1.39,9.68
2004,29140610,0.0,29140610.0,1.0,0.0,442646.0,2925529.0,3368175,3368175,,,38174.0,25810609,0.8857,25772435.0,0.8844,0.0,25772435,0.8844,8359477,17412958,0.5975,1.58,1.58,11034828,11034828,342945.0,5600000.0,5942945.0,22251684.0,,,,1599533.0,,,,,,,,31149178.0,31149178.0,562855.0,,43421.0,,,,,,7837643.0,,,8443919.0,,8443919.0,,,,,,22705259.0,31149178.0,0.0,31149178.0,17412958.0,38174.0,3778233.0,,-4318566.0,-12075489.0,,531421.0,,-6749322.0,10161477.0,-33110.0,,,,,-33110.0,,,-3737308.0,-4961364.0,,-8698672.0,0.0,1429695.0,5942945.0,4513250.0,10128367.0,12.86,14.19,12.08,510500.0,0.4499999999999999,1.8399999999999999,13.92
