Date,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
1986,0.0,0.38,0.27,0.37,0.27,26118400.0,0.0,0.0,0.27
1987,1.02,1.1949999999999998,0.8,1.02,0.74,74883200.0,0.0,0.0,0.74
1988,1.16,1.295,1.0950000000000002,1.24,0.925,65400800.0,0.1616,0.1616,1.0866
1989,1.435,1.6099999999999999,1.28,1.38,1.19,112664800.0,0.19552999999999998,0.35712999999999995,1.54713
1990,1.75,2.085,1.525,1.855,1.75,166498400.0,0.01088,0.36800999999999995,2.11801
1991,3.1550000000000002,3.465,2.79,3.1900000000000004,3.0199999999999996,183312000.0,0.01525,0.38325999999999993,3.4032599999999995
1992,2.8,2.985,2.285,2.575,2.445,230618400.0,0.02,0.40325999999999995,2.84826
1993,2.7750000000000004,3.105,2.43,2.785,2.675,217948000.0,0.02375,0.42700999999999995,3.10201
1994,3.765,4.154999999999999,3.3049999999999997,3.75,3.63,147748400.0,0.025,0.45200999999999997,4.0820099999999995
1995,6.51,7.365,5.995,6.8149999999999995,6.635,249522800.0,0.025,0.47701,7.11201
1996,4.405,4.984999999999999,4.005,4.42,4.33,218832400.0,0.025,0.50201,4.83201
1997,4.945,5.574999999999999,4.485,4.97,4.885,241382000.0,0.0335,0.5355099999999999,5.42051
1998,5.050000000000001,5.615,4.665,5.145,5.085,183088400.0,0.017,0.55251,5.63751
1999,9.79,11.364999999999998,9.24,10.495000000000001,10.405000000000001,167779400.0,0.025,0.57751,10.982510000000001
2000,29.965,33.19,26.375,29.66,29.47,180740700.0,0.018750000000000003,0.59626,30.06626
2001,18.259999999999998,21.494999999999997,14.865,17.15,17.045,179113700.0,0.0325,0.62876,17.67376
2002,15.42,17.38,12.585,14.51,14.455,156684500.0,0.0195,0.64826,15.10326
2003,16.950000000000003,19.39,15.625,17.46,17.42,135386500.0,0.026,0.67426,18.094260000000002
2004,21.799999999999997,23.395000000000003,20.765,22.625,22.605,116182400.0,0.0325,0.7067599999999999,23.31176
2005,30.450000000000003,33.379999999999995,28.0,30.365000000000002,30.36,124159350.0,0.0065,0.7132599999999999,31.073259999999998
2006,37.370000000000005,39.555,34.94,37.855000000000004,37.855000000000004,109003750.0,0.0,0.7132599999999999,38.56826
2007,41.615,44.370000000000005,39.715,41.92,41.92,143333350.0,0.0,0.7132599999999999,42.63326
2008,38.785,40.88,33.985,36.44,36.44,164383050.0,0.0,0.7132599999999999,37.153259999999996
2009,28.34,32.17,26.64,29.86,29.86,158984200.0,0.0,0.7132599999999999,30.573259999999998
2010,30.735,33.84,27.5,29.75,29.75,160320450.0,0.0,0.7132599999999999,30.46326
2011,31.08,33.325,28.63,30.43,30.43,140677300.0,0.0,0.7132599999999999,31.143259999999998
2012,32.22,34.09,31.05,32.665,32.665,80794250.0,0.0,0.7132599999999999,33.37826
2013,45.185,47.510000000000005,43.915000000000006,45.655,45.655,77482700.0,0.0,0.7132599999999999,46.36826
2014,68.535,71.84,63.269999999999996,69.22,69.22,73198300.0,0.0,0.7132599999999999,69.93326
2015,79.32,83.59,74.75,80.055,80.055,62820700.0,0.0,0.7132599999999999,80.76826000000001
2016,96.39500000000001,100.48,93.305,98.66499999999999,98.66499999999999,59528150.0,0.0,0.7132599999999999,99.37826
2017,141.685,148.925,134.755,144.175,144.175,49160300.0,0.0,0.7132599999999999,144.88826
2018,243.025,256.52,212.98000000000002,244.245,244.245,58443500.0,0.0,0.7132599999999999,244.95826
2019,279.065,291.355,265.47,281.22,281.22,51054800.0,0.0,0.7132599999999999,281.93326
2020,410.94,458.38,399.145,439.815,439.815,55237900.0,0.0,0.7132599999999999,440.52826
2021,544.245,611.94,512.6949999999999,571.39,571.39,44439700.0,0.0,0.7132599999999999,572.10326
2022,551.325,557.73,448.71500000000003,499.91999999999996,499.91999999999996,75567950.0,0.0,0.7132599999999999,500.63325999999995
