Date,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
1994,0.85,0.96,0.77,0.85,0.48,35848575.0,0.0,0.0,0.48
1995,0.74,0.87,0.625,0.755,0.425,34247812.5,0.0,0.0,0.425
1996,0.855,0.9550000000000001,0.675,0.855,0.485,48553425.0,0.0,0.0,0.485
1997,0.6599999999999999,0.8,0.605,0.755,0.43,37342012.5,0.0,0.0,0.43
1998,4.095,4.8149999999999995,3.4299999999999997,4.28,2.43,72744075.0,0.0,0.0,2.43
1999,8.735,10.175,8.030000000000001,8.895,5.050000000000001,61667550.0,0.0,0.0,5.050000000000001
2000,6.84,8.15,5.06,6.8149999999999995,3.865,117460800.0,0.0,0.0,3.865
2001,10.585,12.785,8.355,10.59,6.01,137733300.0,0.0,0.0,6.01
2002,7.215,7.54,5.845000000000001,6.71,3.81,99150900.0,0.0,0.0,3.81
2003,5.605,6.145,4.86,5.555,3.1500000000000004,84424350.0,0.0,0.0,3.1500000000000004
2004,9.705,10.545,9.27,10.285,5.84,106823100.0,0.04,0.04,5.88
2005,17.755000000000003,18.79,16.895,17.759999999999998,10.115,102738000.0,0.18333,0.22333,10.338330000000001
2006,21.71,23.715,20.585,22.3,12.885,92554275.0,0.25066,0.47399,13.35899
2007,26.65,28.105,24.655,26.07,15.25,84555750.0,0.375,0.84899,16.09899
2008,16.47,18.15,13.58,15.15,9.059999999999999,113476650.0,0.4,1.24899,10.308989999999998
2009,14.295,15.88,13.09,14.600000000000001,8.96,109645650.0,0.4,1.64899,10.60899
2010,16.015,17.15,14.5,15.425,9.715,112645250.0,0.9299999999999999,2.57899,12.29399
2011,13.625,15.195,12.79,13.585,9.215,96930000.0,0.44,3.01899,12.23399
2012,19.424999999999997,21.295,18.31,20.12,14.06,90323950.0,2.0500000000000003,5.06899,19.12899
2013,19.0,20.08,17.695,18.48,13.954999999999998,85137150.0,0.375,5.44399,19.398989999999998
2014,13.219999999999999,14.36,11.94,13.2,10.365,114414050.0,0.5,5.94399,16.30899
2015,15.765,17.119999999999997,14.785,15.77,12.815000000000001,104869800.0,0.5,6.44399,19.25899
2016,16.145,17.56,14.905000000000001,16.244999999999997,13.585,111130750.0,0.625,7.06899,20.65399
2017,14.095,14.530000000000001,12.6,14.059999999999999,12.125,83439550.0,0.5,7.56899,19.69399
2018,21.67,23.3,19.435000000000002,21.564999999999998,19.525,89955150.0,0.552,8.12099,27.645989999999998
2019,17.535,19.16,16.36,17.15,15.865,89530550.0,0.41400000000000003,8.53499,24.399990000000003
2020,12.67,14.309999999999999,11.035,12.745000000000001,12.195,132756200.0,0.41300000000000003,8.94799,21.14299
2021,28.165,31.015,25.225,27.564999999999998,27.075,97762650.0,0.815,9.76299,36.83799
2022,24.13,25.29,19.869999999999997,22.095,22.095,96598850.0,0.0,9.76299,31.85799
