Date,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
1981,3.96,4.12,3.78,3.96,1.71,2835460.0,0.0,0.0,1.71
1982,3.515,3.955,3.275,3.705,1.6,3344463.5,0.0,0.0,1.6
1983,5.71,5.975,5.1850000000000005,5.77,2.49,3329980.0,0.0,0.0,2.49
1984,5.8100000000000005,6.02,5.345,5.79,2.5,3607812.0,0.0,0.0,2.5
1985,7.9,8.219999999999999,7.545,7.965,3.575,9279550.0,0.4871,0.4871,4.0621
1986,12.965,13.649999999999999,12.34,12.99,6.154999999999999,9431373.0,0.4971,0.9842,7.139199999999999
1987,18.02,19.035,15.530000000000001,18.02,8.735,8934596.5,0.32272,1.3069199999999999,10.04192
1988,10.615,11.605,9.59,10.42,5.1850000000000005,5402178.5,0.31652,1.62344,6.808440000000001
1989,8.905000000000001,9.625,8.575,8.934999999999999,4.5600000000000005,4355923.5,0.31652,1.9399600000000001,6.499960000000001
1990,5.93,6.295,5.275,5.8,3.075,1953840.0,0.31652,2.2564800000000003,5.331480000000001
1991,5.08,5.67,4.75,5.275,3.0949999999999998,3007015.5,0.31652,2.5730000000000004,5.668
1992,6.955,7.48,6.495,6.955,4.24,3625498.0,0.31652,2.8895200000000005,7.129520000000001
1993,7.02,8.11,6.76,7.42,4.845000000000001,3875925.0,0.31652,3.2060400000000007,8.05104
1994,6.890000000000001,7.484999999999999,6.43,6.625,4.445,2455261.0,0.31652,3.522560000000001,7.967560000000001
1995,6.265000000000001,6.825,5.970000000000001,6.359999999999999,4.605,3490519.0,0.61652,4.139080000000001,8.74408
1996,7.154999999999999,7.78,6.725,7.385,5.8,2690144.0,0.31652,4.4556000000000004,10.255600000000001
1997,11.74,13.02,11.24,12.545,10.125,5624264.5,0.31652,4.77212,14.897120000000001
1998,13.09,14.29,11.82,13.105,10.895,3655261.0,0.31652,5.08864,15.98364
1999,11.9,12.765,10.309999999999999,11.36,9.655000000000001,3481589.5,0.26739,5.35603,15.011030000000002
2000,8.065000000000001,9.530000000000001,7.4399999999999995,8.065000000000001,6.92,2361450.0,0.12,5.47603,12.39603
2001,11.955,12.95,10.865,12.01,10.41,1713400.0,0.12,5.59603,16.00603
2002,11.155000000000001,13.265,10.125,10.945,9.61,4593400.0,0.12,5.71603,15.32603
2003,8.455,9.195,8.06,8.92,7.96,3320650.0,0.12,5.83603,13.79603
2004,11.434999999999999,12.775,10.985,11.945,10.765,7200200.0,0.06,5.89603,16.66103
2005,18.745,19.465,18.04,18.76,16.905,7218850.0,0.0,5.89603,22.80103
2006,16.985,17.439999999999998,15.08,15.370000000000001,13.85,9519200.0,0.0,5.89603,19.746029999999998
2007,13.23,13.74,12.035,12.585,11.34,8628150.0,0.0,5.89603,17.23603
2008,8.385,8.975,7.13,8.065,7.27,7734700.0,0.0,5.89603,13.16603
2009,2.73,3.8200000000000003,2.42,2.75,2.4749999999999996,8273950.0,0.0,5.89603,8.37103
2010,5.08,5.619999999999999,4.475,5.045,4.545,13677850.0,0.0,5.89603,10.44103
2011,5.34,5.79,5.055,5.380000000000001,4.845000000000001,9017200.0,0.0,5.89603,10.74103
2012,6.98,7.915,6.34,7.7749999999999995,7.005000000000001,9064800.0,0.0,5.89603,12.90103
2013,14.475,16.93,14.105,15.55,14.01,14398050.0,0.0,5.89603,19.90603
2014,17.875,18.895,16.455,18.009999999999998,16.225,9568650.0,0.0,5.89603,22.12103
2015,19.705,21.784999999999997,17.975,19.48,17.555,7032300.0,0.0,5.89603,23.45103
2016,17.535,18.655,16.735,17.775,16.015,6260800.0,0.0,5.89603,21.91103
2017,22.19,23.695,20.875,22.93,20.66,12222850.0,0.0,5.89603,26.55603
2018,30.259999999999998,33.305,28.045,31.595,28.47,14595500.0,0.0,5.89603,34.366029999999995
2019,41.385000000000005,45.114999999999995,40.135000000000005,42.974999999999994,38.725,15932400.0,0.0,5.89603,44.621030000000005
2020,40.66,45.44,38.135,41.31,37.225,15513700.0,0.0,5.89603,43.121030000000005
2021,47.165,48.489999999999995,46.275,46.86,46.46,14405850.0,5.0,10.89603,57.356030000000004
2022,42.69,43.269999999999996,35.885,37.785,37.785,28169200.0,0.0,10.89603,48.68102999999999
