Date,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
2009,0.85,3.05,0.5,0.75,0.75,13020.0,0,0,0.75
2010,1.0,1.25,0.8,1.0,1.0,39205.0,0,0,1.0
2011,1.9,2.1,1.6,1.95,1.95,15930.0,0,0,1.95
2012,1.5,3.3,1.1,2.75,2.75,6715.0,0,0,2.75
2013,5.5,6.5,3.7,5.85,5.85,4910.0,0,0,5.85
2014,5.45,6.0,4.4,5.3,5.3,8310.0,0,0,5.3
2015,6.005,7.225,4.875,6.005,6.005,9045.0,0,0,6.005
2016,5.095000000000001,5.8149999999999995,3.95,5.05,5.05,5350.0,0,0,5.05
2017,9.475,10.0,8.0,9.725,9.725,9250.0,0,0,9.725
2018,18.735,22.89,15.4,19.05,19.05,969900.0,0,0,19.05
2019,18.4,20.17,16.765,18.295,18.295,1925150.0,0,0,18.295
2020,17.77,19.035,16.215,17.695,17.695,1398250.0,0,0,17.695
2021,49.235,78.9,48.01,65.72,65.72,9288650.0,0,0,65.72
2022,63.425,67.935,45.565,50.995,50.995,6889550.0,0,0,50.995
