Date,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
1995,1.88,2.25,1.69,1.81,1.81,515400.0,0,0,1.81
1996,6.75,12.190000000000001,5.0,8.0,8.0,1565200.0,0,0,8.0
1997,10.625,11.875,8.815000000000001,10.625,10.625,1540850.0,0,0,10.625
1998,17.63,20.064999999999998,15.629999999999999,17.44,17.44,5137300.0,0,0,17.44
1999,11.97,13.219999999999999,10.375,11.66,11.66,5252400.0,0,0,11.66
2000,2.375,2.565,1.69,2.0,2.0,6411450.0,0,0,2.0
2001,2.42,2.69,1.5950000000000002,2.45,2.45,4147050.0,0,0,2.45
2002,3.06,3.33,2.5250000000000004,3.165,3.165,3301400.0,0,0,3.165
2003,3.015,3.715,2.95,3.325,3.325,3763100.0,0,0,3.325
2004,4.335,4.665,4.08,4.36,4.36,3180350.0,0,0,4.36
2005,4.29,4.595,3.965,4.455,4.455,3856100.0,0,0,4.455
2006,7.3149999999999995,7.77,6.825,7.34,7.34,6843800.0,0,0,7.34
2007,7.27,7.6,6.885,7.415,7.415,5722800.0,0,0,7.415
2008,8.440000000000001,8.879999999999999,7.8,8.475,8.475,6272800.0,0,0,8.475
2009,7.165,7.625,6.725,7.140000000000001,7.140000000000001,4537450.0,0,0,7.140000000000001
2010,6.455,6.735,6.1,6.300000000000001,6.300000000000001,4844350.0,0,0,6.300000000000001
2011,7.035,7.275,6.529999999999999,7.025,7.025,4625750.0,0,0,7.025
2012,5.98,6.255,5.52,5.925000000000001,5.925000000000001,3069950.0,0,0,5.925000000000001
2013,6.695,7.140000000000001,6.54,6.779999999999999,6.779999999999999,4000750.0,0,0,6.779999999999999
2014,8.620000000000001,9.25,8.205,8.6,8.6,6000800.0,0,0,8.6
2015,9.475,9.895,9.045,9.695,9.695,5372500.0,0,0,9.695
2016,10.625,11.120000000000001,10.11,10.705,10.705,3145700.0,0,0,10.705
2017,14.925,15.625,14.399999999999999,15.05,15.05,3908500.0,0,0,15.05
2018,21.0,21.755,19.425,20.869999999999997,20.869999999999997,4184550.0,0,0,20.869999999999997
2019,20.505,22.645,19.39,21.485,21.485,4374550.0,0,0,21.485
2020,24.175,25.89,22.265,24.075,24.075,5292650.0,0,0,24.075
2021,32.879999999999995,34.3,32.065,32.99,32.99,3604850.0,0,0,32.99
2022,38.795,40.375,36.055,38.61,38.61,5117650.0,0,0,38.61
