Date,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
2006,1319.0,1680.0,1200.0,1320.0,1320.0,15.0,0,0,1320.0
2007,2180.0,2490.0,1760.0,2200.0,2200.0,192.5,0,0,2200.0
2008,140.0,180.0,100.0,120.0,120.0,408.0,0,0,120.0
2009,25.0,40.0,20.0,23.0,23.0,437.5,0,0,23.0
2010,24.0,34.0,16.0,22.0,22.0,136.0,0,0,22.0
2011,19.0,30.0,14.0,17.0,17.0,59.0,0,0,17.0
2012,9.0,14.0,7.0,12.0,12.0,63.5,0,0,12.0
2013,16.0,21.0,10.0,12.0,12.0,145.0,0,0,12.0
2014,14.0,28.0,10.0,17.2,17.2,170.5,0,0,17.2
2015,6.8,9.399999999999999,6.8,7.800000000000001,7.800000000000001,211.0,0,0,7.800000000000001
2016,10.76,12.16,7.6,10.620000000000001,10.620000000000001,5600.0,0,0,10.620000000000001
2017,2.9,3.98,1.246,2.52,2.52,7862.5,0,0,2.52
2018,0.7685,0.8475,0.2915,0.7685,0.7685,4800.0,0,0,0.7685
2019,0.194,0.3095,0.119,0.2,0.2,86800.0,0,0,0.2
2020,0.0245,0.0395,0.019,0.0235,0.0235,656300.0,0,0,0.0235
2021,0.0275,0.041999999999999996,0.014499999999999999,0.026000000000000002,0.026000000000000002,33292850.0,0,0,0.026000000000000002
2022,0.0085,0.0115,0.003,0.004,0.004,115555150.0,0,0,0.004
