Date,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
2000,2.7199999999999998,3.485,2.635,3.135,2.93,290600.0,0.00025,0.00025,2.93025
2001,4.640000000000001,4.88,4.404999999999999,4.71,4.404999999999999,237600.0,0.0,0.00025,4.40525
2002,6.545,6.95,6.1,6.805,6.375,71500.0,0.07500000000000001,0.07525000000000001,6.45025
2003,7.915,8.235,7.66,7.96,7.535,112800.0,0.11499999999999999,0.19025,7.72525
2004,11.15,11.809999999999999,10.6,11.28,10.885,74500.0,0.135,0.32525000000000004,11.21025
2005,14.475000000000001,15.625,13.59,14.71,14.344999999999999,157300.0,0.155,0.48025000000000007,14.825249999999999
2006,17.64,19.075000000000003,16.634999999999998,17.585,17.310000000000002,211650.0,0.19,0.67025,17.98025
2007,17.18,17.770000000000003,16.18,17.18,17.130000000000003,246250.0,0.15000000000000002,0.82025,17.950250000000004
2008,6.055,7.375,4.095000000000001,5.375,5.375,168250.0,0.0,0.82025,6.19525
2009,7.215,8.690000000000001,6.47,7.85,7.85,92700.0,0.0,0.82025,8.67025
2010,14.175,15.49,12.79,14.235,14.235,310200.0,0.0,0.82025,15.05525
2011,16.65,17.95,14.530000000000001,16.82,16.82,436500.0,0.0,0.82025,17.64025
2012,14.48,15.41,13.809999999999999,14.24,14.24,373250.0,0.0,0.82025,15.06025
2013,16.095,17.310000000000002,14.745,16.43,16.43,508350.0,0.0,0.82025,17.25025
2014,14.629999999999999,15.415,12.965,13.600000000000001,13.600000000000001,361850.0,0.0,0.82025,14.420250000000001
2015,13.335,14.934999999999999,12.315000000000001,13.945,13.945,255200.0,0.0,0.82025,14.76525
2016,18.32,20.745,16.8,19.695,19.695,769800.0,0.0,0.82025,20.51525
2017,20.86,21.84,18.255000000000003,19.91,19.91,435400.0,0.0,0.82025,20.73025
2018,18.755,19.89,17.09,18.32,18.32,357100.0,0.0,0.82025,19.14025
2019,23.425,24.405,21.5,23.595,23.595,413400.0,0.0,0.82025,24.41525
2020,14.265,17.865000000000002,13.445,14.184999999999999,14.184999999999999,598750.0,0.0,0.82025,15.005249999999998
2021,29.34,31.32,26.005000000000003,29.48,29.48,404500.0,0.0,0.82025,30.300250000000002
2022,30.335,33.57,28.450000000000003,30.5,30.5,368750.0,0.0,0.82025,31.32025
