Date,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
1990,2.06,2.63,1.56,2.06,1.43,4878200.0,0.0,0.0,1.43
1991,3.3449999999999998,3.7800000000000002,3.0300000000000002,3.38,2.34,1742500.0,0.0,0.0,2.34
1992,3.41,3.875,3.2199999999999998,3.41,2.36,984000.0,0.0,0.0,2.36
1993,4.535,4.9399999999999995,4.470000000000001,4.72,3.265,709200.0,0.0,0.0,3.265
1994,5.1899999999999995,5.404999999999999,4.56,5.0,3.46,905000.0,0.0,0.0,3.46
1995,4.125,4.44,3.94,4.19,2.9,752400.0,0.0,0.0,2.9
1996,5.875,6.375,5.285,5.845,4.325,2100500.0,1.5,1.5,5.825
1997,6.13,7.345000000000001,5.94,6.97,6.390000000000001,1305200.0,0.0,1.5,7.890000000000001
1998,8.345,8.795,7.8149999999999995,7.984999999999999,7.32,739600.0,0.0,1.5,8.82
1999,5.5,6.05,4.925,5.685,5.215,778800.0,0.0,1.5,6.715
2000,8.795,9.425,8.344999999999999,8.75,8.02,1358900.0,0.0,1.5,9.52
2001,13.135000000000002,14.219999999999999,11.865,13.690000000000001,12.55,1640500.0,0.0,1.5,14.05
2002,17.6,18.35,16.01,17.975,16.48,2951400.0,0.0,1.5,17.98
2003,21.075,22.6,20.29,21.494999999999997,19.705,3111700.0,0.0,1.5,21.205
2004,25.4,26.925,24.560000000000002,26.505,24.295,2251300.0,0.0,1.5,25.795
2005,42.74,45.765,40.175,43.129999999999995,39.54,3300200.0,0.0,1.5,41.04
2006,50.8,52.379999999999995,46.25,50.675,46.455,5622850.0,0.0,1.5,47.955
2007,41.675,45.55,35.519999999999996,40.665,37.275,6206400.0,0.0,1.5,38.775
2008,40.64,48.325,36.394999999999996,41.05,37.629999999999995,5499750.0,0.0,1.5,39.129999999999995
2009,39.394999999999996,42.47,35.730000000000004,38.99,35.745,4817300.0,0.08,1.58,37.324999999999996
2010,32.285,34.8,30.33,32.25,29.625,3080600.0,0.24,1.82,31.445
2011,36.695,37.825,32.705,35.480000000000004,32.925,2793950.0,0.32,2.14,35.065
2012,36.08,37.405,33.54,36.224999999999994,34.040000000000006,2398150.0,0.32,2.46,36.50000000000001
2013,35.325,36.455,32.265,34.445,32.715,1796950.0,0.4,2.86,35.575
2014,34.795,36.345,33.285,35.045,33.47,2133400.0,0.32,3.1799999999999997,36.65
2015,37.275,38.87,35.644999999999996,37.195,35.975,1824000.0,0.32,3.4999999999999996,39.475
2016,39.91,42.34,38.75,41.31,40.255,2066750.0,0.32,3.8199999999999994,44.075
2017,58.45,61.224999999999994,55.3,58.525000000000006,57.3,1741700.0,0.24,4.06,61.36
2018,60.675,66.35,58.7,61.185,60.230000000000004,1915600.0,0.32,4.38,64.61
2019,75.305,82.5,71.33000000000001,77.845,77.13,2496000.0,0.4,4.78,81.91
2020,85.78,94.68,79.1,85.235,84.71000000000001,2363150.0,0.32,5.1000000000000005,89.81
2021,94.785,97.10499999999999,89.22999999999999,94.09,93.87,2109700.0,0.24,5.340000000000001,99.21000000000001
2022,84.735,85.275,71.065,74.855,74.82,2283500.0,0.08,5.420000000000001,80.24
