Date,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
1994,1.25,1.5,1.0,1.125,0.2339,15900.0,0.0,0.0,0.2339
1995,0.6565,0.813,0.5,0.6255,0.13005,20250.0,0.0,0.0,0.13005
1996,0.5,0.625,0.469,0.5,0.104,9000.0,0.0,0.0,0.104
1997,0.3015,0.3415,0.25,0.3125,0.065,9150.0,0.0,0.0,0.065
1998,0.34,0.46499999999999997,0.28,0.425,0.08835,40500.0,0.0,0.0,0.08835
1999,0.54,0.8585,0.525,0.7,0.14550000000000002,12500.0,0.0,0.0,0.14550000000000002
2000,0.575,0.648,0.57,0.575,0.11954999999999999,30000.0,0.0,0.0,0.11954999999999999
2001,0.65,0.7050000000000001,0.65,0.66,0.1372,1600.0,0.0,0.0,0.1372
2002,0.775,0.86,0.675,0.73,0.15175,6400.0,0.0,0.0,0.15175
2003,0.98,1.1800000000000002,0.91,1.0550000000000002,0.21935,15400.0,0.0,0.0,0.21935
2004,1.085,1.385,1.07,1.11,0.2308,15600.0,0.0,0.0,0.2308
2005,1.085,1.14,1.08,1.0950000000000002,0.22765,11500.0,0.0,0.0,0.22765
2006,1.07,1.1,1.02,1.06,0.22039999999999998,8950.0,0.0,0.0,0.22039999999999998
2007,1.1,1.12,1.09,1.1,0.2287,7400.0,0.0,0.0,0.2287
2008,1.04,1.065,0.985,1.025,0.21315,6600.0,0.0,0.0,0.21315
2009,0.63,0.7,0.56,0.63,0.15,13700.0,0.8,0.8,0.9500000000000001
2010,0.12,0.13,0.11499999999999999,0.12,0.12,24900.0,0.0,0.8,0.92
2011,0.2225,0.3725,0.2,0.275,0.275,8600.0,0.0,0.8,1.0750000000000002
2012,0.25,0.27,0.25,0.25,0.25,2700.0,0.0,0.8,1.05
2013,0.1605,0.19,0.121,0.1605,0.1605,7500.0,0.0,0.8,0.9605
2014,0.27249999999999996,0.35,0.195,0.28,0.28,27300.0,0.0,0.8,1.08
2015,0.2425,0.25,0.235,0.235,0.235,2550.0,0.0,0.8,1.0350000000000001
2016,0.16,0.1935,0.15,0.16,0.16,4600.0,0.0,0.8,0.9600000000000001
2017,0.185,0.21500000000000002,0.1675,0.185,0.185,8300.0,0.0,0.8,0.9850000000000001
2018,0.20500000000000002,0.255,0.16,0.19,0.19,20400.0,0.0,0.8,0.99
2019,0.1865,0.27,0.14250000000000002,0.225,0.225,17050.0,0.0,0.8,1.0250000000000001
2020,0.214,0.2985,0.183,0.214,0.214,9700.0,0.0,0.8,1.014
2021,0.8,1.3900000000000001,0.6539999999999999,1.125,1.125,78900.0,0.0,0.8,1.925
2022,2.85,2.85,2.22,2.46,2.46,7000.0,0.0,0.8,3.26
