Date,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
1999,33.5,42.5,29.75,34.0,34.0,24102800.0,0,0,34.0
2000,25.545,29.439999999999998,17.5,22.965,22.965,46703000.0,0,0,22.965
2001,6.4399999999999995,8.745000000000001,4.49,7.425,7.425,25082200.0,0,0,7.425
2002,6.375,7.445,5.0600000000000005,6.255,6.255,25524800.0,0,0,6.255
2003,8.58,9.524999999999999,8.015,9.02,9.02,23545100.0,0,0,9.02
2004,15.1,17.755000000000003,12.595,15.865,15.865,49181900.0,0,0,15.865
2005,24.155,26.47,20.71,24.61,24.61,57015400.0,0,0,24.61
2006,28.94,33.285,27.085,30.795,30.795,44931900.0,0,0,30.795
2007,36.730000000000004,40.58,34.03,36.17,36.17,45125000.0,0,0,36.17
2008,24.060000000000002,27.165,20.43,24.175,24.175,60813650.0,0,0,24.175
2009,33.135,37.435,31.97,34.555,34.555,42281450.0,0,0,34.555
2010,69.265,82.72,65.59,78.88,78.88,35008600.0,0,0,78.88
2011,105.07,114.72,94.255,105.035,105.035,55292800.0,0,0,105.035
2012,102.86,109.975,92.855,101.52000000000001,101.52000000000001,37369000.0,0,0,101.52000000000001
2013,85.16,93.02000000000001,81.13499999999999,84.595,84.595,32911200.0,0,0,84.595
2014,109.655,117.24,106.695,112.465,112.465,25171850.0,0,0,112.465
2015,118.66,124.715,111.19999999999999,116.96000000000001,116.96000000000001,23064500.0,0,0,116.96000000000001
2016,111.965,124.955,109.025,118.285,118.285,18190650.0,0,0,118.285
2017,128.88,133.35,124.785,128.63,128.63,14923850.0,0,0,128.63
2018,171.58,178.405,160.73000000000002,171.675,171.675,14018950.0,0,0,171.675
2019,147.29500000000002,153.495,135.64,145.67000000000002,145.67000000000002,14811950.0,0,0,145.67000000000002
2020,133.41,144.84500000000003,124.89,134.42000000000002,134.42000000000002,16478700.0,0,0,134.42000000000002
2021,197.72,214.68,183.505,201.175,201.175,10496200.0,0,0,201.175
2022,225.745,228.555,189.17000000000002,204.98000000000002,204.98000000000002,14832150.0,0,0,204.98000000000002
