Date,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
1999,7.234999999999999,7.470000000000001,6.779999999999999,7.234999999999999,4.285,30600.0,0.26,0.26,4.545
2000,5.5,5.75,5.484999999999999,5.5,3.32,46600.0,0.0,0.26,3.58
2001,7.375,8.125,7.375,7.72,4.75,12200.0,0.5650000000000001,0.8250000000000001,5.575
2002,9.405000000000001,9.785,9.29,9.525,6.484999999999999,20200.0,0.6000000000000001,1.4250000000000003,7.91
2003,13.325,13.735,13.125,13.325,9.379999999999999,33200.0,0.385,1.8100000000000003,11.19
2004,18.755,19.439999999999998,18.59,19.0,13.705,23600.0,0.41000000000000003,2.22,15.925
2005,25.425,26.075,24.975,25.525,18.845,37800.0,0.45,2.6700000000000004,21.515
2006,26.825,28.0,26.450000000000003,26.95,20.295,11600.0,0.49,3.16,23.455000000000002
2007,24.985,25.7,22.75,24.7,18.97,19350.0,0.53,3.6900000000000004,22.66
2008,21.15,21.990000000000002,19.625,20.25,15.919999999999998,14500.0,0.56,4.25,20.169999999999998
2009,15.5,16.0,13.225,14.875,12.094999999999999,20250.0,0.56,4.8100000000000005,16.905
2010,12.525,13.325,12.255,12.875,11.105,8950.0,0.7000000000000001,5.510000000000001,16.615000000000002
2011,9.725,10.6,8.975,9.225,8.18,27600.0,0.2,5.710000000000001,13.89
2012,5.05,5.3,4.71,5.0,4.48,22400.0,0.0,5.710000000000001,10.190000000000001
2013,6.0,6.33,5.535,6.0,5.37,24600.0,0.0,5.710000000000001,11.080000000000002
2014,7.895,8.105,7.425,7.995,7.175000000000001,21550.0,0.07500000000000001,5.785000000000001,12.96
2015,8.775,9.5,8.425,9.1,8.26,17850.0,0.1,5.885000000000001,14.145
2016,9.719999999999999,10.125,9.535,10.05,9.23,19100.0,0.12,6.005000000000001,15.235000000000001
2017,14.9,15.4,14.120000000000001,15.1,14.04,26200.0,0.14,6.1450000000000005,20.185
2018,19.5,19.9,19.08,19.549999999999997,18.41,31150.0,0.2,6.345000000000001,24.755000000000003
2019,19.525,20.41,18.935000000000002,20.1,19.105,27100.0,0.36,6.705000000000001,25.810000000000002
2020,14.75,16.145,13.53,14.559999999999999,14.105,61750.0,0.44,7.145000000000001,21.25
2021,19.295,21.409999999999997,18.869999999999997,20.58,20.58,126350.0,0.24,7.385000000000002,27.965
2022,22.43,23.475,21.05,22.244999999999997,22.244999999999997,83100.0,0.0,7.385000000000002,29.63
