Date,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
2002,9.65,10.5,8.64,9.55,6.43,12432200.0,0.0,0.0,6.43
2003,6.405,7.27,6.245,6.63,4.465,15496400.0,0.0,0.0,4.465
2004,8.645,9.375,8.135,8.91,6.0,10400900.0,0.0,0.0,6.0
2005,15.24,17.36,14.370000000000001,15.82,10.65,36078400.0,0.0,0.0,10.65
2006,21.685000000000002,24.11,20.335,22.490000000000002,15.14,55128800.0,0.0,0.0,15.14
2007,38.15,42.585,36.805,39.725,26.75,50049500.0,0.0,0.0,26.75
2008,43.32,48.775,39.545,41.435,27.9,72225000.0,0.0,0.0,27.9
2009,24.575000000000003,27.775,21.945,24.595,16.560000000000002,103022400.0,0.0,0.0,16.560000000000002
2010,20.1,22.215,18.15,19.845,13.36,90597450.0,0.0,0.0,13.36
2011,23.455,25.485,21.865000000000002,23.755,15.995000000000001,83465600.0,0.0,0.0,15.995000000000001
2012,22.25,24.14,20.995,22.3,15.07,70437600.0,0.8,0.8,15.870000000000001
2013,38.475,46.18000000000001,37.41,45.14,32.25,67418650.0,1.1,1.9000000000000001,34.15
2014,40.78,44.195,35.855000000000004,40.075,29.119999999999997,66916900.0,1.32,3.22,32.339999999999996
2015,39.965,44.46,37.894999999999996,39.875,30.08,38515150.0,1.44,4.66,34.739999999999995
2016,28.03,30.32,25.455,27.990000000000002,22.134999999999998,58123800.0,1.48,6.140000000000001,28.275
2017,21.96,22.665,20.25,21.65,18.035,56788400.0,1.52,7.66,25.695
2018,14.504999999999999,15.870000000000001,12.89,14.035,12.94,84499150.0,1.52,9.18,22.119999999999997
2019,6.965,7.385,5.265,6.21,6.21,110873350.0,0.38,9.56,15.77
2020,4.98,6.47,3.98,5.035,5.035,100379050.0,0.0,9.56,14.595
2021,187.945,243.565,140.86,186.665,186.665,109752050.0,0.0,9.56,196.225
2022,131.12,146.57999999999998,90.685,113.755,113.755,64646500.0,0.0,9.56,123.315
