Date,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
2002,2.9050000000000002,3.03,2.61,2.87,1.7349999999999999,254391.5,0.08032,0.08032,1.8153199999999998
2003,4.015000000000001,4.41,3.985,4.32,2.67,367664.0,0.08690999999999999,0.16723,2.83723
2004,4.975,5.17,4.7,4.984999999999999,3.135,185796.0,0.09678,0.26400999999999997,3.3990099999999996
2005,5.445,5.575,5.145,5.385,3.4699999999999998,264011.5,0.10469,0.36869999999999997,3.8387
2006,5.24,5.49,5.154999999999999,5.295,3.505,215411.0,0.08295,0.45165,3.95665
2007,5.32,5.465,5.234999999999999,5.27,3.52,140487.5,0.11456,0.56621,4.08621
2008,4.455,4.665,3.9450000000000003,4.369999999999999,3.005,143524.0,0.16,0.72621,3.73121
2009,3.05,3.38,2.9450000000000003,3.1950000000000003,2.3049999999999997,377665.5,0.13432,0.86053,3.1655299999999995
2010,4.275,4.515000000000001,4.155,4.4,3.3,255913.0,0.13432,0.99485,4.29485
2011,5.289999999999999,5.515000000000001,5.135,5.32,4.085,198198.0,0.13828000000000001,1.13313,5.21813
2012,7.63,8.055,7.045,7.890000000000001,6.234999999999999,1140923.5,0.16592,1.29905,7.53405
2013,9.07,9.850000000000001,8.91,9.355,7.545,934425.0,0.18666,1.48571,9.03071
2014,9.8,10.260000000000002,9.45,9.865,8.075,994950.0,0.36667,1.8523800000000001,9.92738
2015,10.65,11.530000000000001,10.1,10.615,9.035,1232550.0,0.19111,2.0434900000000003,11.07849
2016,11.725,12.42,10.93,11.82,10.215,1768950.0,0.26668,2.3101700000000003,12.52517
2017,17.729999999999997,18.595,16.735,17.575,15.575,1914375.0,0.32,2.63017,18.20517
2018,19.884999999999998,20.619999999999997,18.5,19.880000000000003,17.96,1686750.0,0.38667,3.01684,20.976840000000003
2019,16.38,17.884999999999998,15.875,16.85,15.620000000000001,1745850.0,0.44,3.45684,19.07684
2020,11.175,12.585,9.68,11.280000000000001,10.775,2915050.0,0.48,3.93684,14.71184
2021,18.255,18.895,17.005000000000003,18.255000000000003,18.185000000000002,2231750.0,0.38,4.31684,22.50184
2022,21.105,22.62,19.78,20.835,20.835,2698350.0,0.0,4.31684,25.15184
