Date,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
1983,0.145,0.33999999999999997,0.29000000000000004,0.315,0.19,1395493.0,0.0,0.0,0.19
1984,0.39,0.565,0.43,0.53,0.315,2090893.0,0.0,0.0,0.315
1985,0.0,1.22,1.0150000000000001,1.16,0.7,5180456.5,0.0,0.0,0.7
1986,0.0,1.435,1.135,1.275,0.76,4835322.5,0.0,0.0,0.76
1987,0.0,1.25,1.065,1.15,0.69,2163648.0,0.0,0.0,0.69
1988,0.0,0.91,0.77,0.81,0.485,2236549.5,0.0,0.0,0.485
1989,0.0,1.15,1.03,1.0950000000000002,0.6799999999999999,2082208.5,0.03341,0.03341,0.71341
1990,1.57,1.8450000000000002,1.51,1.655,1.025,9408089.5,0.00149,0.0349,1.0598999999999998
1991,2.15,2.44,1.93,2.13,1.33,17596809.0,0.00193,0.03683,1.36683
1992,1.3250000000000002,1.565,1.15,1.335,0.83,9325885.0,0.0,0.03683,0.86683
1993,1.205,1.325,1.01,1.205,0.75,8350468.0,0.0,0.03683,0.78683
1994,1.5,1.68,1.475,1.54,0.955,5576471.0,0.0,0.03683,0.99183
1995,1.4849999999999999,1.5750000000000002,1.3050000000000002,1.49,0.925,4758625.0,0.0,0.03683,0.9618300000000001
1996,1.24,1.37,1.18,1.26,0.785,3307459.0,0.0,0.03683,0.8218300000000001
1997,1.545,1.65,1.475,1.58,0.98,2488853.5,0.0,0.03683,1.01683
1998,1.9,1.98,1.82,1.85,1.15,2553654.5,0.0,0.03683,1.1868299999999998
1999,1.87,1.9649999999999999,1.725,1.8250000000000002,1.135,1957925.0,0.0,0.03683,1.17183
2000,0.99,1.1,0.94,0.99,0.615,1833386.0,0.0,0.03683,0.65183
2001,1.395,1.635,1.38,1.53,0.9550000000000001,3122299.0,0.0,0.03683,0.9918300000000001
2002,2.37,2.815,2.285,2.49,1.545,4050002.0,0.0,0.03683,1.5818299999999998
2003,2.7649999999999997,3.065,2.5949999999999998,2.99,1.8649999999999998,2958529.0,0.02568,0.06251000000000001,1.9275099999999998
2004,4.765,5.3149999999999995,4.45,4.93,3.115,3458449.5,0.07802,0.14053000000000002,3.2555300000000003
2005,8.165,8.535,7.265000000000001,8.239999999999998,5.3100000000000005,9177359.0,0.12297,0.2635,5.5735
2006,9.495000000000001,9.975,8.745000000000001,9.545,6.245,7727400.0,0.20444,0.46794,6.71294
2007,12.905000000000001,14.29,12.18,12.98,8.64,9231037.5,0.28,0.74794,9.38794
2008,11.940000000000001,12.93,10.120000000000001,11.415,7.87,9472425.0,0.38667,1.1346100000000001,9.00461
2009,11.775,12.58,11.43,11.92,8.524999999999999,6868200.0,0.49333,1.6279400000000002,10.15294
2010,14.55,15.435,13.83,14.765,10.86,5820075.0,0.59533,2.2232700000000003,13.083269999999999
2011,16.57,17.925,15.6,17.185,13.335,6104100.0,0.633,2.8562700000000003,16.191270000000003
2012,21.16,22.314999999999998,19.64,21.244999999999997,17.0,7571500.0,0.653,3.5092700000000003,20.50927
2013,24.515,25.880000000000003,23.65,24.564999999999998,20.259999999999998,6087200.0,0.673,4.182270000000001,24.44227
2014,28.73,30.369999999999997,26.77,29.08,24.455,7086450.0,0.693,4.87527,29.33027
2015,33.04,34.835,31.61,33.504999999999995,28.845,7142200.0,0.713,5.5882700000000005,34.43327
2016,38.28,39.86,36.525,38.88,34.28,7093450.0,0.91675,6.50502,40.78502
2017,47.425,51.435,45.775000000000006,49.535,44.675,7396450.0,0.753,7.25802,51.93302
2018,42.075,44.82,38.94,40.915,37.68,19546750.0,0.773,8.03102,45.71102
2019,30.265,32.82,26.09,27.735,26.105,15955000.0,0.793,8.824019999999999,34.92902
2020,24.215,26.799999999999997,21.72,24.19,23.415,13866850.0,0.813,9.63702,33.05202
2021,28.295,31.405,26.35,27.095,27.0,13353050.0,0.414,10.05102,37.05102
2022,18.04,18.585,15.785,16.985,16.985,22332950.0,0.0,10.05102,27.03602
