Date,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
2000,2.9699999999999998,3.38,1.7349999999999999,2.255,2.16,1191500.0,0.0,0.0,2.16
2001,1.335,1.81,1.135,1.355,1.295,157600.0,0.0,0.0,1.295
2002,1.29,1.45,1.06,1.3,1.25,214050.0,0.0,0.0,1.25
2003,1.975,2.965,1.795,2.56,2.455,380750.0,0.0,0.0,2.455
2004,2.0549999999999997,2.5149999999999997,1.88,2.1950000000000003,2.105,275300.0,0.0,0.0,2.105
2005,2.975,3.5,2.675,2.97,2.85,438550.0,0.0,0.0,2.85
2006,3.45,3.935,2.975,3.595,3.45,780150.0,0.0,0.0,3.45
2007,3.55,3.73,3.15,3.5300000000000002,3.385,507200.0,0.0,0.0,3.385
2008,2.835,3.08,2.415,2.785,2.675,367550.0,0.0,0.0,2.675
2009,2.505,3.46,2.455,3.105,2.98,556800.0,0.0,0.0,2.98
2010,4.65,4.995,4.345000000000001,4.845000000000001,4.65,647100.0,0.0,0.0,4.65
2011,12.565,13.495000000000001,10.175,12.79,12.27,2602700.0,0.0,0.0,12.27
2012,23.5,26.225,22.035,24.015,23.035,2863950.0,0.0,0.0,23.035
2013,26.325,30.839999999999996,24.72,29.14,27.950000000000003,2269100.0,0.0,0.0,27.950000000000003
2014,26.485,29.15,24.475,26.33,25.255,3545100.0,0.0,0.0,25.255
2015,26.915,28.775,24.45,25.54,24.495,2819400.0,0.0,0.0,24.495
2016,23.805,26.854999999999997,22.14,24.64,23.634999999999998,2097250.0,0.0,0.0,23.634999999999998
2017,24.365000000000002,25.53,22.16,24.005000000000003,23.025,2951300.0,0.0,0.0,23.025
2018,25.625,28.375,23.46,25.57,25.475,3296500.0,1.0,1.0,26.475
2019,26.18,28.9,25.075,26.689999999999998,26.689999999999998,2630900.0,0.0,1.0,27.689999999999998
2020,22.325,23.725,20.445,22.045,22.045,3439550.0,0.0,1.0,23.045
2021,25.115000000000002,27.675,23.585,26.27,26.27,2052550.0,0.0,1.0,27.27
2022,25.38,25.57,21.105,22.42,22.42,1852000.0,0.0,1.0,23.42
