Date,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
1998,308.19,341.84,264.39,327.41499999999996,327.41499999999996,44404.0,0,0,327.41499999999996
1999,269.2,286.825,232.345,265.46,265.46,51823.0,0,0,265.46
2000,99.345,112.17,82.78999999999999,98.815,98.815,49309.5,0,0,98.815
2001,101.655,119.73,90.715,100.33,100.33,96617.5,0,0,100.33
2002,83.75,93.75,70.935,80.67,80.67,85860.5,0,0,80.67
2003,111.525,123.66,100.58500000000001,117.93,117.93,132447.5,0,0,117.93
2004,147.41500000000002,156.82,129.9,141.18,141.18,207110.0,0,0,141.18
2005,47.86,51.275000000000006,28.8,40.25,40.25,500488.5,0,0,40.25
2006,16.515,18.240000000000002,15.405000000000001,16.854999999999997,16.854999999999997,965900.0,0,0,16.854999999999997
2007,23.835,27.310000000000002,22.23,23.67,23.67,2916300.0,0,0,23.67
2008,17.165,18.305,14.815000000000001,16.965,16.965,1317850.0,0,0,16.965
2009,8.225,9.85,7.45,8.16,8.16,538800.0,0,0,8.16
2010,4.255,4.675,3.26,3.705,3.705,505450.0,0,0,3.705
2011,3.27,3.5,3.085,3.1900000000000004,3.1900000000000004,168350.0,0,0,3.1900000000000004
2012,3.08,4.5649999999999995,2.59,3.585,3.585,101200.0,0,0,3.585
2013,4.64,5.95,4.3,5.09,5.09,161000.0,0,0,5.09
2014,6.645,7.4350000000000005,6.055,6.715,6.715,240000.0,0,0,6.715
2015,7.675000000000001,8.094999999999999,7.029999999999999,7.675,7.675,193050.0,0,0,7.675
2016,14.39,16.205,12.09,14.809999999999999,14.809999999999999,1781400.0,0,0,14.809999999999999
2017,18.125,19.275,16.700000000000003,17.925,17.925,999800.0,0,0,17.925
2018,17.46,18.2,16.565,17.53,17.53,528700.0,0,0,17.53
2019,18.4,19.305,17.76,18.615000000000002,18.615000000000002,419900.0,0,0,18.615000000000002
2020,24.5,27.46,21.665,24.42,24.42,922650.0,0,0,24.42
2021,49.685,54.945,45.975,50.129999999999995,50.129999999999995,716150.0,0,0,50.129999999999995
2022,50.3,52.415,43.07,46.004999999999995,46.004999999999995,617600.0,0,0,46.004999999999995
