Date,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
1992,440.7444,550.9305,391.7728,550.9305,550.9305,232.0,0,0,550.9305
1993,654.99515,844.76,569.2948,746.8169,746.8169,1357.0,0,0,746.8169
1994,1028.4036,1077.3751,948.82465,1052.8893,1052.8893,402.0,0,0,1052.8893
1995,991.7728,1059.05975,936.6306999999999,997.84525,997.84525,447.5,0,0,997.84525
1996,1603.81975,1677.3751,1481.3908000000001,1622.2331,1622.2331,1120.5,0,0,1622.2331
1997,3403.5259,3868.7560999999996,3226.05285,3825.95505,3825.95505,18062.5,0,0,3825.95505
1998,2858.76585,3115.8668500000003,2240.4505,2338.3937,2338.3937,19889.0,0,0,2338.3937
1999,808.1293000000001,985.60235,691.7728,820.2742499999999,820.2742499999999,48885.5,0,0,820.2742499999999
2000,1867.09105,2069.05005,1561.0185999999999,1916.0627,1916.0627,82034.5,0,0,1916.0627
2001,2070.32325,2233.1048499999997,1660.4309,1958.8638999999998,1958.8638999999998,97872.5,0,0,1958.8638999999998
2002,1782.5661,1906.95395,1588.6385500000001,1760.0391,1760.0391,58295.5,0,0,1760.0391
2003,1952.9873,2076.39575,1786.4839000000002,1973.55535,1973.55535,87368.5,0,0,1973.55535
2004,2111.65525,2312.43885,1969.6376500000001,2159.64745,2159.64745,97435.0,0,0,2159.64745
2005,2537.70815,2781.5868,2372.1842,2602.3505999999998,2602.3505999999998,90421.5,0,0,2602.3505999999998
2006,2957.8844,3115.5730000000003,2693.43775,2987.2673,2987.2673,84420.0,0,0,2987.2673
2007,3222.33105,3379.04015,2870.7149499999996,3212.53675,3212.53675,84891.5,0,0,3212.53675
2008,2646.425,2987.26735,2247.7962500000003,2664.0548,2664.0548,142052.5,0,0,2664.0548
2009,1209.59835,1382.08615,930.4603500000001,1311.45935,1311.45935,149974.0,0,0,1311.45935
2010,1905.9745,2184.1333,1724.2899,1893.2419,1893.2419,190873.0,0,0,1893.2419
2011,2986.288,3114.5935499999996,2490.76395,3033.30065,3033.30065,307762.0,0,0,3033.30065
2012,1725.7590500000001,1951.0284000000001,1396.6698999999999,1559.2556,1559.2556,341208.5,0,0,1559.2556
2013,1395.6905000000002,1589.61795,1322.2331,1479.9216000000001,1479.9216000000001,280130.5,0,0,1479.9216000000001
2014,1487.7570500000002,1686.5818,1279.1381000000001,1331.0479500000001,1331.0479500000001,296678.5,0,0,1331.0479500000001
2015,329.08910000000003,363.36924999999997,210.0,253.68264999999997,253.68264999999997,325941.5,0,0,253.68264999999997
2016,45.7395,55.827600000000004,23.506349999999998,38.403999999999996,38.403999999999996,201786.0,0,0,38.403999999999996
2017,19.02,20.134999999999998,16.325,18.47,18.47,2257501.0,0,0,18.47
2018,13.28,16.18,11.44,13.385,13.385,1904362.5,0,0,13.385
2019,1.89,2.955,1.6,1.685,1.685,6574130.5,0,0,1.685
2020,5.657500000000001,8.835,4.65,5.635,5.635,90722.5,0,0,5.635
2021,4.574999999999999,5.125,3.255,3.84,3.84,22874.0,0,0,3.84
2022,1.01,2.65,1.01,2.62,2.62,4691.5,0,0,2.62
