Date,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
1994,20.13,21.5,19.25,21.0,13.38,2460600.0,0.078,0.078,13.458
1995,22.75,23.564999999999998,22.0,22.755,14.55,1544150.0,0.324,0.402,14.952
1996,23.689999999999998,24.814999999999998,21.38,22.125,14.325,2249600.0,0.297,0.6990000000000001,15.024
1997,17.88,18.75,16.13,17.25,11.325,4121650.0,0.15,0.8490000000000001,12.174
1998,9.595,10.875,8.530000000000001,9.625,6.415,6369150.0,0.15,0.9990000000000001,7.414
1999,16.814999999999998,19.72,14.780000000000001,16.905,11.365,13215100.0,0.267,1.266,12.631
2000,15.785,16.935,13.755,15.41,10.54,11952750.0,0.25,1.516,12.056
2001,9.725,10.565000000000001,8.72,9.465,6.645,10943450.0,0.231,1.747,8.392
2002,9.775,10.26,9.274999999999999,9.68,6.970000000000001,9250500.0,0.229,1.9760000000000002,8.946000000000002
2003,9.225,9.48,8.74,9.265,6.855,7517400.0,0.336,2.3120000000000003,9.167000000000002
2004,10.245000000000001,10.885,9.844999999999999,10.18,7.775,13598700.0,0.095,2.4070000000000005,10.182
2005,15.454999999999998,17.064999999999998,14.86,15.86,12.205,15309750.0,0.556,2.9630000000000005,15.168000000000001
2006,19.965,22.32,19.35,20.89,16.535,11573850.0,0.538386,3.5013860000000006,20.036386
2007,21.994999999999997,23.235,20.45,21.869999999999997,17.725,16310700.0,0.377301,3.8786870000000007,21.603687
2008,15.565000000000001,16.595,14.24,15.045,12.4,25473350.0,0.0,3.8786870000000007,16.278687
2009,11.855,13.17,10.795,11.925,9.83,17064500.0,0.0,3.8786870000000007,13.708687000000001
2010,13.8,14.54,12.675,13.495000000000001,11.120000000000001,17140400.0,0.0,3.8786870000000007,14.998687000000002
2011,12.280000000000001,12.59,11.55,12.09,9.965,15553950.0,0.0,3.8786870000000007,13.843687000000001
2012,11.13,11.969999999999999,10.565,11.165,9.2,13500050.0,0.0,3.8786870000000007,13.078687
2013,13.82,14.745000000000001,12.895,13.879999999999999,11.440000000000001,8075900.0,0.043315,3.922002000000001,15.362002000000002
2014,19.189999999999998,20.605,18.405,19.299999999999997,15.95,5663000.0,0.231588,4.153590000000001,20.10359
2015,20.744999999999997,21.805,19.475,20.675,17.29,7679750.0,1.36744,5.521030000000001,22.811030000000002
2016,24.925,26.34,23.6,25.064999999999998,22.39,10105550.0,0.86439,6.385420000000002,28.775420000000004
2017,18.71,19.595,17.72,18.66,17.45,9293100.0,0.369165,6.754585000000001,24.204585
2018,14.73,15.295,13.76,14.715,14.045,8579400.0,0.0,6.754585000000001,20.799585
2019,11.56,12.25,10.835,11.754999999999999,11.219999999999999,4975350.0,0.0,6.754585000000001,17.974585
2020,8.91,9.52,8.405000000000001,8.75,8.350000000000001,3143400.0,0.543138,7.297723000000001,15.647723000000003
2021,10.36,11.08,10.004999999999999,10.27,10.27,3459050.0,0.0,7.297723000000001,17.567723
2022,8.969999999999999,9.405000000000001,8.47,8.955,8.955,3602200.0,0.0,7.297723000000001,16.252723000000003
