Date,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
2002,15.559999999999999,17.4,11.555,15.695,14.815,1620800.0,0.0,0.0,14.815
2003,15.125,18.095,14.15,15.72,14.84,1683250.0,0.0,0.0,14.84
2004,11.86,12.440000000000001,10.355,11.84,11.175,1830500.0,0.0,0.0,11.175
2005,9.225,9.545,8.245000000000001,9.035,8.525,1066550.0,0.0,0.0,8.525
2006,5.265000000000001,5.96,4.93,5.205,4.915,486750.0,0.0,0.0,4.915
2007,4.135,4.16,2.8449999999999998,3.01,2.8449999999999998,912700.0,0.0,0.0,2.8449999999999998
2008,2.165,2.385,1.585,2.2,2.075,1285700.0,0.0,0.0,2.075
2009,10.05,13.515,9.115,12.295,11.605,6533900.0,0.0,0.0,11.605
2010,16.74,18.585,14.365,16.009999999999998,15.11,5262750.0,0.0,0.0,15.11
2011,12.73,13.605,11.25,12.765,12.05,3563050.0,0.0,0.0,12.05
2012,11.075,12.115,10.015,10.825,10.215,2329250.0,0.0,0.0,10.215
2013,16.16,18.770000000000003,15.64,17.415,16.435000000000002,2709750.0,0.0,0.0,16.435000000000002
2014,18.22,19.48,16.84,18.159999999999997,17.14,3055250.0,0.0,0.0,17.14
2015,23.67,24.8,21.765,23.505,22.415,3312150.0,1.5,1.5,23.915
2016,14.344999999999999,15.745000000000001,12.07,14.485,14.485,2636050.0,0.0,1.5,15.985
2017,11.705,12.675,10.67,11.614999999999998,11.614999999999998,2935500.0,0.0,1.5,13.114999999999998
2018,10.559999999999999,11.72,9.035,10.35,10.35,4130500.0,0.0,1.5,11.85
2019,3.18,3.425,1.77,1.9849999999999999,1.9849999999999999,8415400.0,0.0,1.5,3.485
2020,1.895,4.655,1.775,4.045,4.045,21256100.0,0.0,1.5,5.545
2021,22.78,26.634999999999998,19.855,22.68,22.68,10666700.0,0.0,1.5,24.18
2022,15.969999999999999,17.455,13.55,15.465,15.465,4735800.0,0.0,1.5,16.965
