Date,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
2002,16.18,18.78,12.34,15.86,15.86,134462.5,0,0,15.86
2003,22.060000000000002,25.18,19.24,23.619999999999997,23.619999999999997,129162.5,0,0,23.619999999999997
2004,33.92,38.76,30.2,34.64,34.64,259350.0,0,0,34.64
2005,23.54,27.58,20.54,22.02,22.02,264037.5,0,0,22.02
2006,11.42,12.6,10.600000000000001,11.6,11.6,82225.0,0,0,11.6
2007,7.22,7.779999999999999,5.8,6.8,6.8,49275.0,0,0,6.8
2008,2.7,3.08,2.0,2.38,2.38,77975.0,0,0,2.38
2009,1.26,1.6800000000000002,1.13,1.54,1.54,67225.0,0,0,1.54
2010,1.18,1.42,1.08,1.18,1.18,34575.0,0,0,1.18
2011,1.3599999999999999,1.78,1.24,1.42,1.42,28200.0,0,0,1.42
2012,1.76,1.95,1.6,1.73,1.73,32250.0,0,0,1.73
2013,2.275,2.6,2.05,2.275,2.275,31750.0,0,0,2.275
2014,6.4350000000000005,7.2,6.0,6.4,6.4,60250.0,0,0,6.4
2015,6.859999999999999,7.265000000000001,6.0,6.66,6.66,17937.5,0,0,6.66
2016,9.11,10.16,8.05,9.11,9.11,8287.5,0,0,9.11
2017,7.325,9.0,7.005,7.575,7.575,17500.0,0,0,7.575
2018,4.125,5.23,3.63,4.055,4.055,121800.0,0,0,4.055
2019,2.05,2.415,1.835,2.05,2.05,37700.0,0,0,2.05
2020,5.395,5.965,4.29,5.449999999999999,5.449999999999999,47800.0,0,0,5.449999999999999
2021,9.735,11.8,8.649999999999999,9.754999999999999,9.754999999999999,233800.0,0,0,9.754999999999999
2022,9.594999999999999,11.215,8.68,9.995000000000001,9.995000000000001,209900.0,0,0,9.995000000000001
