Date,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
2013,11.16,12.86,9.51,9.67,9.67,14113400.0,0,0,9.67
2014,6.415,7.07,5.715,6.325,6.325,5794250.0,0,0,6.325
2015,4.745,4.9350000000000005,3.87,4.3,4.3,2371200.0,0,0,4.3
2016,2.79,3.085,2.425,2.76,2.76,615800.0,0,0,2.76
2017,2.74,2.935,2.3200000000000003,2.6900000000000004,2.6900000000000004,356600.0,0,0,2.6900000000000004
2018,2.06,2.185,1.775,1.885,1.885,1030100.0,0,0,1.885
2019,1.275,1.44,1.0,1.275,1.275,681850.0,0,0,1.275
2020,1.0550000000000002,1.3199999999999998,0.915,1.175,1.175,9410900.0,0,0,1.175
2021,2.27,2.445,1.57,1.74,1.74,9005450.0,0,0,1.74
2022,1.125,1.295,1.0150000000000001,1.255,1.255,2725050.0,0,0,1.255
