Date,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
1976,0.0,1.84,1.54,1.64,0.78,1594849.0,0.0,0.0,0.78
1977,0.0,2.46,1.945,2.25,1.07,3303589.0,0.0,0.0,1.07
1978,0.0,2.575,1.98,2.215,1.0550000000000002,3850893.5,0.0,0.0,1.0550000000000002
1979,0.0,2.5599999999999996,2.08,2.215,1.0550000000000002,3202146.5,0.0,0.0,1.0550000000000002
1980,0.0,2.8,2.2,2.61,1.24,7287231.5,0.0,0.0,1.24
1981,0.0,2.6799999999999997,2.2,2.4050000000000002,1.14,5812318.0,0.0,0.0,1.14
1982,4.3149999999999995,4.744999999999999,3.75,4.4,2.1,20003173.0,0.08192,0.08192,2.1819200000000003
1983,3.1399999999999997,3.415,2.645,2.8,1.3599999999999999,13546140.0,0.04096,0.12288000000000002,1.48288
1984,2.305,2.645,2.085,2.42,1.19,10693909.5,0.0,0.12288000000000002,1.31288
1985,3.7199999999999998,4.095,3.365,3.7199999999999998,1.82,11920716.5,0.0,0.12288000000000002,1.9428800000000002
1986,3.19,3.465,2.955,3.105,1.52,14838135.0,0.0,0.12288000000000002,1.6428800000000001
1987,3.025,3.465,2.73,3.035,1.4849999999999999,12331788.0,0.0,0.12288000000000002,1.60788
1988,2.27,2.39,2.12,2.29,1.12,8828063.5,0.0,0.12288000000000002,1.2428800000000002
1989,3.79,4.4399999999999995,3.5,4.2299999999999995,2.0700000000000003,15041199.0,0.0,0.12288000000000002,2.19288
1990,5.375,5.925000000000001,4.725,5.41,2.6550000000000002,15092102.0,0.024569999999999998,0.14745000000000003,2.8024500000000003
1991,6.88,7.44,6.535,6.98,3.435,17567503.0,0.052559999999999996,0.20001000000000002,3.6350100000000003
1992,11.690000000000001,12.83,11.105,11.850000000000001,5.875,17047801.5,0.09387000000000001,0.29388000000000003,6.16888
1993,13.215,14.115,12.26,13.535,6.755,21875682.0,0.12544,0.41932,7.17432
1994,16.880000000000003,17.48,15.8,16.799999999999997,8.469999999999999,14408043.5,0.1536,0.57292,9.042919999999999
1995,20.5,22.65,19.8,21.7,11.09,14199187.5,0.312,0.8849199999999999,11.97492
1996,26.625,28.575,25.2,26.865000000000002,13.845,14813900.0,0.24,1.12492,14.96992
1997,31.5,35.065,30.345,33.285,17.375,19832250.0,0.27,1.39492,18.76992
1998,38.065,41.875,35.41,38.095,20.005000000000003,26053650.0,0.34299999999999997,1.73792,21.74292
1999,23.66,25.375,21.439999999999998,23.16,12.29,60012750.0,0.35,2.08792,14.37792
2000,11.690000000000001,13.530000000000001,10.31,11.905000000000001,6.49,58939300.0,0.27,2.35792,8.84792
2001,17.700000000000003,18.975,15.96,17.77,9.805,45688950.0,0.14,2.49792,12.30292
2002,18.990000000000002,21.105,17.65,19.29,10.925,41954050.0,0.38,2.87792,13.80292
2003,19.96,20.81,18.825000000000003,19.715,11.18,51406950.0,0.4,3.27792,14.45792
2004,18.255000000000003,18.814999999999998,17.03,18.189999999999998,10.535,49643350.0,0.45,3.72792,14.262920000000001
2005,18.25,18.895,17.54,18.115000000000002,10.745000000000001,37069000.0,0.5,4.22792,14.972920000000002
2006,17.415,18.295,16.285,18.085,11.055,40550800.0,0.65,4.8779200000000005,15.93292
2007,23.97,26.125,22.72,23.91,15.05,78922300.0,0.75,5.6279200000000005,20.67792
2008,19.16,20.975,17.425,19.035,12.425,75208800.0,0.75,6.3779200000000005,18.80292
2009,16.1,17.595,15.25,16.814999999999998,11.629999999999999,77014500.0,0.75,7.1279200000000005,18.75792
2010,21.744999999999997,23.655,20.855,22.365,16.05,111103700.0,0.83,7.9579200000000005,24.007920000000002
2011,26.605,27.549999999999997,25.095,26.689999999999998,20.064999999999998,79246550.0,0.92,8.877920000000001,28.94292
2012,33.644999999999996,35.06,31.464999999999996,34.4,26.82,46956400.0,1.24,10.117920000000002,36.937920000000005
2013,42.989999999999995,45.45,41.15,44.075,35.584999999999994,46414800.0,1.44,11.557920000000001,47.14292
2014,37.435,38.535,35.035,36.365,30.259999999999998,77532050.0,1.52,13.07792,43.33792
2015,25.384999999999998,27.229999999999997,22.725,25.275,22.455,113828200.0,1.52,14.59792,37.05292
2016,31.575,33.51,29.715,31.55,29.634999999999998,79396800.0,1.52,16.11792,45.75292
2017,22.025,22.365000000000002,19.285,20.775,20.59,141379200.0,0.91,17.02792,37.61792
2018,15.485,16.439999999999998,14.004999999999999,15.475,15.475,98795050.0,0.0,17.02792,32.50292
2019,11.8,13.485,10.375,11.89,11.89,99662850.0,0.0,17.02792,28.917920000000002
2020,11.42,12.46,10.64,11.405,11.405,87261350.0,0.0,17.02792,28.432920000000003
2021,20.955,21.965,19.03,21.21,21.21,55807350.0,0.0,17.02792,38.23792
2022,21.32,24.445,19.945,23.175,23.175,77430250.0,0.0,17.02792,40.202920000000006
