Date,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
2000,2.45,2.86,2.2,2.4,0.55,19524000.0,0.0,0.0,0.55
2001,2.665,2.91,2.395,2.77,0.635,15401000.0,0.0,0.0,0.635
2002,3.23,3.52,2.9050000000000002,3.2350000000000003,0.745,33686500.0,0.0159,0.0159,0.7609
2003,5.4350000000000005,6.215,5.029999999999999,5.715,1.315,46727000.0,0.112,0.1279,1.4428999999999998
2004,11.905,13.085,10.955,12.57,2.995,67332000.0,0.2207,0.3486,3.3436000000000003
2005,14.309999999999999,15.309999999999999,13.48,14.184999999999999,3.4450000000000003,72275625.0,0.2308,0.5794,4.0244
2006,14.29,15.245000000000001,13.425,14.535,3.575,78567000.0,1.2174800000000001,1.7968800000000003,5.371880000000001
2007,23.54,26.075,21.915,24.905,6.734999999999999,86565625.0,1.08633,2.88321,9.61821
2008,30.71,32.465,27.005,29.45,8.36,99766250.0,2.21393,5.09714,13.457139999999999
2009,16.255,17.575,13.235,16.700000000000003,5.66,91999750.0,2.7066,7.8037399999999995,13.46374
2010,21.270000000000003,22.835,19.825,20.955,7.890000000000001,56679950.0,1.06407,8.867809999999999,16.75781
2011,18.9,19.615,18.125,18.805,7.15,67668700.0,1.047,9.91481,17.06481
2012,17.52,18.91,16.61,17.884999999999998,7.25,55411200.0,0.76,10.674809999999999,17.92481
2013,20.57,21.130000000000003,19.465,20.72,8.57,39376300.0,1.250033,11.924843,20.494843
2014,17.369999999999997,18.545,15.795,17.235,7.595,56895900.0,1.417,13.341842999999999,20.936843
2015,7.995,9.875,7.08,8.03,3.915,48122200.0,0.882,14.223842999999999,18.138842999999998
2016,7.985,8.83,7.6,8.11,4.43,62360900.0,0.823,15.046842999999999,19.476843
2017,10.39,10.795,9.46,10.295,6.154999999999999,59692600.0,0.887,15.933843,22.088842999999997
2018,9.345,9.66,8.45,8.8,5.82,59873700.0,0.82,16.753843,22.573843
2019,8.075,8.62,7.7,8.135,6.085,64009200.0,0.903,17.656843,23.741843
2020,9.055,9.555,8.489999999999998,8.875,7.55,72489450.0,1.227681,18.884524,26.434524
2021,9.115,9.420000000000002,8.405000000000001,8.795,8.035,56887850.0,1.019803,19.904327,27.939327
2022,7.905,8.14,6.025,6.57,6.57,80402000.0,0.0,19.904327,26.474327
