Date,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
2010,1470.0,1470.0,818.7,1470.0,1470.0,7.0,0,0,1470.0
2011,300.0,312.0,237.0,276.0,276.0,951.5,0,0,276.0
2012,122.7,165.9,84.0,132.0,132.0,6198.5,0,0,132.0
2013,93.0,108.0,75.0,90.0,90.0,6014.0,0,0,90.0
2014,160.5,172.86,114.9,159.18,159.18,9487.5,0,0,159.18
2015,43.32,54.209999999999994,34.266,41.22,41.22,14995.5,0,0,41.22
2016,19.5,23.1,16.92,19.92,19.92,30752.0,0,0,19.92
2017,20.82,28.38,17.094,20.880000000000003,20.880000000000003,293187.0,0,0,20.880000000000003
2018,15.84,18.9,14.04,15.9,15.9,105054.5,0,0,15.9
2019,17.933999999999997,20.939999999999998,15.42,17.759999999999998,17.759999999999998,32658.5,0,0,17.759999999999998
2020,14.34,18.619999999999997,11.879999999999999,14.280000000000001,14.280000000000001,294300.5,0,0,14.280000000000001
2021,12.344999999999999,13.170000000000002,9.57,10.344999999999999,10.344999999999999,2616950.0,0,0,10.344999999999999
2022,1.42,1.7149999999999999,1.1099999999999999,1.29,1.29,3763900.0,0,0,1.29
