Date,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
2001,8.105,9.25,7.645,8.785,2.495,2288600.0,0.35824999999999996,0.35824999999999996,2.85325
2002,8.75,9.165,7.955,8.48,2.62,4522600.0,0.6445,1.0027499999999998,3.62275
2003,11.21,11.675,10.54,11.495,3.775,4794400.0,0.76625,1.7689999999999997,5.544
2004,13.030000000000001,13.760000000000002,12.64,13.26,4.645,8274200.0,0.86,2.6289999999999996,7.273999999999999
2005,16.2,16.740000000000002,15.67,16.235,6.08,5817600.0,0.98275,3.61175,9.691749999999999
2006,17.325000000000003,17.765,16.66,17.535,6.85,4393500.0,1.143,4.75475,11.60475
2007,21.78,22.75,20.674999999999997,21.785,9.375,6343800.0,1.2465,6.00125,15.376249999999999
2008,19.155,19.41,17.369999999999997,18.34,8.18,6651500.0,1.361,7.3622499999999995,15.54225
2009,17.5,18.854999999999997,16.39,17.8,8.55,12774500.0,1.42,8.78225,17.332250000000002
2010,23.979999999999997,24.65,23.060000000000002,24.015,12.29,12052900.0,1.454,10.23625,22.526249999999997
2011,29.96,30.625,28.465000000000003,30.095,16.310000000000002,10717000.0,1.5565,11.79275,28.10275
2012,36.36,38.275,35.08,37.849999999999994,21.439999999999998,10613150.0,1.7839999999999998,13.57675,35.01675
2013,54.07,56.370000000000005,51.565,54.379999999999995,32.52,11829050.0,2.096,15.67275,48.192750000000004
2014,80.62,84.455,73.875,81.875,50.75,11347200.0,2.5060000000000002,18.17875,68.92875000000001
2015,75.125,78.165,69.725,71.975,46.11,16072000.0,2.916,21.09475,67.20475
2016,69.56,72.235,66.795,70.19,47.68,17310100.0,3.246,24.34075,72.02074999999999
2017,72.06,72.83000000000001,68.25999999999999,71.16499999999999,50.80500000000001,15211400.0,3.523,27.86375,78.66875
2018,68.125,69.82,63.92,66.775,49.355000000000004,18078400.0,3.794,31.65775,81.01275000000001
2019,61.975,64.125,60.230000000000004,62.165,49.03,17280700.0,4.036,35.69375,84.72375
2020,41.38,45.195,38.295,41.14,35.115,26556000.0,4.111000000000001,39.80475,74.91975
2021,46.79,49.8,44.989999999999995,46.519999999999996,44.115,25727000.0,4.1205,43.92525,88.04025
2022,47.879999999999995,50.14,45.655,47.825,46.835,22699900.0,1.0375,44.96275,91.79775000000001
