Date,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
1985,0.0,5.04,4.539999999999999,4.720000000000001,4.385,101254.0,0.0,0.0,4.385
1986,0.0,5.1850000000000005,4.515,4.625,4.295,65816.5,0.014815,0.014815,4.3098149999999995
1987,0.0,4.96,4.405,4.74,4.42,61598.5,0.05926,0.074075,4.494075
1988,0.0,4.460000000000001,4.130000000000001,4.335,4.109999999999999,66322.5,0.044445,0.11852,4.22852
1989,1.925,4.02,3.815,3.9450000000000003,3.7649999999999997,37466.0,0.0,0.11852,3.88352
1990,1.74,3.63,3.5,3.52,3.355,12995.5,0.0,0.11852,3.47352
1991,1.37,3.46,3.24,3.335,3.185,25651.5,0.0,0.11852,3.3035200000000002
1992,2.205,2.24,2.09,2.13,2.035,17384.5,0.0,0.11852,2.1535200000000003
1993,2.39,2.685,2.3,2.5,2.385,28691.0,0.0,0.11852,2.50352
1994,3.705,3.83,3.52,3.74,3.57,50122.0,0.0,0.11852,3.68852
1995,4.3149999999999995,4.460000000000001,4.24,4.37,4.17,20084.0,0.0,0.11852,4.28852
1996,6.405,6.74,6.335,6.48,6.19,32402.5,0.0,0.11852,6.308520000000001
1997,8.35,9.465,8.0,9.43,8.995,15695.5,0.0,0.11852,9.11352
1998,10.405000000000001,10.49,10.07,10.425,9.95,15526.5,0.0,0.11852,10.06852
1999,11.535,12.0,11.5,12.0,11.45,6582.5,0.0,0.11852,11.56852
2000,12.0,12.0,12.0,12.0,11.45,13670.0,0.0,0.11852,11.56852
2001,12.0,12.155000000000001,12.0,12.0,11.45,11477.0,0.0,0.11852,11.56852
2002,14.364999999999998,15.11,14.245000000000001,14.44,13.78,8887.5,0.0,0.11852,13.89852
2003,15.165,16.445,15.165,15.955000000000002,15.225,23850.0,0.0,0.11852,15.34352
2004,24.355,25.275,23.83,24.585,23.46,14700.0,0.0,0.11852,23.57852
2005,30.229999999999997,31.725,28.855,29.85,28.485,10750.0,0.0,0.11852,28.60352
2006,34.36,36.785,33.15,34.955,33.355000000000004,15900.0,0.0,0.11852,33.47352
2007,42.46,44.815,40.379999999999995,42.845,40.89,36250.0,0.0,0.11852,41.00852
2008,43.615,45.45,39.739999999999995,42.525000000000006,40.585,42150.0,0.0,0.11852,40.70352
2009,26.875,29.555,24.59,26.84,25.61,14750.0,0.0,0.11852,25.72852
2010,35.095,37.625,31.405,35.6,33.975,11250.0,0.0,0.11852,34.09352
2011,41.54,43.8,40.33,42.245,40.315,9500.0,0.0,0.11852,40.433519999999994
2012,39.72,41.3,36.55,39.495000000000005,37.69,8250.0,0.0,0.11852,37.808519999999994
2013,51.0,54.495,50.084999999999994,51.025,48.695,7100.0,0.0,0.11852,48.81352
2014,67.67500000000001,72.855,66.11500000000001,69.185,66.02,8850.0,0.0,0.11852,66.13852
2015,69.075,71.285,66.1,67.86,64.755,5150.0,0.0,0.11852,64.87352
2016,55.595,57.8,51.305,54.379999999999995,51.894999999999996,7100.0,0.0,0.11852,52.01351999999999
2017,70.95,74.515,70.39500000000001,73.245,69.9,4900.0,0.0,0.11852,70.01852000000001
2018,82.535,84.475,78.12,82.17,78.575,3250.0,0.75,0.86852,79.44352
2019,86.865,91.1,83.675,87.32,84.88499999999999,2450.0,1.0,1.86852,86.75352
2020,65.31,70.5,60.11,65.31,63.95,3450.0,0.75,2.61852,66.56852
2021,78.465,83.91499999999999,76.755,79.17,78.17500000000001,2850.0,1.0,3.61852,81.79352000000002
2022,78.525,79.555,75.65,77.05,76.79,10700.0,0.26,3.87852,80.66852
