Date,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
1995,12.0,13.81,11.13,13.75,7.78,10752200.0,0.0,0.0,7.78
1996,16.005,18.035,15.0,16.785,9.489999999999998,1287100.0,0.0,0.0,9.489999999999998
1997,19.435,21.16,17.985,19.75,11.175,1849000.0,0.0,0.0,11.175
1998,23.785,27.03,21.42,23.86,13.495000000000001,2263400.0,0.0,0.0,13.495000000000001
1999,14.0,17.285,9.41,12.125,6.859999999999999,4187700.0,0.0,0.0,6.859999999999999
2000,15.75,18.22,13.625,15.940000000000001,9.015,3188850.0,0.0,0.0,9.015
2001,16.6,18.265,15.065000000000001,16.65,9.42,1597050.0,0.0,0.0,9.42
2002,19.1,19.975,17.25,18.175,10.28,2805250.0,0.0,0.0,10.28
2003,18.875,20.23,17.875,19.57,11.07,2970550.0,0.1,0.1,11.17
2004,30.95,32.739999999999995,28.595,31.185000000000002,17.84,4908500.0,0.34,0.44000000000000006,18.28
2005,33.86,36.465,31.735,34.185,19.7,6930900.0,0.45999999999999996,0.9,20.599999999999998
2006,43.035,47.06,39.59,43.08,25.155,9732800.0,0.56,1.46,26.615000000000002
2007,48.27,51.935,46.29,48.725,28.91,8942300.0,0.6799999999999999,2.1399999999999997,31.05
2008,44.510000000000005,48.125,39.7,43.18,25.990000000000002,12507500.0,0.76,2.8999999999999995,28.89
2009,38.115,41.94,34.72,39.375,24.35,11167850.0,0.8,3.6999999999999993,28.05
2010,51.075,54.065,47.144999999999996,51.230000000000004,32.14,5653850.0,1.84,5.539999999999999,37.68
2011,65.25,69.74000000000001,61.085,67.16,43.620000000000005,6705350.0,0.91,6.449999999999999,50.07000000000001
2012,72.985,75.28,68.08500000000001,73.185,48.11,7706650.0,1.35,7.799999999999999,55.91
2013,79.315,84.875,76.05,79.995,53.35,7372500.0,0.9299999999999999,8.729999999999999,62.08
2014,85.36500000000001,90.21000000000001,84.17,85.895,58.385,8018050.0,4.72,13.45,71.835
2015,70.65,72.265,67.785,69.57,50.114999999999995,9069700.0,1.6300000000000001,15.08,65.195
2016,73.21000000000001,75.58,70.19999999999999,73.225,54.42,11425100.0,2.19,17.27,71.69
2017,88.175,90.59,81.57499999999999,87.745,66.715,10935850.0,2.2800000000000002,19.55,86.265
2018,88.02000000000001,92.24000000000001,84.67500000000001,86.96000000000001,67.595,10824600.0,2.37,21.92,89.515
2019,74.41,78.465,70.62,73.83500000000001,59.754999999999995,9164900.0,2.76,24.68,84.435
2020,67.535,72.00999999999999,62.36,67.03999999999999,59.66,10629200.0,11.5,36.18,95.84
2021,85.97,89.05000000000001,80.33500000000001,85.16999999999999,83.265,7752200.0,3.0,39.18,122.445
2022,83.185,85.27000000000001,76.64,79.675,79.31,8235150.0,0.75,39.93,119.24000000000001
