Date,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
1981,7.89,7.91,7.87,7.89,1.16,33868.0,0.0,0.0,1.16
1982,7.66,8.245000000000001,7.02,7.715,1.155,6689319.0,0.27104,0.27104,1.42604
1983,12.68,13.120000000000001,11.915,12.835,1.99,4447704.0,0.27104,0.54208,2.53208
1984,13.620000000000001,14.61,13.14,14.085,2.225,5769784.0,0.31623,0.85831,3.08331
1985,20.53,21.765,19.314999999999998,20.585,3.3049999999999997,7579635.0,0.54212,1.40043,4.70543
1986,20.634999999999998,21.855,19.345,20.64,3.4749999999999996,7786940.0,1.2,2.6004300000000002,6.07543
1987,19.88,21.515,18.27,19.85,3.495,7886552.5,1.2,3.8004300000000004,7.2954300000000005
1988,13.55,14.54,12.620000000000001,13.5,2.63,5270281.0,1.2,5.000430000000001,7.6304300000000005
1989,11.774999999999999,12.280000000000001,10.98,11.434999999999999,2.395,6925512.5,1.2,6.200430000000001,8.59543
1990,7.365,8.105,6.720000000000001,7.425000000000001,1.835,6323076.5,1.2,7.400430000000001,9.235430000000001
1991,11.32,12.25,9.965,11.545000000000002,3.185,5294410.5,1.2,8.600430000000001,11.785430000000002
1992,11.52,12.17,11.01,11.55,3.6,2765357.0,1.2,9.80043,13.40043
1993,16.66,17.700000000000003,15.754999999999999,16.825,5.925000000000001,5159711.0,1.6,11.40043,17.32543
1994,17.93,19.285,17.505,18.265,6.984999999999999,4865855.0,1.6,13.00043,19.98543
1995,23.52,25.240000000000002,23.18,24.705,10.375,5269176.0,2.5807,15.58113,25.95613
1996,29.845,31.845,28.490000000000002,30.92,14.405000000000001,5818705.0,2.4000000000000004,17.98113,32.38613
1997,38.95,46.105000000000004,38.345,44.510000000000005,22.04,10790149.5,1.6,19.58113,41.62113
1998,46.965,49.1,40.019999999999996,41.645,21.380000000000003,16759934.5,1.7807000000000002,21.36183,42.74183000000001
1999,28.94,30.985,26.6,28.43,15.02,14023133.0,1.6,22.961830000000003,37.98183
2000,32.2,36.35,30.645,33.36,18.895,20862533.0,1.6,24.561830000000004,43.456830000000004
2001,39.7,43.769999999999996,37.879999999999995,40.435,23.79,38059213.5,1.6,26.161830000000005,49.95183
2002,50.754999999999995,55.67,46.465,50.745000000000005,31.015,70832320.5,1.6,27.761830000000007,58.776830000000004
2003,40.095,42.315,38.705,40.06,25.490000000000002,57244825.0,1.6,29.36183000000001,54.85183000000001
2004,46.59,48.595,44.965,46.715,31.075,37621694.0,1.32,30.68183000000001,61.75683000000001
2005,49.245,51.099999999999994,48.120000000000005,49.735,33.59,32830327.0,1.01,31.69183000000001,65.28183000000001
2006,59.865,61.89,57.875,60.17,41.56,33926728.5,1.16,32.85183000000001,74.41183000000001
2007,68.58000000000001,71.56,67.10499999999999,69.56,49.035,37250194.5,1.48,34.331830000000004,83.36683
2008,64.55000000000001,66.685,59.86,61.55,44.335,53982790.5,1.57,35.901830000000004,80.23683
2009,42.775,45.265,40.5,43.58,32.135000000000005,59294189.5,1.69,37.59183,69.72683
2010,54.85,57.05,52.004999999999995,55.065,42.53,48518651.5,1.8399999999999999,39.431830000000005,81.96183
2011,60.08,63.5,58.22,60.379999999999995,48.129999999999995,48089400.0,1.97,41.401830000000004,89.53183
2012,63.61,66.28999999999999,60.685,64.995,54.03,34231300.0,2.1500000000000004,43.55183,97.58183
2013,82.63,88.66499999999999,81.19,87.43,75.07499999999999,33581050.0,2.38,45.931830000000005,121.00683
2014,122.115,127.23,118.77,123.32499999999999,108.055,24835450.0,2.71,48.641830000000006,156.69683
2015,160.42000000000002,172.895,156.25,164.72500000000002,146.94,24773850.0,3.1,51.74183000000001,198.68183
2016,211.885,219.68,207.49,213.31,194.69,21838250.0,3.5,55.24183000000001,249.93183
2017,257.63,264.7,254.73499999999999,261.175,241.425,15340900.0,3.9,59.141830000000006,300.56683000000004
2018,312.70000000000005,329.605,299.055,312.53499999999997,293.575,24139250.0,4.7,63.84183000000001,357.41683
2019,314.005,338.96000000000004,308.055,333.54,319.4,18982300.0,5.16,69.00183000000001,388.40183
2020,325.77,349.005,293.38,320.25,311.27,20340200.0,5.67,74.67183000000001,385.94183
2021,354.52,370.08,345.905,358.685,355.71000000000004,16711450.0,6.16,80.83183000000001,436.54183000000006
2022,378.41999999999996,410.025,365.75,389.78499999999997,388.235,18002300.0,1.57,82.40183,470.63683000000003
