Date,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
1983,0.0,6.89,6.11,6.67,3.19,363825.0,0.0,0.0,3.19
1984,7.89,8.5,7.890000000000001,8.33,3.98,91462.5,0.0,0.0,3.98
1985,12.04,13.0,12.0,12.875,6.15,123000.0,0.0,0.0,6.15
1986,17.125,19.96,16.835,18.25,8.719999999999999,265925.0,0.0,0.0,8.719999999999999
1987,0.0,22.75,18.375,19.689999999999998,9.41,188300.0,0.0,0.0,9.41
1988,17.689999999999998,19.5,18.0,18.75,8.96,191450.0,0.08,0.08,9.040000000000001
1989,0.0,16.25,14.5,15.125,7.29,563000.0,0.16,0.24,7.53
1990,8.625,9.875,7.875,8.625,4.215,184100.0,0.16,0.4,4.615
1991,7.0,7.375,6.0,6.8149999999999995,3.385,109750.0,0.16,0.56,3.945
1992,7.8149999999999995,8.5,7.375,8.0,4.109999999999999,55850.0,0.16,0.7200000000000001,4.829999999999999
1993,7.25,7.375,6.25,6.875,3.605,46950.0,0.16,0.8800000000000001,4.485
1994,5.1899999999999995,6.125,4.8149999999999995,5.5649999999999995,2.99,173650.0,0.16,1.04,4.03
1995,7.6899999999999995,8.13,7.0649999999999995,7.6899999999999995,4.215,210400.0,0.16,1.2,5.415
1996,9.875,10.25,9.25,9.375,5.27,213000.0,0.16,1.3599999999999999,6.629999999999999
1997,8.315000000000001,9.25,8.125,8.345,4.775,214400.0,0.16,1.5199999999999998,6.295
1998,10.815000000000001,11.690000000000001,9.875,10.280000000000001,5.93,430350.0,0.16,1.6799999999999997,7.609999999999999
1999,6.815,7.535,6.375,6.875,4.085,780900.0,0.16,1.8399999999999996,5.925
2000,12.440000000000001,14.875,11.530000000000001,13.19,7.99,2044450.0,0.16,1.9999999999999996,9.99
2001,12.32,13.06,11.34,12.145,7.449999999999999,1004500.0,0.16,2.1599999999999997,9.61
2002,10.8,11.44,9.120000000000001,10.045,6.245,604350.0,0.16,2.32,8.565
2003,8.719999999999999,10.01,7.91,9.515,6.015000000000001,600550.0,0.16,2.48,8.495000000000001
2004,11.315000000000001,11.86,9.58,11.115,7.16,1329600.0,0.16,2.64,9.8
2005,8.65,9.145,7.245,8.58,5.625,627100.0,0.16,2.8000000000000003,8.425
2006,8.135,8.925,7.34,8.350000000000001,5.5649999999999995,1896950.0,0.16,2.9600000000000004,8.525
2007,8.795,9.47,8.305,8.559999999999999,5.8100000000000005,1150250.0,0.16,3.1200000000000006,8.930000000000001
2008,5.5649999999999995,6.175000000000001,4.12,5.35,3.6950000000000003,804600.0,0.08,3.2000000000000006,6.895000000000001
2009,3.69,4.205,3.35,3.84,2.7,683050.0,0.08,3.2800000000000007,5.98
2010,9.335,10.55,8.075,9.645,6.890000000000001,1855350.0,0.08,3.3600000000000008,10.250000000000002
2011,13.35,13.89,12.79,13.33,9.585,1839650.0,0.17,3.5300000000000007,13.115000000000002
2012,12.11,12.61,11.52,11.975000000000001,8.765,742850.0,0.22,3.750000000000001,12.515
2013,11.565000000000001,12.129999999999999,11.085,11.625,8.7,549450.0,0.24,3.990000000000001,12.690000000000001
2014,10.17,10.68,9.94,10.149999999999999,7.765000000000001,631100.0,0.24,4.230000000000001,11.995000000000001
2015,8.515,8.605,7.07,7.325,5.745,589250.0,0.24,4.4700000000000015,10.215000000000002
2016,5.48,6.05,5.119999999999999,5.65,4.655,523650.0,0.24,4.710000000000002,9.365000000000002
2017,6.050000000000001,6.32,5.77,6.029999999999999,5.095,455250.0,0.24,4.950000000000002,10.045000000000002
2018,8.495000000000001,9.08,7.675,8.73,7.775,343050.0,0.24,5.190000000000002,12.965000000000003
2019,5.805,6.1,5.485,5.785,5.289999999999999,505950.0,0.24,5.430000000000002,10.720000000000002
2020,4.335,4.8100000000000005,4.105,4.275,4.115,446950.0,0.24,5.670000000000003,9.785000000000004
2021,8.065000000000001,8.809999999999999,7.285,8.43,8.395,2036650.0,0.12,5.790000000000003,14.185000000000002
2022,13.145,14.23,11.61,12.25,12.25,3041300.0,0.0,5.790000000000003,18.040000000000003
