Date,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
1999,0.13,0.13,0.13,0.13,0.13,2300.0,0,0,0.13
2000,0.135,0.225,0.13,0.16,0.16,9000.0,0,0,0.16
2001,0.437,0.53,0.4,0.437,0.437,5000.0,0,0,0.437
2002,0.28,0.345,0.265,0.28,0.28,1700.0,0,0,0.28
2003,0.4,0.55,0.28500000000000003,0.4,0.4,4200.0,0,0,0.4
2004,1.275,2.0,1.225,1.5,1.5,11500.0,0,0,1.5
2005,3.4000000000000004,3.875,2.88,3.495,3.495,31100.0,0,0,3.495
2006,5.15,5.825,4.975,5.4,5.4,49300.0,0,0,5.4
2007,5.5,5.5,5.2,5.5,5.5,23450.0,0,0,5.5
2008,5.5,5.75,5.365,5.5,5.5,17900.0,0,0,5.5
2009,1.95,2.2750000000000004,1.75,1.9,1.9,7850.0,0,0,1.9
2010,1.795,2.02,1.65,1.795,1.795,10250.0,0,0,1.795
2011,1.95,2.05,1.7650000000000001,1.9,1.9,11050.0,0,0,1.9
2012,2.085,2.17,1.895,2.085,2.085,10000.0,0,0,2.085
2013,3.035,3.5700000000000003,2.825,3.27,3.27,10550.0,0,0,3.27
2014,5.03,5.8,4.38,5.405,5.405,21400.0,0,0,5.405
2015,4.0,4.0775,3.83,3.8925,3.8925,5900.0,0,0,3.8925
2016,1.93,2.0,1.78,1.9769999999999999,1.9769999999999999,15950.0,0,0,1.9769999999999999
2017,3.26,3.385,3.135,3.3049999999999997,3.3049999999999997,5550.0,0,0,3.3049999999999997
2018,3.8,3.88,3.425,3.75,3.75,4850.0,0,0,3.75
2019,2.995,3.0,2.185,2.725,2.725,6200.0,0,0,2.725
2020,1.895,2.115,1.51,1.915,1.915,14500.0,0,0,1.915
2021,2.49,2.49,2.0785,2.49,2.49,7950.0,0,0,2.49
2022,3.5949999999999998,3.5949999999999998,2.94,3.2199999999999998,3.2199999999999998,12200.0,0,0,3.2199999999999998
