Date,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
2002,13.25,13.81,11.440000000000001,12.34,11.379999999999999,35800.0,0.0,0.0,11.379999999999999
2003,14.3,15.075,13.705,14.48,13.350000000000001,23300.0,0.0,0.0,13.350000000000001
2004,18.22,18.965,18.115,18.53,17.085,9700.0,0.0,0.0,17.085
2005,26.955,28.375,26.034999999999997,26.955,24.855,18950.0,0.0,0.0,24.855
2006,26.345,27.32,24.810000000000002,26.310000000000002,24.265,7000.0,0.0,0.0,24.265
2007,24.21,24.895,22.575,23.924999999999997,22.060000000000002,12500.0,0.0,0.0,22.060000000000002
2008,20.87,21.674999999999997,18.38,19.465,17.945,47300.0,0.0,0.0,17.945
2009,14.17,15.485,13.435,14.05,12.955,9600.0,0.0,0.0,12.955
2010,16.735,17.835,15.895,16.83,15.52,10000.0,0.0,0.0,15.52
2011,20.3,20.975,18.835,20.259999999999998,18.685,8350.0,0.0,0.0,18.685
2012,25.58,28.284999999999997,24.32,27.71,25.555,12250.0,0.0,0.0,25.555
2013,52.66,53.665,49.855000000000004,52.96,48.835,11100.0,0.0,0.0,48.835
2014,84.825,88.11500000000001,81.505,85.245,78.61,7700.0,0.0,0.0,78.61
2015,118.775,121.63,116.41,119.13999999999999,109.995,5300.0,0.8400000000000001,0.8400000000000001,110.83500000000001
2016,156.47,164.34,151.255,156.18,145.59,7050.0,1.3599999999999999,2.2,147.79
2017,187.815,196.485,185.64499999999998,195.69,184.15,4850.0,1.77,3.97,188.12
2018,219.70499999999998,225.28,210.005,218.945,206.98,6300.0,2.48,6.45,213.42999999999998
2019,188.95,201.22,176.555,190.64499999999998,184.57999999999998,7250.0,2.71,9.16,193.73999999999998
2020,182.08999999999997,188.93,169.56,179.14499999999998,174.72,7350.0,2.72,11.88,186.6
2021,222.885,238.085,217.155,226.14999999999998,224.43,2200.0,2.75,14.63,239.06
2022,243.74,248.425,224.655,227.35,226.69,3000.0,0.69,15.32,242.01
