Date,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
1989,0.0,0.44,0.34,0.34,0.29,859600.0,0.0,0.0,0.29
1990,0.0,0.705,0.56,0.63,0.53,1627000.0,0.0,0.0,0.53
1991,0.0,1.83,1.505,1.72,1.4649999999999999,3194600.0,0.0,0.0,1.4649999999999999
1992,2.375,3.19,2.67,2.91,2.48,2040400.0,0.0,0.0,2.48
1993,3.645,3.81,3.31,3.625,3.0949999999999998,1428600.0,0.0,0.0,3.0949999999999998
1994,2.56,2.875,2.38,2.63,2.24,1220200.0,0.0,0.0,2.24
1995,3.6550000000000002,4.33,3.31,4.055,3.46,3022400.0,0.0,0.0,3.46
1996,6.06,6.815,5.58,6.279999999999999,5.355,2209000.0,0.0,0.0,5.355
1997,6.970000000000001,7.755,6.6899999999999995,7.25,6.1850000000000005,1570800.0,0.0,0.0,6.1850000000000005
1998,8.75,9.66,8.065,8.905000000000001,7.6,1547000.0,0.0,0.0,7.6
1999,14.02,15.0,12.530000000000001,14.719999999999999,12.56,3133500.0,0.0,0.0,12.56
2000,44.705,54.68,32.75,43.695,37.275000000000006,8133500.0,0.0,0.0,37.275000000000006
2001,30.855,33.975,26.45,30.915,26.37,7565450.0,0.0,0.0,26.37
2002,29.945,32.825,26.55,29.049999999999997,24.78,8486650.0,0.0,0.0,24.78
2003,29.675,32.825,28.03,31.07,26.505000000000003,7365150.0,0.0,0.0,26.505000000000003
2004,38.93,41.3,37.144999999999996,38.86,33.144999999999996,4320050.0,0.0,0.0,33.144999999999996
2005,46.375,49.025000000000006,43.715,47.835,40.805,5841150.0,0.0,0.0,40.805
2006,55.345,56.8,52.51,55.065,46.97,3805650.0,0.0,0.0,46.97
2007,58.6,61.55,56.405,59.33,50.61,3042900.0,0.0,0.0,50.61
2008,70.53,75.67500000000001,64.515,70.57,60.2,4666350.0,0.25,0.25,60.45
2009,62.150000000000006,64.83500000000001,59.395,62.09,53.75,2871150.0,1.01,1.26,55.01
2010,61.540000000000006,65.505,59.3,61.325,54.095,2000350.0,1.05,2.31,56.405
2011,71.93,74.1,67.205,71.64,63.6,2180300.0,1.09,3.4000000000000004,67.0
2012,68.995,72.13,66.51,68.82499999999999,62.59,2085350.0,1.1400000000000001,4.540000000000001,67.13000000000001
2013,70.67,74.1,68.50999999999999,72.71000000000001,66.815,2990850.0,1.21,5.750000000000001,72.565
2014,91.56,94.215,87.5,91.33,85.80000000000001,4085400.0,1.25,7.000000000000001,92.80000000000001
2015,95.065,100.375,91.19,95.22,90.23500000000001,4029800.0,1.28,8.280000000000001,98.51500000000001
2016,104.775,110.1,99.575,104.66999999999999,100.86,4196350.0,1.28,9.56,110.42
2017,114.35,119.77000000000001,110.725,116.705,113.66,3372000.0,1.28,10.84,124.5
2018,151.20499999999998,166.79500000000002,144.35000000000002,150.975,148.145,4052150.0,1.28,12.12,160.26500000000001
2019,198.53,211.24,187.925,201.57,199.265,2989950.0,1.28,13.399999999999999,212.665
2020,251.4,269.76,234.885,253.935,253.095,3784600.0,1.28,14.679999999999998,267.775
2021,440.62,471.025,419.77,461.145,461.145,4118600.0,0.64,15.319999999999999,476.465
2022,462.12,477.0,366.99,399.55,399.55,6034300.0,0.0,15.319999999999999,414.87
