Date,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
1994,7.25,8.06,6.89,7.42,4.67,2081925.0,0.0,0.0,4.67
1995,7.945,8.445,7.5,8.195,5.16,1125562.5,0.0,0.0,5.16
1996,15.555,16.615000000000002,15.0,15.780000000000001,9.940000000000001,756675.0,0.0,0.0,9.940000000000001
1997,11.08,13.14,9.219999999999999,9.75,6.140000000000001,757125.0,0.0,0.0,6.140000000000001
1998,8.835,9.385,8.42,9.0,5.67,286200.0,0.0,0.0,5.67
1999,9.5,9.945,9.22,9.305,5.859999999999999,411750.0,0.0,0.0,5.859999999999999
2000,9.305,10.875,8.084999999999999,9.25,5.824999999999999,419287.5,0.0,0.0,5.824999999999999
2001,6.175,7.225,5.36,6.234999999999999,3.9299999999999997,336937.5,0.0,0.0,3.9299999999999997
2002,5.609999999999999,5.965,4.24,5.09,3.205,279000.0,0.0,0.0,3.205
2003,3.885,4.455,3.385,3.905,2.46,857700.0,0.0,0.0,2.46
2004,6.195,7.18,5.28,6.12,3.855,1831275.0,0.0,0.0,3.855
2005,6.255,6.970000000000001,5.6850000000000005,6.39,4.025,547537.5,0.0,0.0,4.025
2006,8.895,9.59,8.2,9.004999999999999,5.675000000000001,349650.0,0.0,0.0,5.675000000000001
2007,13.71,15.8,12.49,13.14,8.280000000000001,1515750.0,0.0,0.0,8.280000000000001
2008,9.379999999999999,10.030000000000001,8.015,9.02,5.6850000000000005,647700.0,0.0,0.0,5.6850000000000005
2009,7.105,9.21,6.83,8.645,5.45,277650.0,0.13334,0.13334,5.58334
2010,15.285,16.560000000000002,13.825,15.155000000000001,9.835,512525.0,0.36667,0.50001,10.33501
2011,12.64,14.559999999999999,11.51,12.715,8.415,693400.0,0.5,1.00001,9.415009999999999
2012,19.564999999999998,22.119999999999997,18.085,20.4,14.065000000000001,736200.0,1.44,2.44001,16.505010000000002
2013,24.78,29.615,24.375,28.979999999999997,21.365000000000002,621900.0,0.72,3.1600099999999998,24.52501
2014,31.985,33.345,30.08,31.740000000000002,24.025,432300.0,0.8,3.9600099999999996,27.98501
2015,22.355,26.0,20.15,22.095,17.115,456550.0,1.0,4.96001,22.07501
2016,13.41,14.425,12.52,13.239999999999998,11.035,282100.0,0.8,5.760009999999999,16.795009999999998
2017,14.05,15.425,13.2,14.1,12.06,557350.0,0.8,6.560009999999999,18.62001
2018,17.91,18.950000000000003,16.185,17.75,16.2,451900.0,0.8,7.360009999999999,23.56001
2019,15.125,17.275,13.245000000000001,15.129999999999999,14.535,990350.0,0.8,8.16001,22.69501
2020,6.045,6.890000000000001,5.255000000000001,6.13,6.13,1099850.0,0.02,8.18001,14.310009999999998
2021,6.215,7.92,5.779999999999999,6.24,6.24,600950.0,0.0,8.18001,14.42001
2022,5.865,6.6899999999999995,5.34,5.92,5.92,694500.0,0.0,8.18001,14.10001
