Date,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
2010,4.75,5.0,4.01,4.75,3.52,59700.0,0.0,0.0,3.52
2011,5.949999999999999,6.65,5.5,6.375,4.845,22500.0,0.405,0.405,5.25
2012,6.855,7.2,6.6,6.99,5.645,19500.0,0.54,0.9450000000000001,6.59
2013,7.33,7.505,6.615,7.295,6.324999999999999,45000.0,0.17500000000000002,1.12,7.444999999999999
2014,7.725,8.475,7.025,7.99,6.99,361350.0,0.0,1.12,8.11
2015,6.74,7.404999999999999,6.135,6.715,5.88,547850.0,0.1,1.2200000000000002,7.1
2016,5.7,6.255,5.395,5.75,5.14,744550.0,0.1,1.3200000000000003,6.46
2017,6.574999999999999,7.125,6.0649999999999995,6.6,6.01,451500.0,0.12,1.4400000000000004,7.45
2018,6.375,6.66,5.9,6.35,5.865,711250.0,0.135,1.5750000000000004,7.44
2019,6.32,6.77,6.0,6.58,6.255,573900.0,0.155,1.7300000000000004,7.985
2020,5.885,6.595,4.99,5.43,5.27,1167450.0,0.16,1.8900000000000003,7.16
2021,9.865,10.715,9.21,10.015,9.995000000000001,2475950.0,0.08,1.9700000000000004,11.965000000000002
2022,13.22,13.945,11.79,12.77,12.77,1282950.0,0.0,1.9700000000000004,14.74
