Date,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
1998,25.81,26.25,25.56,26.0,8.64,752800.0,0.42,0.42,9.06
1999,24.564999999999998,24.75,23.845,24.064999999999998,8.4,842050.0,1.684,2.104,10.504000000000001
2000,21.845,22.53,21.345,22.189999999999998,8.285,536400.0,1.6869999999999998,3.791,12.076
2001,25.165,25.5,24.755000000000003,25.314999999999998,10.184999999999999,923650.0,1.688,5.479,15.663999999999998
2002,25.865000000000002,26.345,25.71,26.04,11.165,488000.0,1.688,7.167,18.332
2003,26.255000000000003,26.509999999999998,25.875,26.17,12.075,660300.0,1.584,8.751,20.826
2004,25.145,25.545,24.75,25.02,12.395,518100.0,1.492,10.242999999999999,22.637999999999998
2005,25.21,25.759999999999998,24.865,25.145,12.925,403150.0,1.116,11.358999999999998,24.284
2006,23.6,23.965,23.1,23.509999999999998,12.77,389800.0,1.372,12.730999999999998,25.500999999999998
2007,23.560000000000002,23.865000000000002,22.91,23.53,13.375,429050.0,1.372,14.102999999999998,27.477999999999998
2008,25.115000000000002,25.72,24.759999999999998,25.200000000000003,15.305,407450.0,1.37,15.472999999999999,30.778
2009,26.119999999999997,27.175,25.55,26.16,16.744999999999997,311200.0,1.274,16.747,33.492
2010,26.560000000000002,26.975,26.13,26.575,17.625,398450.0,1.184,17.931,35.556
2011,25.240000000000002,25.795,25.035,25.42,17.82,260500.0,1.184,19.115000000000002,36.935
2012,26.82,27.23,26.23,26.82,19.75,353950.0,1.1829999999999998,20.298000000000002,40.048
2013,24.915,25.439999999999998,24.16,24.715,18.915,508400.0,1.027,21.325000000000003,40.24
2014,23.865000000000002,24.055,23.534999999999997,23.87,18.995,426150.0,0.956,22.281000000000002,41.276
2015,24.705,25.095,24.21,24.72,20.34,287800.0,0.9219999999999999,23.203000000000003,43.543000000000006
2016,25.535,26.165,25.119999999999997,25.5,21.745,253650.0,0.888,24.091000000000005,45.836000000000006
2017,25.375,25.67,25.064999999999998,25.355,22.6,249900.0,0.888,24.979000000000006,47.57900000000001
2018,24.905,25.095,24.325,24.814999999999998,22.93,265200.0,0.888,25.867000000000008,48.79700000000001
2019,25.695,26.735,25.314999999999998,25.799999999999997,24.735,427350.0,0.888,26.75500000000001,51.49000000000001
2020,25.95,26.705,25.36,25.740000000000002,25.305,303650.0,0.49,27.245000000000008,52.55000000000001
2021,26.159999999999997,26.994999999999997,25.59,26.265,26.2,339100.0,0.266,27.51100000000001,53.71100000000001
2022,25.83,25.975,24.95,25.55,25.55,206800.0,0.0,27.51100000000001,53.06100000000001
