Date,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
1999,16.924999999999997,17.235,15.525,17.13,13.835,6522.5,0.0,0.0,13.835
2000,16.044999999999998,16.56,15.425,16.044999999999998,12.954999999999998,9843.0,0.0,0.0,12.954999999999998
2001,15.11,16.044999999999998,14.135,15.215,12.29,3985.0,0.0,0.0,12.29
2002,16.995,17.555,15.92,17.225,13.91,8695.5,0.0,0.0,13.91
2003,15.365,15.84,15.32,15.43,12.46,7850.5,0.0,0.0,12.46
2004,20.6,21.43,20.125,21.035,16.985,12559.0,0.0,0.0,16.985
2005,29.81,30.64,28.99,29.81,24.08,28861.0,0.0,0.0,24.08
2006,32.61,34.16,31.365000000000002,32.504999999999995,26.25,15397.5,0.0,0.0,26.25
2007,30.125,30.33,27.535,27.744999999999997,22.405,10809.0,0.0,0.0,22.405
2008,22.98,23.810000000000002,21.259999999999998,22.36,18.06,5979.0,0.0,0.0,18.06
2009,15.73,16.46,14.6,15.73,12.71,7065.5,0.0,0.0,12.71
2010,13.64,15.32,12.465,13.455,10.864999999999998,12378.0,0.0,0.0,10.864999999999998
2011,14.23,16.505000000000003,13.835,14.23,11.489999999999998,11729.5,0.0,0.0,11.489999999999998
2012,13.3,14.29,12.565000000000001,13.07,10.555,23677.5,0.0,0.0,10.555
2013,15.95,16.355,15.715,16.07,13.02,26145.0,0.19286,0.19286,13.21286
2014,21.645000000000003,22.29,21.335,21.770000000000003,17.89,27142.5,0.26191,0.45477,18.34477
2015,21.405,21.645000000000003,20.95,21.38,17.770000000000003,11497.5,0.34353900000000004,0.798309,18.568309000000003
2016,23.33,23.38,22.615000000000002,23.33,19.740000000000002,8032.5,0.44444500000000003,1.2427540000000001,20.982754000000003
2017,32.36,34.67,31.525,33.595,29.0,15435.0,0.5805,1.8232540000000002,30.823254
2018,44.015,44.725,42.075,43.8,38.455,20450.0,1.029477,2.8527310000000003,41.307731
2019,37.45,38.125,36.985,37.6,34.245000000000005,25600.0,1.185714,4.038445,38.28344500000001
2020,25.375,26.65,24.5,25.375,23.740000000000002,22650.0,1.2,5.2384450000000005,28.978445
2021,35.345,37.790000000000006,32.805,34.92,34.625,52500.0,1.2,6.438445000000001,41.063445
2022,36.805,36.99,35.08,35.745000000000005,35.745000000000005,33950.0,0.0,6.438445000000001,42.183445000000006
