Date,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
1994,11.315000000000001,11.375,9.625,10.565000000000001,10.565000000000001,1667200.0,0.0,0.0,10.565000000000001
1995,16.41,19.5,14.065000000000001,16.625,16.625,1827850.0,0.0,0.0,16.625
1996,14.625,16.125,11.690000000000001,14.875,14.875,1516000.0,0.0,0.0,14.875
1997,39.69,42.625,31.345,39.19,39.19,5078050.0,0.0,0.0,39.19
1998,29.0,36.44,22.439999999999998,30.595,30.595,5115250.0,0.0,0.0,30.595
1999,35.53,43.505,28.755,35.47,35.47,6660400.0,0.0,0.0,35.47
2000,68.94,84.285,50.94,69.725,69.725,12703700.0,0.0,0.0,69.725
2001,38.855000000000004,46.895,32.6,37.32,37.32,10239700.0,0.0,0.0,37.32
2002,24.34,27.15,16.915,18.57,18.57,12501100.0,0.0,0.0,18.57
2003,17.96,21.2,16.439999999999998,19.085,19.085,8524300.0,0.0,0.0,19.085
2004,24.799999999999997,26.025,21.165,22.75,22.75,11481400.0,0.0,0.0,22.75
2005,16.130000000000003,18.53,15.219999999999999,16.16,16.16,11119600.0,0.0,0.0,16.16
2006,21.880000000000003,24.064999999999998,19.740000000000002,22.015,22.015,8357850.0,0.0,0.0,22.015
2007,18.525,19.96,17.439999999999998,18.29,18.29,7866850.0,0.0,0.0,18.29
2008,16.07,18.15,14.190000000000001,15.79,15.79,9092100.0,0.0,0.0,15.79
2009,11.25,16.765,10.48,15.215,15.215,9843250.0,0.0,0.0,15.215
2010,36.635,45.47,32.86,39.835,39.835,42748850.0,0.0,0.0,39.835
2011,43.739999999999995,49.74,40.5,41.525,41.525,35665650.0,0.0,0.0,41.525
2012,30.465000000000003,32.79,27.235,30.095,30.095,18170300.0,0.0,0.0,30.095
2013,35.375,36.905,30.795,34.94,34.94,11791350.0,0.0,0.0,34.94
2014,36.5,37.97,33.56,36.480000000000004,36.480000000000004,10623900.0,0.0,0.0,36.480000000000004
2015,28.975,30.32,26.715,27.31,27.31,7259900.0,0.0,0.0,27.31
2016,19.005,20.625,17.025,19.060000000000002,19.060000000000002,5710750.0,0.0,0.0,19.060000000000002
2017,27.95,30.165,24.85,26.55,26.55,10979050.0,0.0,0.0,26.55
2018,14.85,16.85,13.8,14.45,14.45,12035650.0,0.0,0.0,14.45
2019,11.665,12.625,10.75,11.795,11.795,6474000.0,0.0,0.0,11.795
2020,12.825,14.774999999999999,11.66,12.74,12.74,9851150.0,0.0,0.0,12.74
2021,22.905,24.1,20.515,23.105,23.105,7205800.0,0.0,0.0,23.105
2022,28.275,31.275,25.375,27.705,27.705,9101100.0,0.0,0.0,27.705
