,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow,Open,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends,Tax Rate,Deferred Revenue,Net Interest Income,Free Cash Flow to the Firm,Tangible Assets,Adjusted Operating Income,EBIT,Operating Cash Flow,Common Book Value,Tangible Book Value,Common Tangible Book Value,Free Cash Flow Ratio,"Selling, General and Administrative Exp. Ratio",Research and Development Exp. Ratio,Other Expenses Ratio,Net Interest IncomeRatio,Depreciation and Amortization Ratio,EBIT Margin,Adjusted Operating Margin,Operating Cash Flow Margin,Cost-to-Income Ratio,Operating Expense Ratio,Revenue per share,Operating Income per share,FCF per share,CAPEX per share,Book value per share,Dividends per share,Total Debt,Financial leverage,Cash to Debt Ratio,Cash & Investments,Cash & Investments to Debt Ratio,Net Debt,Net Debt w/Investments,Working Capital,Current Ratio,Quick Ratio,Cash to Current Assets,Cash to Assets,Debt to Equity,Debt to Assets,Interest Coverage,Current Liability Coverage Ratio,Cash Ratio,Net Working Capital to Assets,Long Term Debt Ratio,Total Debt/ Assets,Net Debt/ Assets,Total Debt/ Equity,Total Liabilities/ Equity,Net Debt/ Equity,Equity Ratio,Equity Multiplier,Debt/ Tangible Book Value,Net Debt/ EBITDA,Cash to Debt,Cash Flow Coverage Ratio,Free Cash Flow/ Long Term Debt,Debt Leverage Ratio,Interest Expense to Debt Ratio,Cash Sales,Cash Revenue Adjustment,CFO/ Net Income,Return on Equity,NOPAT,Invested Capital,Return on Invested Capital,Capital Employed,ROCE,CFROI,Asset Turnover Ratio,Inventory Turnover,Receivables Turnover,Cash Turnover Ratio,Gross Profitability Ratio,Tangible Gross Profitability Ratio,Cash Return on Invested Capital,Adjusted Return on Capital Employed,Cash Return on Capital Employed,EBIT Return on Assets,EBIT Return on Tangible Assets,Return on Assets,Return on Tangible Equity,Cash Return on Equity,Return on Retained Earnings,R&D / Assets,R&D / Book,CapEx / Assets,CapEx / Fixed Assets,Retained Earnings / Total Assets,Inventory / Assets,Accounts Receivable / Assets,Plowback Ratio,Dividend & Repurchase / FCF,Dividend & Repurchase / EBITDA
1994,61400000,46800000,14600000,0.2378,0.0,11100000,500000.0,11600000,58400000,0.0,0.0,500000,2200000.0,0.0358,3000000.0,0.0488599348534201,-1300000,1700000,0.0277,700000,1000000,0.0163,0.1,0.1,9921510,9921510,,0.0,,7600000,8300000,1000000,16900000,1400000,0.0,0.0,0.0,0.0,0.0,800000,2200000,0.0,19100000,4600000,0.0,0.0,0.0,2000000,6600000,6100000.0,0.0,0.0,0.0,6100000,0.0,0.0,12700000,0.0,0.0,1900000,-1700000.0,6200000,6400000,19100000,0.0,19100000,1000000,500000,0.0,0.0,7000000,0.0,200000,0.0,10300000,-9900000,-1400000,-200000,0.0,0.0,0.0,200000.0,0.0,0.0,100000.0,0.0,0.0,1200000,1300000,1400000.0,1300000,1400000.0,100000.0,-1600000,7.25,7.42,4.67,2081925.0,0.0,0.0,4.67,0.4117647058823529,0.0,0.0,-1600000.0,19100000.0,3000000,1700000.0,9800000.0,6400000.0,6400000.0,6400000.0,-0.026058631921824105,0.7602739726027398,0.0,0.008143322475570033,0.0,0.008143322475570033,0.02768729641693811,0.048859934853420196,0.15960912052117263,3.8666666666666667,0.18892508143322476,6.188574118254177,0.3023733282534614,-0.16126577506851275,-0.020158221883564094,0.645063100274051,0.0,6100000.0,0.953125,,,,,,10300000,2.5606060606060606,,,,1.03125,0.34554973821989526,99.0,1.4848484848484849,,0.5392670157068062,0.3193717277486911,0.3193717277486911,,0.953125,1.984375,,0.33507853403141363,2.984375,1.984375,,,0.7716535433070866,-0.26229508196721313,5.7727272727272725,0.0,61400000.0,,9.8,0.15625,1764705.8823529412,12500000,0.1411764705882353,12500000,0.136,0.784,3.2146596858638743,5.63855421686747,inf,,0.7643979057591623,0.7643979057591623,-0.128,0.24,-0.128,0.08900523560209424,0.08900523560209424,0.09239297813366185,0.15625,1.53125,0.5263157894736842,0.0,0.0,0.010471204188481676,0.14285714285714285,0.09947643979057591,0.43455497382198954,0.0,1.0,0.0625,-0.045454545454545456
1995,74500000,57200000,17300000,0.2322,0.0,12500000,600000.0,13100000,70300000,0.0,0.0,600000,4700000.0,0.0631,4200000.0,0.0563758389261744,-100000,4100000,0.055,1600000,2500000,0.0336,0.19,0.19,10881656,10881656,8500000.0,0.0,8500000.0,8100000,8600000,600000,25800000,1700000,0.0,0.0,0.0,0.0,0.0,700000,2400000,0.0,28200000,6600000,0.0,0.0,0.0,1200000,7800000,200000.0,0.0,0.0,0.0,200000,0.0,0.0,8000000,0.0,0.0,4400000,-2100000.0,17900000,20200000,28200000,0.0,28200000,2500000,600000,-100000.0,0.0,7700000,0.0,-300000,0.0,18000000,-4900000,5800000,-800000,0.0,0.0,0.0,0.0,-800000.0,0.0,10600000.0,0.0,0.0,-7200000,3400000,-5000000.0,3400000,,,5000000,7.945,8.195,5.16,1125562.5,0.0,0.0,5.16,0.3902439024390244,0.0,0.0,5000000.0,28200000.0,4200000,4100000.0,10900000.0,20200000.0,20200000.0,20200000.0,0.06711409395973154,0.7225433526011561,0.0,0.008053691275167786,0.0,0.008053691275167786,0.05503355704697987,0.056375838926174496,0.14630872483221477,3.119047619047619,0.17583892617449665,6.846384410608091,0.38597066475911385,0.4594888866179927,-0.07351822185887884,1.8563351019366905,0.0,200000.0,0.009900990099009901,42.5,8500000.0,42.5,-8300000.0,-8300000.0,18000000,3.3076923076923075,1.0897435897435896,0.32945736434108525,0.30141843971631205,0.38613861386138615,0.2765957446808511,99.0,1.3974358974358974,1.0897435897435896,0.6382978723404256,0.0070921985815602835,0.0070921985815602835,-0.29432624113475175,0.009900990099009901,0.39603960396039606,-0.41089108910891087,0.7163120567375887,1.396039603960396,0.39603960396039606,-1.7659574468085106,42.5,1.3625,25.0,1.702127659574468,0.0,74500000.0,,4.36,0.12376237623762376,2560975.6097560977,20400000,0.12553802008608322,20400000,0.20098039215686275,0.5343137254901961,2.641843971631206,6.651162790697675,inf,8.764705882352942,0.6134751773049646,0.6134751773049646,0.24509803921568626,0.20588235294117646,0.24509803921568626,0.1453900709219858,0.1453900709219858,0.0908147379346134,0.12376237623762376,0.5396039603960396,0.5681818181818182,0.0,0.0,0.028368794326241134,0.47058823529411764,0.15602836879432624,0.3049645390070922,0.0,1.0,-2.12,-2.25531914893617
1996,92300000,68400000,23900000,0.2589,0.0,17100000,600000.0,17700000,86100000,0.0,0.0,600000,6900000.0,0.0748,6200000.0,0.0671722643553629,100000,6300000,0.0683,2300000,4000000,0.0433,0.26,0.26,10034482,10034482,400000.0,0.0,400000.0,14300000,13700000,900000,29300000,6600000,0.0,0.0,0.0,0.0,0.0,600000,7200000,0.0,36500000,9600000,0.0,0.0,0.0,2300000,11900000,100000.0,0.0,0.0,0.0,100000,0.0,0.0,12000000,0.0,0.0,8400000,-2700000.0,18800000,24500000,36500000,0.0,36500000,4000000,600000,-100000.0,0.0,-600000,0.0,-5100000,0.0,17400000,-6600000,-2700000,-5500000,0.0,0.0,0.0,0.0,-5500000.0,0.0,300000.0,0.0,0.0,-100000,200000,8200000.0,200000,8700000.0,8500000.0,-8200000,15.555,15.78,9.94,756675.0,0.0,0.0,9.94,0.36507936507936506,0.0,0.0,-8200000.0,36500000.0,6200000,6300000.0,3900000.0,24500000.0,24500000.0,24500000.0,-0.08884073672806067,0.7154811715481172,0.0,0.0065005417118093175,0.0,0.0065005417118093175,0.06825568797399784,0.06717226435536294,0.04225352112676056,2.8548387096774195,0.19176598049837487,9.19828248234438,0.6178694625193408,-0.8171821923642895,-0.5481100070736088,2.441580940600621,0.0,100000.0,0.004081632653061225,4.0,400000.0,4.0,-300000.0,-300000.0,17400000,2.46218487394958,0.03361344537815126,0.013651877133105802,0.010958904109589041,0.4857142857142857,0.32602739726027397,99.0,0.3277310924369748,0.03361344537815126,0.4767123287671233,0.0027397260273972603,0.0027397260273972603,-0.00821917808219178,0.004081632653061225,0.4897959183673469,-0.012244897959183673,0.6712328767123288,1.489795918367347,0.4897959183673469,-0.043478260869565216,4.0,0.325,-82.0,1.7391304347826086,0.0,92300000.0,,0.975,0.16326530612244897,3936507.936507936,24600000,0.16002064782552586,24600000,0.25609756097560976,0.15853658536585366,2.5287671232876714,4.992700729927007,inf,230.75,0.6547945205479452,0.6547945205479452,-0.3333333333333333,0.25203252032520324,-0.3333333333333333,0.1726027397260274,0.1726027397260274,0.10784953250706675,0.16326530612244897,0.15918367346938775,0.47619047619047616,0.0,0.0,0.1506849315068493,0.8333333333333334,0.23013698630136986,0.37534246575342467,0.0,1.0,0.036585365853658534,-0.043478260869565216
1997,147100000,109800000,37300000,0.2536,0.0,29200000,300000.0,29500000,139300000,0.0,0.0,1400000,8200000.0,0.0557,7800000.0,0.0530251529571719,-1000000,6800000,0.0462,2600000,4200000,0.0286,0.26,0.26,9774000,9774000,,0.0,,16900000,16900000,1300000,35100000,11400000,4300000.0,0.0,4300000.0,0.0,0.0,100000,15800000,0.0,50900000,10800000,0.0,0.0,0.0,3100000,13900000,7600000.0,0.0,0.0,0.0,7600000,0.0,0.0,21500000,0.0,0.0,12600000,-3700000.0,20500000,29400000,50900000,0.0,50900000,4200000,1400000,-200000.0,0.0,3800000,0.0,-1300000,0.0,21200000,-6000000,3200000,-5700000,0.0,0.0,0.0,-6700000.0,-12400000.0,0.0,400000.0,0.0,0.0,8400000,8800000,9200000.0,8800000,9200000.0,400000.0,-2500000,11.08,9.75,6.140000000000001,757125.0,0.0,0.0,6.140000000000001,0.38235294117647056,0.0,0.0,-2500000.0,46600000.0,6700000,6800000.0,10400000.0,29400000.0,25100000.0,25100000.0,-0.01699524133242692,0.7828418230563002,0.0,0.0020394289598912306,0.0,0.009517335146159076,0.046227056424201225,0.045547246770904146,0.07070020394289599,3.782051282051282,0.20054384772263767,15.05013300593411,0.7980356046654389,-0.255780642520974,-0.5831798649478207,3.0079803560466543,0.0,7600000.0,0.2585034013605442,,,,,,21200000,2.5251798561151078,,,,0.47278911564625853,0.2730844793713163,99.0,0.7482014388489209,,0.4165029469548134,0.14931237721021612,0.14931237721021612,,0.2585034013605442,0.7312925170068028,,0.5776031434184676,1.7312925170068028,0.8565737051792829,,,0.48372093023255813,-0.32894736842105265,2.6219512195121952,0.0,147100000.0,,2.4761904761904763,0.14285714285714285,4817647.05882353,37000000,0.1302066772655008,37000000,0.1837837837837838,0.2810810810810811,2.8899803536345776,6.497041420118343,inf,,0.7328094302554028,0.8004291845493562,-0.06756756756756757,0.1810810810810811,-0.06756756756756757,0.13359528487229863,0.1459227467811159,0.09464925459378251,0.16733067729083664,0.35374149659863946,0.3333333333333333,0.0,0.0,0.11198428290766209,0.5,0.2475442043222004,0.3320235756385069,0.0,1.0,0.16,-0.04878048780487805
1998,131700000,95900000,35800000,0.2718,0.0,29700000,-100000.0,29600000,125500000,0.0,0.0,1900000,7300000.0,0.0554,6100000.0,0.0463173880030372,-700000,5400000,0.041,2000000,3400000,0.0258,0.23,0.22,9918000,9918000,4500000.0,0.0,4500000.0,15800000,18900000,2000000,41200000,14800000,4000000.0,0.0,4000000.0,0.0,0.0,-100000,18700000,0.0,59900000,16300000,0.0,0.0,0.0,2700000,19000000,7400000.0,0.0,0.0,100000.0,7500000,0.0,0.0,26500000,0.0,0.0,15900000,-4900000.0,22400000,33400000,59900000,0.0,59900000,3400000,1900000,100000.0,0.0,1000000,0.0,-1900000,0.0,22200000,3500000,9900000,-5000000,0.0,0.0,0.0,0.0,-5000000.0,0.0,500000.0,0.0,0.0,-900000,-400000,-4900000.0,-400000,,,4900000,8.835,9.0,5.67,286200.0,0.0,0.0,5.67,0.37037037037037035,0.0,0.0,4900000.0,55900000.0,4200000,5400000.0,7000000.0,33400000.0,29400000.0,29400000.0,0.03720577069096431,0.8296089385474861,0.0,-0.0007593014426727411,0.0,0.01442672741078208,0.04100227790432802,0.03189066059225513,0.05315110098709187,4.852459016393443,0.22475322703113135,13.278886872353297,0.6150433555152248,0.49405122000403306,-0.5041338979632991,3.367614438394838,0.0,7400000.0,0.2215568862275449,0.6081081081081081,4500000.0,0.6081081081081081,2900000.0,2900000.0,22200000,2.168421052631579,0.23684210526315788,0.10922330097087378,0.07512520868113523,0.5688622754491018,0.31719532554257096,99.0,0.3684210526315789,0.23684210526315788,0.37061769616026713,0.12520868113522537,0.12353923205342238,0.048414023372287146,0.2215568862275449,0.7934131736526946,0.08682634730538923,0.5575959933222037,1.7934131736526946,0.9013605442176871,0.3972602739726027,0.6081081081081081,0.2641509433962264,0.6621621621621622,3.6301369863013697,0.0,131700000.0,,2.0588235294117645,0.10179640718562874,3840740.7407407407,40900000,0.0939056415829032,40900000,0.13202933985330073,0.17114914425427874,2.1986644407345577,5.074074074074074,inf,29.266666666666666,0.5976627712854758,0.6404293381037567,0.1198044009779951,0.10268948655256724,0.1198044009779951,0.09015025041736227,0.09660107334525939,0.06411921103073023,0.11564625850340136,0.20958083832335328,0.2138364779874214,0.0,0.0,0.08347245409015025,0.33783783783783783,0.2654424040066778,0.31552587646076796,0.0,1.0,-0.10204081632653061,-0.0684931506849315
1999,160600000,118500000,42100000,0.2621,0.0,36800000,900000.0,37700000,156200000,0.0,0.0,2100000,5300000.0,0.033,4400000.0,0.0273972602739726,-1200000,3200000,0.0199,1200000,2000000,0.0125,0.13,0.13,9985500,9985500,100000.0,0.0,100000.0,19600000,21100000,2700000,43500000,15700000,3600000.0,0.0,3600000.0,0.0,0.0,300000,19600000,0.0,63100000,12900000,4400000.0,0.0,0.0,3100000,20400000,7100000.0,0.0,0.0,100000.0,7200000,0.0,0.0,27600000,0.0,0.0,17900000,-6600000.0,24200000,35500000,63100000,0.0,63100000,2000000,2100000,-400000.0,0.0,900000,0.0,-2300000,0.0,23100000,-10100000,-5500000,-3000000,0.0,0.0,0.0,0.0,-3000000.0,0.0,100000.0,0.0,0.0,4000000,4100000,8500000.0,4100000,8600000.0,4500000.0,-8500000,9.5,9.305,5.859999999999999,411750.0,0.0,0.0,5.859999999999999,0.375,0.0,0.0,-8500000.0,59500000.0,3200000,3200000.0,6200000.0,35500000.0,31900000.0,31900000.0,-0.05292652552926526,0.8741092636579573,0.0,0.00560398505603985,0.0,0.013075965130759652,0.019925280199252802,0.019925280199252802,0.038605230386052306,8.568181818181818,0.23474470734744707,16.083320815182013,0.44063892644334285,-0.8512342897200942,-0.3004356316659156,3.5551549747133344,0.0,11500000.0,0.323943661971831,0.008695652173913044,100000.0,0.008695652173913044,11400000.0,11400000.0,23100000,2.1323529411764706,0.004901960784313725,0.0022988505747126436,0.001584786053882726,0.5746478873239437,0.3232963549920761,99.0,0.30392156862745096,0.004901960784313725,0.36608557844690964,0.11410459587955626,0.18225039619651348,0.18066561014263074,0.323943661971831,0.7774647887323943,0.3211267605633803,0.5625990491283677,1.7774647887323944,0.8652037617554859,2.150943396226415,0.008695652173913044,0.2246376811594203,-1.1971830985915493,5.2075471698113205,0.0,160600000.0,,3.1,0.056338028169014086,2750000.0,42700000,0.06440281030444965,42700000,0.07494145199063232,0.1451990632318501,2.5451664025356577,5.61611374407583,inf,1606.0,0.6671949286846276,0.7075630252100841,-0.1990632318501171,0.07494145199063232,-0.1990632318501171,0.05071315372424723,0.05378151260504202,0.043581616481774964,0.06269592476489028,0.17464788732394365,0.11173184357541899,0.0,0.0,0.04754358161648178,0.1910828025477707,0.2836767036450079,0.33438985736925514,0.0,1.0,0.011764705882352941,-0.018867924528301886
2000,196800000,142500000,54300000,0.2759,0.0,44027400,72600.0,44100000,186600000,0.0,0.0,2746400,11646400.0,0.0592,10300000.0,0.0523373983739837,-1400000,8900000,0.0452,3400000,5500000,0.0279,0.37,0.36,15087143,15515554,800000.0,0.0,800000.0,28200000,31700000,3100000,63800000,17200000,3300000.0,0.0,3300000.0,0.0,800000.0,-700000,20600000,0.0,84400000,25400000,5900000.0,0.0,0.0,4200000,35500000,6800000.0,0.0,0.0,1100000.0,7900000,0.0,0.0,43400000,0.0,0.0,23500000,-8700000.0,26300000,41100000,84500000,-100000.0,84400000,5500000,2746400,473700.0,0.0,5200000,0.0,-10574800,0.0,28300000,-10542400,3377700,-3854400,0.0,0.0,0.0,0.0,-3854400.0,0.0,75300.0,0.0,0.0,1121800,1197100,0.0,720400,818100.0,97700.0,-476700,9.305,9.25,5.824999999999999,419287.5,0.0,0.0,5.824999999999999,0.38202247191011235,0.0,0.0,-476700.0,81100000.0,7526200,8900000.0,14846400.0,41100000.0,37800000.0,37800000.0,-0.0024222560975609756,0.8108176795580111,0.0,0.00036890243902439025,0.0,0.013955284552845528,0.04522357723577236,0.03824288617886179,0.0754390243902439,4.281553398058253,0.22408536585365854,13.044219173901912,0.6827004953820615,-0.031596439431905696,-0.25547580479617643,2.7241738213789053,0.0,12700000.0,0.30900243309002434,0.06299212598425197,800000.0,0.06299212598425197,11900000.0,11900000.0,28300000,1.7971830985915493,0.022535211267605635,0.012539184952978056,0.009478672985781991,0.8637469586374696,0.4206161137440758,99.0,0.41820845070422535,0.022535211267605635,0.3353080568720379,0.09360189573459715,0.1504739336492891,0.14099526066350712,0.30900243309002434,1.0559610705596107,0.2895377128953771,0.48696682464454977,2.05352798053528,1.1481481481481481,1.0217749690891607,0.06299212598425197,0.34208294930875577,-0.07010294117647059,3.726473416678115,0.0,196800000.0,,2.6993454545454547,0.13381995133819952,6365168.539325843,49000000,0.12990139876175189,48900000,0.18200408997955012,0.30360736196319016,2.3317535545023698,4.495268138801261,inf,246.0,0.6433649289099526,0.6695437731196054,-0.009728571428571428,0.15391002044989774,-0.009748466257668712,0.10545023696682465,0.10974106041923551,0.07541668885457159,0.1455026455026455,0.36122627737226276,0.23404255319148937,0.0,0.0,0.04566824644549763,0.22409302325581396,0.278436018957346,0.3755924170616114,0.0,1.0,0.157960981749528,-0.00646551724137931
2001,258800000,188300000,70500000,0.2724,0.0,59953000,-53000.0,59900000,248200000,0.0,0.0,3652800,12152800.0,0.047,10500000.0,0.0405718701700154,-2000000,8500000,0.0328,3200000,5300000,0.0205,0.35,0.33,15162369,15795877,,0.0,,25600000,32600000,4100000,62300000,21600000,3000000.0,0.0,3000000.0,0.0,2300000.0,-1800000,25100000,0.0,87400000,16700000,10000000.0,0.0,0.0,4800000,31500000,6400000.0,0.0,0.0,2800000.0,9200000,0.0,0.0,40700000,0.0,48000.0,28700000,-12000000.0,29952000,46700000,87400000,0.0,87400000,5300000,3652800,1150400.0,0.0,2500000,0.0,-842600,0.0,30800000,-9726100,2877100,-7843500,0.0,0.0,0.0,0.0,-7843500.0,0.0,332300.0,0.0,0.0,3816000,4148300,4966400.0,4148300,4966400.0,818100.0,-4966400,6.175,6.234999999999999,3.93,336937.5,0.0,0.0,3.93,0.3764705882352941,0.0,0.0,-4966400.0,84400000.0,6894200,8500000.0,13452800.0,46700000.0,43700000.0,43700000.0,-0.019190108191653787,0.8503971631205673,0.0,-0.00020479134466769706,0.0,0.014114374034003091,0.03284389489953632,0.026639103554868624,0.05198145285935085,5.704761904761905,0.23145285935085008,17.068572859557765,0.6925039220454271,-0.32754775985203893,-0.517300429767934,3.0799936342401377,0.0,16400000.0,0.3511777301927195,,,,,,30800000,1.9777777777777779,,,,0.6745182012847966,0.36041189931350115,99.0,0.4270730158730159,,0.3524027459954233,0.10526315789473684,0.18764302059496568,,0.3511777301927195,0.8715203426124197,,0.534324942791762,1.8715203426124196,0.931350114416476,,,0.3305356265356265,-0.776,3.3490224475018104,0.0,258800000.0,,2.5382641509433963,0.11349036402569593,6547058.823529412,55900000,0.11712090918657267,55900000,0.1520572450805009,0.2406583184257603,2.9610983981693364,5.776073619631902,inf,,0.8066361556064073,0.8353080568720379,-0.08884436493738819,0.1233309481216458,-0.08884436493738819,0.09725400457665904,0.10071090047393365,0.07490913985731593,0.12128146453089245,0.28806852248394005,0.18466898954703834,0.0,0.0,0.08974256292906178,0.363125,0.32837528604118993,0.37299771167048057,0.0,1.0,0.06690963273195877,-0.02734349285761306
2002,248915100,180432600,68482500,0.2751,0.0,60596500,0.0,60596500,241029100,0.0,0.0,4519500,10909400.0,0.0438,7886000.0,0.0316814849721852,-1496100,6389900,0.0257,2484000,3905900,0.0157,0.39,0.38,10126800,10295775,505100.0,0.0,505100.0,28111400,38480500,3976400,71073400,25843100,0.0,2692200.0,2692200.0,0.0,0.0,620600,29155900,0.0,100229300,28137500,5785800.0,0.0,0.0,5993500,39916800,6063400.0,0.0,2679500.0,762200.0,9505100,0.0,0.0,49421900,0.0,48200.0,32641400,-16138900.0,34256700,50807400,100229300,0.0,100229300,3905900,4519500,-166800.0,0.0,356600,0.0,-5914100,0.0,31156600,5097100,13712300,-8412000,0.0,0.0,0.0,0.0,-8412000.0,0.0,162300.0,0.0,0.0,-4957500,-4795200,-5300300.0,-4795200,505100.0,5300300.0,5300300,5.609999999999999,5.09,3.205,279000.0,0.0,0.0,3.205,0.3887384779104524,0.0,0.0,5300300.0,97537100.0,3366500,6389900.0,10278100.0,50807400.0,48115200.0,48115200.0,0.021293605731432123,0.8848464936297594,0.0,0.0,0.0,0.01815679321985689,0.025671001879757394,0.013524691752328405,0.041291588979535596,7.6840603601318795,0.24344244282488287,24.57983765849034,0.778725757396216,0.5233933720425011,-0.8306671406564758,5.0171228818580405,0.0,11849200.0,0.23321799580376087,0.042627350369645205,505100.0,0.042627350369645205,11344100.0,11344100.0,31156600,1.7805385201218535,0.012653819945486613,0.007106737541752611,0.005039444553638507,0.7856493345457551,0.3982548017396111,99.0,0.25748807519640854,0.012653819945486613,0.31085321358125817,0.09483354667746856,0.11822091943174301,0.11318147487810451,0.23321799580376087,0.9727303503033022,0.2232765305841275,0.5069116515829204,1.9727303503033022,1.0271577380952381,1.0398463710194878,0.042627350369645205,0.2079665087744502,0.8741465184549922,4.5302124773131425,0.0,248915100.0,,2.631429376072096,0.07687659671622638,4820408.363198172,60312500,0.07992386923437383,60312500,0.10594652849740932,0.1704140932642487,2.4834564343959302,4.6889359545743945,inf,492.8036032468818,0.6832582887439103,0.7021174506931209,0.08788062176165803,0.05581761658031088,0.08788062176165803,0.06375281479567352,0.06551250754840979,0.04809380453817569,0.08117808925246076,0.2022953349315257,0.11966092140655732,0.0,0.0,0.0839275541184065,0.3255027454136694,0.3256672450071985,0.3839246607528936,0.0,1.0,-0.03062090825047639,-0.01487707848277632
2003,273900000,202600000,71300000,0.2603,0.0,66264800,-1164800.0,65100000,267700000,0.0,0.0,3984900,8984900.0,6.9996,1914500000.0,6.989777290982111,-1300000,5000000,0.0183,1910200000,3000000,0.011,0.2,0.2,15228823,15266265,,0.0,,39500000,26600000,5900000,72000000,24900000,2500000.0,200000.0,2700000.0,0.0,3200000.0,-2600000,28200000,0.0,100200000,27500000,372800.0,0.0,0.0,8527200,36400000,5700000.0,0.0,0.0,4200000.0,9900000,0.0,0.0,46300000,0.0,48300.0,35700000,-9800000.0,28037500,53985800,100285800,-85800.0,100200000,3000000,3984900,552100.0,0.0,4443400,0.0,11840800,0.0,35600000,1190700,13171100,-7990400,0.0,0.0,0.0,0.0,-7990400.0,0.0,129800.0,0.0,0.0,-5815600,-5685800,-5180700.0,-5685800,-5180700.0,505100.0,5180700,3.885,3.905,2.46,857700.0,0.0,0.0,2.46,382.04,0.0,0.0,5180700.0,97500000.0,1050300,5000000.0,12728300.0,53985800.0,51285800.0,51285800.0,0.018914567360350493,0.9293800841514727,0.0,-0.004252646951442132,0.0,0.014548740416210296,0.018254837531945966,0.0038346111719605694,0.04647060971157357,0.0340036563071298,0.23767798466593648,17.98563158820613,125.71555923921369,0.3401904401935724,-0.5246892685009209,3.544975209180644,0.0,6072800.0,0.11248883965783595,,,,,,35600000,1.978021978021978,,,,0.6742513772140081,0.36327345309381237,99.0,0.34967857142857145,,0.35528942115768464,0.09880239520958084,0.06060678642714571,,0.11248883965783595,0.8576329331046312,,0.5387804391217564,1.8560436262869124,0.9027840064891256,,,0.27490928725701946,0.9088947368421053,5.153090184643124,0.0,273900000.0,,4.242766666666666,0.05557016845170397,-729501080000.0,63885800,-11418.829849512724,63800000,0.07836990595611286,0.19950313479623824,2.7335329341317367,7.616541353383458,inf,,0.7115768463073853,0.7312820512820513,0.08109313806824052,0.016462382445141067,0.08120219435736677,0.0499001996007984,0.05128205128205128,-7280.449900199601,0.058495723962578336,0.2357712583679412,0.08403361344537816,0.0,0.0,0.07974451097804391,0.3208995983935743,0.3562874251497006,0.2654690618762475,0.0,1.0,-0.025054529310710907,-0.014446460172066466
