,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow,Open,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends,Tax Rate,Deferred Revenue,Net Interest Income,Free Cash Flow to the Firm,Tangible Assets,Adjusted Operating Income,EBIT,Operating Cash Flow,Common Book Value,Tangible Book Value,Common Tangible Book Value,Free Cash Flow Ratio,"Selling, General and Administrative Exp. Ratio",Research and Development Exp. Ratio,Other Expenses Ratio,Net Interest IncomeRatio,Depreciation and Amortization Ratio,EBIT Margin,Adjusted Operating Margin,Operating Cash Flow Margin,Cost-to-Income Ratio,Operating Expense Ratio,Revenue per share,Operating Income per share,FCF per share,CAPEX per share,Book value per share,Dividends per share,Total Debt,Financial leverage,Cash to Debt Ratio,Cash & Investments,Cash & Investments to Debt Ratio,Net Debt,Net Debt w/Investments,Working Capital,Current Ratio,Quick Ratio,Cash to Current Assets,Cash to Assets,Debt to Equity,Debt to Assets,Interest Coverage,Current Liability Coverage Ratio,Cash Ratio,Net Working Capital to Assets,Long Term Debt Ratio,Total Debt/ Assets,Net Debt/ Assets,Total Debt/ Equity,Total Liabilities/ Equity,Net Debt/ Equity,Equity Ratio,Equity Multiplier,Debt/ Tangible Book Value,Net Debt/ EBITDA,Cash to Debt,Cash Flow Coverage Ratio,Free Cash Flow/ Long Term Debt,Debt Leverage Ratio,Interest Expense to Debt Ratio,Cash Sales,Cash Revenue Adjustment,CFO/ Net Income,Return on Equity,NOPAT,Invested Capital,Return on Invested Capital,Capital Employed,ROCE,CFROI,Asset Turnover Ratio,Inventory Turnover,Receivables Turnover,Cash Turnover Ratio,Gross Profitability Ratio,Tangible Gross Profitability Ratio,Cash Return on Invested Capital,Adjusted Return on Capital Employed,Cash Return on Capital Employed,EBIT Return on Assets,EBIT Return on Tangible Assets,Return on Assets,Return on Tangible Equity,Cash Return on Equity,Return on Retained Earnings,R&D / Assets,R&D / Book,CapEx / Assets,CapEx / Fixed Assets,Retained Earnings / Total Assets,Inventory / Assets,Accounts Receivable / Assets,Plowback Ratio,Dividend & Repurchase / FCF,Dividend & Repurchase / EBITDA
1991,39700000,26500000,13200000,0.3325,0.0,6700000,4800000.0,11500000,38000000,0.0,0.0,4800000.0,4200000.0,0.0907,1700000,0.0428,-2300000,-600000,-0.0151,-200000,-1000000,-0.0252,-0.25,-0.25,4000000,4000000,1100000.0,0.0,1100000.0,5400000.0,6000000.0,1000000.0,13500000,22400000,0.0,1600000.0,1600000.0,0.0,0.0,500000,24500000,0.0,38000000,3200000.0,0.0,0.0,0.0,2600000,5800000,28700000.0,0.0,0.0,300000.0,29000000,0.0,0.0,34800000,0.0,0.0,2700000.0,-35300000.0,35800000.0,3200000,38000000,0.0,38000000,-1000000,4800000.0,0.0,0.0,-1800000,0.0,-1100000.0,0.0,7700000,-200000,1800000.0,-4400000.0,0.0,0.0,0.0,600000.0,-3800000.0,0.0,0.0,0.0,0.0,2200000.0,2200000.0,2000000.0,2200000.0,3200000.0,1000000.0,-2600000.0,3.125,3.5,2.74,44750.0,0.0,0.0,2.74,0.3333333333333333,0.0,0.0,-2600000.0,36400000.0,1700000.0,-600000.0,4900000.0,3200000.0,1600000.0,1600000.0,-0.0654911838790932,0.5075757575757576,0.0,0.12090680100755667,0.0,0.12090680100755667,-0.015113350125944584,0.042821158690176324,0.12342569269521411,6.764705882352941,0.28967254408060455,9.925,0.425,-0.65,-1.1,0.8,0.0,28700000.0,8.96875,0.03832752613240418,1100000.0,0.03832752613240418,27600000.0,27600000.0,7700000,2.3275862068965516,0.1896551724137931,0.08148148148148149,0.02894736842105263,1.8125,0.15263157894736842,-inf,0.8448275862068966,0.1896551724137931,0.2026315789473684,0.7631578947368421,0.7552631578947369,0.7263157894736842,8.96875,10.875,8.625,0.08421052631578947,11.875,21.75,6.571428571428571,0.03832752613240418,0.14080459770114942,-0.09059233449477352,8.285714285714286,0.0,39700000.0,,-4.9,-0.3125,1133333.3333333335,32200000,0.035196687370600416,32200000,-0.018633540372670808,0.15217391304347827,1.0447368421052632,4.416666666666667,inf,36.09090909090909,0.3473684210526316,0.3626373626373626,-0.08074534161490683,0.052795031055900624,-0.08074534161490683,-0.015789473684210527,-0.016483516483516484,0.029824561403508774,-0.625,1.53125,-0.37037037037037035,0.0,0.0,0.11578947368421053,0.19642857142857142,0.07105263157894737,0.15789473684210525,0.0,1.0,-0.0,0.0
1992,36000000,23900000,12100000,0.3361,0.0,5500000,5000000.0,10500000,34400000,0.0,0.0,5000000.0,15500000.0,0.4167,1600000,0.0444,8900000,10500000,0.2917,600000,9400000,0.2611,2.47,2.47,3805668,3805668,1400000.0,0.0,1400000.0,4600000.0,5800000.0,700000.0,12500000,16100000,0.0,900000.0,900000.0,0.0,0.0,700000,17700000,0.0,30200000,2500000.0,0.0,0.0,0.0,13800000,16300000,0.0,0.0,0.0,1200000.0,1200000,0.0,0.0,17500000,0.0,0.0,12100000.0,-31200000.0,31800000.0,12700000,30200000,0.0,30200000,9400000,5000000.0,0.0,0.0,-11500000,0.0,-1100000.0,0.0,-3800000,-1400000,1500000.0,-3100000.0,0.0,0.0,0.0,18300000.0,15200000.0,0.0,0.0,0.0,0.0,-16400000.0,-16400000.0,-16700000.0,-16400000.0,-15300000.0,1100000.0,-1600000.0,3.75,3.75,2.94,22950.0,0.0,0.0,2.94,0.05714285714285714,0.0,0.0,-1600000.0,29300000.0,1600000.0,10500000.0,-5500000.0,12700000.0,11800000.0,11800000.0,-0.044444444444444446,0.45454545454545453,0.0,0.1388888888888889,0.0,0.1388888888888889,0.2916666666666667,0.044444444444444446,-0.1527777777777778,6.5625,0.2916666666666667,9.459574508338616,0.4204255337039384,-0.4204255337039384,-0.8145744715513807,3.3371276737750115,0.0,0.0,0.0,99.0,1400000.0,99.0,-1400000.0,-1400000.0,-3800000,0.7668711656441718,0.08588957055214724,0.112,0.046357615894039736,1.2834645669291338,0.5397350993377483,99.0,-0.3374233128834356,0.08588957055214724,-0.12582781456953643,0.039735099337748346,0.0,-0.046357615894039736,0.0,1.3779527559055118,-0.11023622047244094,0.4205298013245033,2.377952755905512,1.4830508474576272,-0.09032258064516129,inf,-0.3142857142857143,-inf,1.1290322580645162,,36000000.0,,-0.5851063829787234,0.7401574803149606,1508571.4285714286,13900000,0.10853031860226105,13900000,0.7553956834532374,-0.39568345323741005,1.1920529801324504,4.120689655172414,inf,25.714285714285715,0.40066225165562913,0.4129692832764505,-0.11510791366906475,0.11510791366906475,-0.11510791366906475,0.347682119205298,0.3583617747440273,0.049952696310312204,0.7966101694915254,-0.4330708661417323,0.7768595041322314,0.0,0.0,0.10264900662251655,0.19254658385093168,0.40066225165562913,0.19205298013245034,0.0,1.0,-0.0,0.0
1993,32400000,21100000,11300000,0.3488,0.0,5900000,4500000.0,10400000,31500000,0.0,0.0,4500000.0,4000000.0,0.1389,900000,0.0278,-1400000,-500000,-0.0154,-100000,100000,0.0031,0.01,0.01,3333333,3333333,400000.0,0.0,400000.0,5000000.0,6500000.0,600000.0,12500000,15700000,0.0,300000.0,300000.0,0.0,0.0,1400000,17400000,0.0,29900000,3500000.0,0.0,0.0,0.0,2900000,6400000,9600000.0,0.0,0.0,1200000.0,10800000,0.0,0.0,17200000,0.0,0.0,12000000.0,-32300000.0,33000000.0,12700000,29900000,0.0,29900000,100000,4500000.0,0.0,0.0,9900000,0.0,-700000.0,0.0,6100000,-11200000,3300000.0,-3400000.0,0.0,0.0,0.0,100000.0,-3300000.0,0.0,0.0,0.0,0.0,-1000000.0,-1000000.0,0.0,-1000000.0,400000.0,1400000.0,-100000.0,4.125,4.375,3.43,25100.0,0.0,0.0,3.43,0.2,0.0,0.0,-100000.0,29600000.0,900000.0,-500000.0,15400000.0,12700000.0,12400000.0,12400000.0,-0.0030864197530864196,0.5221238938053098,0.0,0.1388888888888889,0.0,0.1388888888888889,-0.015432098765432098,0.027777777777777776,0.47530864197530864,11.555555555555555,0.32098765432098764,9.720000972000097,0.2700000270000027,-0.0300000030000003,-1.0200001020000102,3.8100003810000382,0.0,9600000.0,0.7559055118110236,0.041666666666666664,400000.0,0.041666666666666664,9200000.0,9200000.0,6100000,1.953125,0.0625,0.032,0.013377926421404682,0.5039370078740157,0.2140468227424749,-inf,2.40625,0.0625,0.2040133779264214,0.3612040133779264,0.3210702341137124,0.3076923076923077,0.7559055118110236,1.3543307086614174,0.7244094488188977,0.42474916387959866,2.354330708661417,1.3870967741935485,2.3,0.041666666666666664,0.8953488372093024,-0.010416666666666666,4.3,0.0,32400000.0,,154.0,0.007874015748031496,720000.0,23500000,0.030638297872340424,23500000,-0.02127659574468085,0.6553191489361702,1.0836120401337792,3.246153846153846,inf,81.0,0.3779264214046823,0.38175675675675674,-0.00425531914893617,0.03829787234042553,-0.00425531914893617,-0.016722408026755852,-0.016891891891891893,0.024080267558528427,0.008064516129032258,1.2125984251968505,0.008333333333333333,0.0,0.0,0.11371237458193979,0.21656050955414013,0.4013377926421405,0.21739130434782608,0.0,1.0,-0.0,0.0
1994,36900000,25300000,11600000,0.3144,0.0,5100000,3700000.0,8800000,34100000,0.0,0.0,3700000.0,5900000.0,0.1599,2800000,0.0759,-600000,2200000,0.0596,300000,1900000,0.0515,0.5,0.5,3800000,3800000,,0.0,,6000000.0,4800000.0,300000.0,11100000,15000000,0.0,0.0,0.0,0.0,0.0,1300000,16300000,0.0,27400000,2700000.0,1100000.0,0.0,0.0,1900000,5700000,6200000.0,0.0,0.0,700000.0,6900000,0.0,0.0,12600000,0.0,0.0,13900000.0,-35100000.0,36000000.0,14800000,27400000,0.0,27400000,1900000,3700000.0,0.0,0.0,-700000,0.0,1700000.0,0.0,5400000,500000,5400000.0,-2700000.0,0.0,0.0,0.0,100000.0,-2600000.0,0.0,0.0,0.0,0.0,-3200000.0,-3200000.0,-2800000.0,-3200000.0,-2800000.0,400000.0,2700000.0,5.125,5.315,4.16,19300.0,0.0,0.0,4.16,0.13636363636363635,0.0,0.0,2700000.0,27400000.0,2800000.0,2200000.0,5500000.0,14800000.0,14800000.0,14800000.0,0.07317073170731707,0.4396551724137931,0.0,0.1002710027100271,0.0,0.1002710027100271,0.05962059620596206,0.07588075880758807,0.14905149051490515,3.142857142857143,0.23848238482384823,9.710526315789474,0.7368421052631579,0.7105263157894737,-0.7105263157894737,3.8947368421052633,0.0,7300000.0,0.49324324324324326,,,,,,5400000,1.9473684210526316,,,,0.38513513513513514,0.20802919708029197,99.0,0.9649122807017544,,0.19708029197080293,0.2518248175182482,0.2664233576642336,,0.49324324324324326,0.8513513513513513,,0.5401459854014599,1.8513513513513513,0.8513513513513513,,,0.4365079365079365,0.43548387096774194,2.135593220338983,0.0,36900000.0,,2.8947368421052633,0.12837837837837837,2418181.8181818184,21700000,0.11143695014662758,21700000,0.10138248847926268,0.2534562211981567,1.3467153284671534,5.270833333333333,inf,,0.4233576642335766,0.4233576642335766,0.12442396313364056,0.12903225806451613,0.12442396313364056,0.08029197080291971,0.08029197080291971,0.08825481088254812,0.12837837837837837,0.3716216216216216,0.1366906474820144,0.0,0.0,0.09854014598540146,0.18,0.5072992700729927,0.17518248175182483,0.0,1.0,0.0,0.0
1995,41400000,27100000,14300000,0.3454,0.0,5200000,3500000.0,8700000,35800000,0.0,0.0,3500000.0,8800000.0,0.2126,5600000,0.1353,-300000,5300000,0.128,1000000,4300000,0.1039,1.11,1.11,3873874,3873874,1200000.0,0.0,1200000.0,5500000.0,5300000.0,200000.0,12200000,16400000,0.0,0.0,0.0,0.0,0.0,1200000,17600000,0.0,29800000,2600000.0,1100000.0,0.0,0.0,2400000,6100000,4400000.0,0.0,0.0,600000.0,5000000,0.0,0.0,11100000,0.0,0.0,17800000.0,-37500000.0,38400000.0,18700000,29800000,0.0,29800000,4300000,3500000.0,0.0,0.0,700000,0.0,-600000.0,0.0,6100000,-600000,7900000.0,-4900000.0,0.0,0.0,0.0,200000.0,-4700000.0,0.0,0.0,0.0,-300000.0,-1800000.0,-2100000.0,-3200000.0,-2100000.0,,,3000000.0,6.625,7.0,5.51,51200.0,0.075,0.075,5.585,0.18867924528301888,0.0,0.0,3000000.0,29800000.0,5600000.0,5300000.0,8800000.0,18700000.0,18700000.0,18700000.0,0.07246376811594203,0.36363636363636365,0.0,0.08454106280193237,0.0,0.08454106280193237,0.1280193236714976,0.13526570048309178,0.21256038647342995,1.5535714285714286,0.21014492753623187,10.686976396237977,1.445581348283398,0.7744185794375347,-1.2648836797479732,4.827209145160633,-0.07744185794375347,5500000.0,0.29411764705882354,0.21818181818181817,1200000.0,0.21818181818181817,4300000.0,4300000.0,6100000,2.0,0.19672131147540983,0.09836065573770492,0.040268456375838924,0.32620320855614976,0.20469798657718122,99.0,1.4918032786885247,0.19672131147540983,0.20469798657718122,0.16778523489932887,0.18456375838926176,0.14429530201342283,0.29411764705882354,0.5935828877005348,0.22994652406417113,0.62751677852349,1.5935828877005347,0.5935828877005348,0.48863636363636365,0.21818181818181817,0.7927927927927928,0.6818181818181818,1.2613636363636365,0.0,41400000.0,,2.046511627906977,0.22994652406417113,4543396.226415095,23700000,0.1917044821272192,23700000,0.22362869198312235,0.37130801687763715,1.389261744966443,5.113207547169812,inf,34.5,0.4798657718120805,0.4798657718120805,0.12658227848101267,0.23628691983122363,0.12658227848101267,0.17785234899328858,0.17785234899328858,0.1524629606179562,0.22994652406417113,0.47058823529411764,0.24157303370786518,0.0,0.0,0.1644295302013423,0.29878048780487804,0.5973154362416108,0.17785234899328858,0.0,1.069767441860465,-0.1,-0.03409090909090909
1996,40200000,28400000,11800000,0.2935,0.0,4400000,3900000.0,8300000,36700000,0.0,0.0,3900000.0,7100000.0,0.1766,3500000,0.0871,-300000,3200000,0.0796,600000,2600000,0.0647,0.67,0.67,3880597,3906250,1000000.0,0.0,1000000.0,5200000.0,5100000.0,300000.0,11600000,18700000,0.0,0.0,0.0,0.0,0.0,1000000,19700000,0.0,31300000,3100000.0,1100000.0,0.0,0.0,2000000,6200000,3200000.0,0.0,0.0,700000.0,3900000,0.0,0.0,10100000,0.0,0.0,19900000.0,-41000000.0,42300000.0,21200000,31300000,0.0,31300000,2600000,3900000.0,0.0,0.0,-700000,0.0,300000.0,0.0,5400000,1300000,7100000.0,-6100000.0,0.0,0.0,0.0,0.0,-6100000.0,0.0,400000.0,0.0,-400000.0,-1200000.0,-1200000.0,-1000000.0,-1200000.0,0.0,1200000.0,1000000.0,9.88,10.255,8.120000000000001,130050.0,0.1,0.175,8.295000000000002,0.1875,0.0,0.0,1000000.0,31300000.0,3500000.0,3200000.0,6100000.0,21200000.0,21200000.0,21200000.0,0.024875621890547265,0.3728813559322034,0.0,0.09701492537313433,0.0,0.09701492537313433,0.07960199004975124,0.08706467661691543,0.1517412935323383,2.3714285714285714,0.2064676616915423,10.359230809073965,0.9019230803920119,0.25769230868343196,-1.571923082968935,5.463076944088757,-0.10307692347337279,4300000.0,0.2028301886792453,0.23255813953488372,1000000.0,0.23255813953488372,3300000.0,3300000.0,5400000,1.8709677419354838,0.16129032258064516,0.08620689655172414,0.03194888178913738,0.29245283018867924,0.19808306709265175,99.0,1.0483870967741935,0.16129032258064516,0.17252396166134185,0.12460063897763578,0.13738019169329074,0.10543130990415335,0.2028301886792453,0.47641509433962265,0.15566037735849056,0.6773162939297125,1.4764150943396226,0.47641509433962265,0.4647887323943662,0.23255813953488372,0.6039603960396039,0.3125,1.4225352112676057,0.0,40200000.0,,2.3461538461538463,0.12264150943396226,2843750.0,25100000,0.11329681274900398,25100000,0.12749003984063745,0.24302788844621515,1.2843450479233227,5.568627450980392,inf,40.2,0.3769968051118211,0.3769968051118211,0.0398406374501992,0.1394422310756972,0.0398406374501992,0.10223642172523961,0.10223642172523961,0.09085463258785942,0.12264150943396226,0.28773584905660377,0.1306532663316583,0.0,0.0,0.19488817891373802,0.32620320855614976,0.6357827476038339,0.16293929712460065,0.0,1.1538461538461537,-0.8,-0.11267605633802817
1997,32400000,23600000,8800000,0.2716,0.0,4500000,3600000.0,8100000,31700000,0.0,0.0,3600000.0,4600000.0,0.142,700000,0.0216,300000,1000000,0.0309,-2100000,3100000,0.0957,0.79,0.78,3924051,3974359,2800000.0,0.0,2800000.0,3600000.0,3000000.0,100000.0,9500000,21400000,0.0,0.0,0.0,0.0,0.0,2600000,24000000,0.0,33500000,4400000.0,1100000.0,0.0,0.0,1600000,7100000,2200000.0,0.0,0.0,0.0,2200000,0.0,0.0,9300000,0.0,0.0,22700000.0,-30900000.0,32400000.0,24200000,33500000,0.0,33500000,3100000,3600000.0,-2500000.0,0.0,-3000000,0.0,300000.0,0.0,2400000,6100000,7300000.0,-11900000.0,0.0,0.0,0.0,7800000.0,-4100000.0,0.0,100000.0,0.0,-400000.0,-1100000.0,-1400000.0,-3200000.0,-1400000.0,-400000.0,1000000.0,-4600000.0,7.84,7.689999999999999,6.1850000000000005,55150.0,0.1,0.275,6.460000000000001,-2.1,0.0,0.0,-4600000.0,33500000.0,700000.0,1000000.0,3400000.0,24200000.0,24200000.0,24200000.0,-0.1419753086419753,0.5113636363636364,0.0,0.1111111111111111,0.0,0.1111111111111111,0.030864197530864196,0.021604938271604937,0.10493827160493827,11.571428571428571,0.25,8.25677342114055,0.17838708008636991,-1.172257954853288,-3.032580361468289,6.167096197271646,-0.10193547433506853,3300000.0,0.13636363636363635,0.8484848484848485,2800000.0,0.8484848484848485,500000.0,500000.0,2400000,1.3380281690140845,0.39436619718309857,0.29473684210526313,0.08358208955223881,0.29338842975206614,0.21194029850746268,99.0,0.5352112676056338,0.39436619718309857,0.07164179104477612,0.06567164179104477,0.09850746268656717,0.014925373134328358,0.13636363636363635,0.384297520661157,0.02066115702479339,0.7223880597014926,1.384297520661157,0.384297520661157,0.10869565217391304,0.8484848484848485,0.3655913978494624,-2.090909090909091,2.0217391304347827,0.0,32400000.0,,1.096774193548387,0.128099173553719,2170000.0,26400000,0.0821969696969697,26400000,0.03787878787878788,0.12878787878787878,0.9671641791044776,7.866666666666666,inf,11.571428571428571,0.2626865671641791,0.2626865671641791,-0.17424242424242425,0.026515151515151516,-0.17424242424242425,0.029850746268656716,0.029850746268656716,0.06477611940298507,0.128099173553719,0.14049586776859505,0.13656387665198239,0.0,0.0,0.35522388059701493,0.5560747663551402,0.6776119402985075,0.08955223880597014,0.0,1.1290322580645162,0.10869565217391304,-0.10869565217391304
1998,28800000,18800000,10000000,0.3472,0.0,3500000,2900000.0,6400000,25200000,0.0,0.0,2900000.0,6700000.0,0.2326,3600000,0.125,200000,3800000,0.1319,900000,2900000,0.1007,0.74,0.74,3918919,3918919,700000.0,0.0,700000.0,3400000.0,3200000.0,0.0,7300000,41200000,0.0,0.0,0.0,0.0,0.0,2600000,43800000,0.0,51100000,3700000.0,2600000.0,0.0,0.0,1700000,8000000,16200000.0,0.0,0.0,200000.0,16400000,0.0,0.0,24400000,0.0,0.0,25200000.0,-32100000.0,33600000.0,26700000,51100000,0.0,51100000,2900000,2900000.0,100000.0,0.0,-3100000,0.0,-200000.0,0.0,-700000,2600000,5400000.0,-22800000.0,0.0,0.0,0.0,0.0,-22800000.0,0.0,0.0,0.0,-400000.0,15600000.0,15200000.0,17400000.0,15200000.0,18000000.0,2800000.0,-17400000.0,7.439999999999999,7.814999999999999,6.38,36850.0,0.1,0.375,6.755,0.23684210526315788,0.0,0.0,-17400000.0,51100000.0,3600000.0,3800000.0,2500000.0,26700000.0,26700000.0,26700000.0,-0.6041666666666666,0.35,0.0,0.10069444444444445,0.0,0.10069444444444445,0.13194444444444445,0.125,0.08680555555555555,1.7777777777777777,0.2222222222222222,7.34896536519382,0.9186206706492275,-4.439999908137933,-5.817930914111774,6.813103307315104,-0.10206896340546973,18800000.0,0.704119850187266,0.03723404255319149,700000.0,0.03723404255319149,18100000.0,18100000.0,-700000,0.9125,0.0875,0.0958904109589041,0.0136986301369863,0.299625468164794,0.15655577299412915,99.0,0.3625,0.0875,-0.0136986301369863,0.32093933463796476,0.3679060665362035,0.3542074363992172,0.704119850187266,0.9138576779026217,0.6779026217228464,0.5225048923679061,1.9138576779026217,0.9138576779026217,2.701492537313433,0.03723404255319149,0.10245901639344263,-1.0740740740740742,3.6417910447761193,0.0,28800000.0,,0.8620689655172413,0.10861423220973783,2747368.421052632,43100000,0.06374404689217243,43100000,0.08816705336426914,0.058004640371229696,0.5636007827788649,5.875,inf,41.142857142857146,0.19569471624266144,0.19569471624266144,-0.4037122969837587,0.08352668213457076,-0.4037122969837587,0.07436399217221135,0.07436399217221135,0.05376454835719436,0.10861423220973783,0.09363295880149813,0.11507936507936507,0.0,0.0,0.4461839530332681,0.5533980582524272,0.4931506849315068,0.06262230919765166,0.0,1.1379310344827587,0.022988505747126436,-0.05970149253731343
1999,31537000,17977000,13560000,0.43,0.0,3482000,4745000.0,8227000,26204000,0.0,0.0,4745000.0,8122000.0,0.2575,5333000,0.1691,-1956000,3377000,0.1071,844000,2533000,0.0803,0.64,0.64,3957812,3957812,18021000.0,0.0,18021000.0,4166000.0,4266000.0,163000.0,26616000,47130000,0.0,0.0,0.0,0.0,0.0,3942000,51072000,0.0,77688000,1953000.0,2500000.0,0.0,0.0,1580000,6033000,42500000.0,0.0,0.0,358000.0,42858000,0.0,0.0,48891000,0.0,529000.0,27376000.0,-35381000.0,36273000.0,28797000,77688000,0.0,77688000,2533000,4745000.0,329000.0,0.0,21283000,0.0,-1112000.0,0.0,20583000,-26682000,2208000.0,-10860000.0,0.0,0.0,0.0,224000.0,-10636000.0,0.0,0.0,0.0,-400000.0,26161000.0,25761000.0,0.0,17333000.0,18021000.0,688000.0,-8652000.0,7.595000000000001,7.689999999999999,6.359999999999999,59050.0,0.1,0.475,6.834999999999999,0.24992596979567663,0.0,0.0,-8652000.0,77688000.0,5333000.0,3377000.0,30517000.0,28797000.0,28797000.0,28797000.0,-0.2743444208390145,0.25678466076696166,0.0,0.1504581919649935,0.0,0.1504581919649935,0.10708057202650854,0.1691029584297809,0.9676570377651648,1.5426589161822615,0.2608681865744998,7.968291571201462,1.3474616783212543,-2.186056336177666,-2.743940338752826,7.275989865107286,-0.10106594249550004,45000000.0,1.562662777372643,0.4004666666666667,18021000.0,0.4004666666666667,26979000.0,26979000.0,20583000,4.411735454997514,2.9870711089010444,0.6770739404869252,0.23196632684584492,0.20950098968642566,0.07765678097003398,99.0,5.12464777059506,2.9870711089010444,0.2649443929564411,0.5516682113067656,0.5792400370713624,0.34727371022551745,1.562662777372643,1.6977810188561309,0.9368684237941453,0.3706750077232005,2.697781018856131,1.6977810188561309,3.321718788475745,0.4004666666666667,0.6241844102186497,-0.2035764705882353,6.0195764590002465,0.0,31537000.0,,12.047769443347809,0.08796055144633122,4000144.803079657,71655000,0.055825061797218016,71655000,0.04712860233061196,0.42588793524527246,0.4059442899804346,4.214017815283638,inf,1.7500138727040675,0.1745443311708372,0.1745443311708372,-0.12074523759681809,0.0744260693601284,-0.12074523759681809,0.043468746781999794,0.043468746781999794,0.05148986720059284,0.08796055144633122,1.0597284439351322,0.09252630040911748,0.0,0.0,0.13978992894655545,0.23042647994907703,0.35238389455256924,0.05491195551436515,0.0,1.1579155151993683,0.04623208506703652,-0.04924895345973898
2000,32456000,20959000,11497000,0.3542,0.0,3936000,5320000.0,9256000,30215000,0.0,0.0,5320000.0,4944000.0,0.1523,2241000,0.069,-2617000,-376000,-0.0116,-85000,-291000,-0.009,-0.07,-0.07,4157143,4157143,5072000.0,0.0,5072000.0,4101000.0,4232000.0,263000.0,13668000,75667000,0.0,0.0,0.0,0.0,0.0,4723000,80390000,0.0,94058000,8426000.0,12158000.0,0.0,0.0,929000,21513000,44167000.0,0.0,0.0,272000.0,44439000,0.0,0.0,65952000,0.0,529000.0,26685000.0,-38388000.0,39280000.0,28106000,94058000,0.0,94058000,-291000,5320000.0,-317000.0,0.0,-28428000,0.0,34000.0,0.0,-7845000,33485000,9769000.0,-33730000.0,0.0,0.0,0.0,87000.0,-33643000.0,0.0,0.0,0.0,-400000.0,11325000.0,10925000.0,0.0,-12949000.0,5072000.0,18021000.0,-23961000.0,6.815,6.75,5.66,56050.0,0.1,0.575,6.235,0.22606382978723405,0.0,0.0,-23961000.0,94058000.0,2241000.0,-376000.0,-20782000.0,28106000.0,28106000.0,28106000.0,-0.738261030317969,0.3423501783073845,0.0,0.16391422233177225,0.0,0.16391422233177225,-0.011584914961794429,0.06904732561005669,-0.6403130391915208,4.130298973672468,0.28518609810204587,7.807284955076119,0.5390721464236375,-5.763814234920473,-8.113745425644487,6.760893238457277,-0.09621992796495094,56325000.0,2.0040204938447306,0.09004882379050155,5072000.0,0.09004882379050155,51253000.0,51253000.0,-7845000,0.6353367731139311,0.2357644215125738,0.3710857477319286,0.05392417444555487,0.7654237529353163,0.22872057666546175,-inf,-0.9474271370799052,0.2357644215125738,-0.08340598354206978,0.4724637989325735,0.5988326351825469,0.5449084607369921,2.0040204938447306,2.3465452216608553,1.8235608055219525,0.29881562440196474,3.3465452216608553,2.3465452216608553,10.3667071197411,0.09004882379050155,-0.3151079573022805,-0.5425091131387688,13.339805825242719,0.0,32456000.0,,71.41580756013745,-0.010353661139970114,1734390.9574468085,72545000,0.02390779457504733,72545000,-0.0051829898683575714,-0.28647046660693365,0.3450636841098046,4.952504725897921,inf,6.399053627760252,0.12223309022092751,0.12223309022092751,-0.3302915431800951,0.030891170997312013,-0.3302915431800951,-0.003997533436815582,-0.003997533436815582,0.018439590013043107,-0.010353661139970114,-0.739415071514979,-0.010905002810567735,0.0,0.0,0.3586085181483765,0.4457689613702142,0.2837079248974037,0.04499351463990304,0.0,-0.3745704467353952,0.016693794082049997,-0.08090614886731391
